Date,Open,High,Low,Close,Adj Close,Volume
2000-02-07,0.468107,0.468107,0.468107,0.468107,0.260933,4550
2000-02-08,0.468107,0.468107,0.468107,0.468107,0.260933,1895
2000-02-09,0.520882,0.520882,0.520882,0.520882,0.290351,12057
2000-02-10,0.520882,0.520882,0.520882,0.520882,0.290351,0
2000-02-11,0.501104,0.501104,0.501104,0.501104,0.279326,6142
2000-02-14,0.501104,0.501104,0.501104,0.501104,0.279326,0
2000-02-15,0.501104,0.501104,0.501104,0.501104,0.279326,0
2000-02-16,0.501104,0.501104,0.501104,0.501104,0.279326,0
2000-02-17,0.501104,0.501104,0.501104,0.501104,0.279326,0
2000-02-18,0.514289,0.514289,0.514289,0.514289,0.286676,682
2000-02-21,0.514289,0.514289,0.514289,0.514289,0.286676,0
2000-02-22,0.485255,0.485255,0.485255,0.485255,0.270492,75
2000-02-23,0.494478,0.494478,0.494478,0.494478,0.275633,455
2000-02-24,0.487885,0.487885,0.487885,0.487885,0.271958,5005
2000-02-25,0.474700,0.474700,0.474700,0.474700,0.264608,3033
2000-02-28,0.474700,0.474700,0.474700,0.474700,0.264608,0
2000-02-29,0.468107,0.468107,0.468107,0.468107,0.260933,11602
2000-03-01,0.468107,0.468107,0.468107,0.468107,0.260933,0
2000-03-02,0.468107,0.468107,0.468107,0.468107,0.260933,0
2000-03-03,0.512957,0.512957,0.512957,0.512957,0.285933,758
2000-03-06,0.512957,0.512957,0.512957,0.512957,0.285933,0
2000-03-07,0.512957,0.512957,0.512957,0.512957,0.285933,0
2000-03-08,0.512957,0.512957,0.512957,0.512957,0.285933,0
2000-03-09,0.527474,0.527474,0.527474,0.527474,0.294026,1971
2000-03-10,0.527474,0.527474,0.527474,0.527474,0.294026,0
2000-03-13,0.527474,0.527474,0.527474,0.527474,0.294026,0
2000-03-14,0.494478,0.494478,0.494478,0.494478,0.275633,227
2000-03-15,0.494478,0.494478,0.494478,0.494478,0.275633,0
2000-03-16,0.501104,0.501104,0.501104,0.501104,0.279326,99343
2000-03-17,0.501104,0.501104,0.501104,0.501104,0.279326,1516
2000-03-20,0.501104,0.501104,0.501104,0.501104,0.279326,0
2000-03-21,0.501104,0.501104,0.501104,0.501104,0.279326,15167
2000-03-22,0.520882,0.520882,0.520882,0.520882,0.290351,7583
2000-03-23,0.540659,0.540659,0.540659,0.540659,0.301375,8493
2000-03-24,0.556475,0.556475,0.556475,0.556475,0.310191,67189
