Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,7.340000,7.560000,7.220000,7.350000,7.324512,2181400
2020-12-15,7.350000,7.440000,7.200000,7.320000,7.294617,3563000
2020-12-16,7.310000,7.450000,7.250000,7.380000,7.354409,3449500
2020-12-17,7.370000,7.480000,7.370000,7.480000,7.454062,1239200
2020-12-18,7.500000,7.600000,7.430000,7.540000,7.513854,2275600
2020-12-21,7.540000,8.040000,7.420000,7.940000,7.912467,3576100
2020-12-22,8.100000,9.250000,8.060000,9.090000,9.058479,5929300
2020-12-23,9.390000,10.370000,9.360000,9.660000,9.626502,10695300
2020-12-28,9.790000,10.100000,9.790000,9.910000,9.875635,5044200
2020-12-29,9.960000,10.720000,9.930000,10.340000,10.304144,5365200
2020-12-30,10.400000,10.800000,10.000000,10.000000,9.965323,5575800
2021-01-04,10.390000,10.760000,10.030000,10.530000,10.493485,5003800
2021-01-05,10.560000,10.850000,10.180000,10.310000,10.274249,5088800
2021-01-06,10.400000,10.500000,10.100000,10.130000,10.094872,2569000
2021-01-07,10.170000,10.490000,10.170000,10.370000,10.334040,3661200
2021-01-08,10.390000,10.690000,10.220000,10.660000,10.623034,3022600
2021-01-11,10.500000,11.580000,10.410000,11.500000,11.460122,6549300
2021-01-12,11.660000,12.120000,11.570000,11.920000,11.878665,6202600
2021-01-13,11.940000,12.780000,11.940000,12.330000,12.287244,5075000
2021-01-14,12.560000,13.060000,12.350000,12.890000,12.845302,6825500
2021-01-15,12.890000,13.790000,12.810000,13.050000,13.004747,11450700
2021-01-18,13.320000,13.520000,12.910000,13.130000,13.084470,5244800
2021-01-19,13.250000,13.380000,11.960000,11.960000,11.918527,9051700
2021-01-20,12.180000,13.100000,11.520000,13.000000,12.954920,14854400
2021-01-21,13.550000,13.900000,12.450000,12.820000,12.775544,18842500
2021-01-22,12.640000,13.180000,12.210000,12.360000,12.317139,10922900
2021-01-26,12.650000,12.820000,11.790000,12.220000,12.177626,9108200
2021-01-27,12.090000,12.160000,11.620000,11.740000,11.699289,7635700
2021-01-28,11.700000,12.300000,11.050000,12.220000,12.177626,7492300
2021-01-29,12.000000,12.190000,11.520000,11.840000,11.798943,5445300
2021-02-01,12.180000,12.480000,11.970000,12.450000,12.406827,4156600
2021-02-02,12.650000,12.750000,12.310000,12.430000,12.386897,5177700
2021-02-03,12.460000,12.530000,12.110000,12.110000,12.068007,3479900
2021-02-04,12.110000,12.290000,11.950000,11.970000,11.928493,3466700
2021-02-05,12.100000,12.120000,11.620000,11.720000,11.679359,4058100
2021-02-08,11.850000,12.090000,11.450000,11.900000,11.858734,9070700
2021-02-09,12.060000,12.090000,11.760000,11.850000,11.808908,4039500
2021-02-10,11.290000,11.580000,10.800000,11.000000,10.961856,15897900
2021-02-11,11.000000,11.000000,10.330000,10.410000,10.373901,6367600
2021-02-12,10.190000,11.140000,9.900000,11.100000,11.061509,11423600
2021-02-17,11.140000,11.340000,10.920000,10.980000,10.941924,7852700
2021-02-18,10.980000,11.070000,10.150000,10.360000,10.324075,8750500
2021-02-19,10.360000,10.680000,10.050000,10.170000,10.134734,6520400
2021-02-22,9.850000,10.310000,9.580000,10.100000,10.064977,5103600
2021-02-23,10.200000,10.670000,10.120000,10.610000,10.573208,4190000
2021-02-24,11.540000,11.880000,10.860000,11.110000,11.071474,11202600
2021-02-25,11.100000,11.320000,10.700000,10.840000,10.802410,5141300
2021-02-26,10.820000,10.950000,10.070000,10.190000,10.154664,5618600
2021-03-01,10.270000,10.590000,9.830000,9.830000,9.795913,5299700
2021-03-02,9.810000,9.910000,9.240000,9.630000,9.596606,5551400
2021-03-03,9.690000,10.040000,9.250000,9.930000,9.895566,3792300
2021-03-04,9.900000,10.190000,9.460000,9.520000,9.486988,4338100
2021-03-05,9.570000,9.620000,9.030000,9.190000,9.158132,5006800
2021-03-08,9.090000,9.260000,8.510000,8.810000,8.779450,5602500
2021-03-09,8.780000,9.270000,8.680000,8.890000,8.859173,4243200
2021-03-10,8.990000,9.730000,8.900000,9.720000,9.686295,4855700
2021-03-11,9.750000,9.970000,9.450000,9.640000,9.606572,3544900
2021-03-12,9.670000,10.000000,9.590000,9.880000,9.845739,2265000
2021-03-15,9.880000,10.160000,9.840000,9.870000,9.835773,3271100
2021-03-16,9.960000,9.970000,9.570000,9.670000,9.636468,1739700
2021-03-17,9.650000,9.770000,9.500000,9.600000,9.566710,1895000
2021-03-18,9.600000,9.840000,9.260000,9.330000,9.297647,2558500
2021-03-19,9.340000,9.610000,9.290000,9.350000,9.317577,1534200
2021-03-22,9.390000,9.490000,9.260000,9.280000,9.247820,1502700
2021-03-23,9.210000,9.410000,8.920000,8.940000,8.908998,20240400
2021-03-24,8.970000,9.370000,8.910000,9.020000,8.988722,3856100
2021-03-25,9.020000,9.350000,8.930000,9.200000,9.168097,2449900
2021-03-26,9.310000,9.370000,8.920000,9.100000,9.068444,1452800
2021-03-29,9.020000,9.170000,8.880000,9.000000,8.968791,2376000
2021-03-30,8.850000,8.970000,8.620000,8.910000,8.879103,6525100
2021-03-31,8.880000,9.110000,8.820000,8.840000,8.809346,3585400
2021-04-01,8.850000,8.970000,8.300000,8.530000,8.500421,10593600
2021-04-05,8.600000,8.900000,8.460000,8.470000,8.440629,3488500
2021-04-06,8.470000,8.830000,8.410000,8.800000,8.769485,3895600
2021-04-07,8.800000,9.090000,8.660000,9.020000,8.988722,6218200
2021-04-08,9.020000,9.200000,8.760000,8.760000,8.729624,3590000
2021-04-09,8.740000,8.870000,8.660000,8.700000,8.669831,2385800
2021-04-12,8.700000,8.780000,8.610000,8.760000,8.729624,2074200
2021-04-13,8.760000,8.870000,8.660000,8.700000,8.669831,2852500
2021-04-14,8.700000,8.810000,8.440000,8.540000,8.510386,3257100
2021-04-15,8.540000,8.600000,8.320000,8.320000,8.291148,2726600
2021-04-16,8.330000,8.420000,8.080000,8.100000,8.071912,4206300
2021-04-19,8.190000,8.290000,8.070000,8.150000,8.121738,2234500
2021-04-20,8.130000,8.230000,7.920000,7.990000,7.962293,3569900
2021-04-22,8.020000,8.380000,8.010000,8.200000,8.171565,3567100
2021-04-23,8.240000,8.390000,8.110000,8.170000,8.141669,2289200
2021-04-26,8.160000,8.310000,8.070000,8.300000,8.271218,2224100
2021-04-27,8.300000,9.140000,8.300000,8.800000,8.769485,10755100
2021-04-28,8.800000,9.440000,8.800000,9.090000,9.058479,10290700
2021-04-29,9.150000,9.260000,8.710000,9.020000,8.988722,4246000
2021-04-30,9.060000,9.240000,8.740000,9.000000,8.968791,7893800
2021-05-03,9.160000,9.180000,8.840000,9.010000,8.978757,3374300
2021-05-04,9.000000,9.000000,8.560000,8.600000,8.570178,3306000
2021-05-05,8.650000,8.690000,8.110000,8.300000,8.271218,5723400
2021-05-06,8.370000,8.640000,8.260000,8.600000,8.570178,3444300
2021-05-07,8.610000,8.800000,8.530000,8.790000,8.759519,2309400
2021-05-10,8.780000,8.940000,8.440000,8.490000,8.460559,2275400
2021-05-11,8.410000,8.430000,8.050000,8.270000,8.241323,3606600
2021-05-12,8.220000,8.680000,8.210000,8.570000,8.540281,4051000
2021-05-13,8.610000,8.900000,8.330000,8.560000,8.530317,4572200
2021-05-14,8.620000,8.650000,8.460000,8.520000,8.490456,2570400
2021-05-17,8.460000,8.520000,8.170000,8.320000,8.291148,3003000
2021-05-18,8.330000,8.530000,8.270000,8.530000,8.500421,2354000
2021-05-19,8.410000,8.510000,8.300000,8.390000,8.360907,1679500
2021-05-20,8.380000,8.440000,8.250000,8.300000,8.271218,1677300
2021-05-21,8.350000,8.350000,8.210000,8.300000,8.271218,1772000
2021-05-24,8.320000,8.750000,8.300000,8.680000,8.649900,3348800
2021-05-25,8.760000,8.810000,8.500000,8.560000,8.530317,2512200
2021-05-26,8.610000,8.690000,8.380000,8.400000,8.370872,2354500
2021-05-27,8.450000,8.810000,8.420000,8.700000,8.669831,6839500
2021-05-28,8.770000,9.160000,8.730000,9.100000,9.068444,4499000
2021-05-31,9.300000,9.690000,9.300000,9.500000,9.467057,6239500
2021-06-01,9.700000,10.040000,9.530000,9.980000,9.945392,7471700
2021-06-02,10.010000,10.320000,9.750000,9.970000,9.935428,6257300
2021-06-04,10.060000,10.060000,9.780000,9.870000,9.835773,3682300
2021-06-07,10.000000,10.350000,9.960000,10.110000,10.074942,5912800
2021-06-08,10.120000,10.250000,9.530000,9.780000,9.746086,5727700
2021-06-09,9.850000,9.850000,9.580000,9.600000,9.566710,2671200
2021-06-10,9.600000,9.690000,9.270000,9.440000,9.407265,3127500
2021-06-11,9.490000,9.560000,9.320000,9.460000,9.427196,1915100
2021-06-14,9.580000,10.050000,9.580000,9.900000,9.865669,5585100
2021-06-15,10.000000,10.780000,9.950000,10.700000,10.662895,10056300
2021-06-16,10.810000,10.950000,10.300000,10.400000,10.363935,8125900
2021-06-17,10.420000,10.690000,10.010000,10.030000,9.995219,4160400
2021-06-18,10.070000,10.420000,9.820000,10.100000,10.064977,10130700
2021-06-21,10.220000,10.620000,10.220000,10.480000,10.443658,5718400
2021-06-22,10.480000,10.570000,10.250000,10.350000,10.314110,3284200
2021-06-23,10.380000,10.560000,10.170000,10.310000,10.274249,2992300
2021-06-24,10.360000,10.460000,9.950000,10.110000,10.074942,3634100
2021-06-25,10.150000,10.220000,9.600000,9.860000,9.825809,3816600
2021-06-28,9.900000,10.030000,9.690000,9.950000,9.915497,2474200
2021-06-29,9.950000,9.950000,9.710000,9.730000,9.696259,1522100
2021-06-30,9.720000,9.930000,9.630000,9.920000,9.885601,3196700
2021-07-01,9.980000,10.150000,9.900000,10.060000,10.025116,4221600
2021-07-02,10.100000,10.250000,9.950000,10.180000,10.144699,3266800
2021-07-05,10.180000,10.320000,9.960000,10.090000,10.055011,3577000
2021-07-06,10.050000,10.250000,9.910000,10.100000,10.064977,3044200
2021-07-07,10.200000,10.270000,10.020000,10.270000,10.234387,3309300
2021-07-08,10.100000,10.430000,9.950000,10.340000,10.304144,3021300
2021-07-12,10.350000,10.360000,10.170000,10.230000,10.194525,1796100
2021-07-13,10.190000,10.400000,10.110000,10.370000,10.334040,1969500
2021-07-14,10.400000,10.570000,9.950000,10.370000,10.334040,3992900
2021-07-15,10.290000,10.350000,9.980000,10.100000,10.064977,3520700
2021-07-16,10.130000,10.140000,9.810000,9.830000,9.795913,2948000
2021-07-19,9.760000,9.760000,9.350000,9.350000,9.317577,3375100
2021-07-20,9.350000,9.430000,9.070000,9.280000,9.247820,3297700
2021-07-21,9.280000,9.410000,9.230000,9.300000,9.267751,2079200
2021-07-22,9.250000,9.350000,9.170000,9.250000,9.217924,1786900
2021-07-23,9.250000,9.300000,9.070000,9.150000,9.118270,2161800
2021-07-26,9.130000,9.260000,9.020000,9.250000,9.217924,1644100
2021-07-27,9.160000,9.250000,8.580000,9.080000,9.048513,7316200
2021-07-28,8.980000,9.110000,8.870000,8.900000,8.869137,2072300
2021-07-29,8.930000,9.190000,8.780000,9.190000,9.158132,2716600
2021-07-30,9.090000,9.160000,8.350000,8.750000,8.719658,6861700
2021-08-02,8.870000,9.040000,8.660000,8.690000,8.659865,3672900
2021-08-03,8.630000,8.710000,8.440000,8.530000,8.500421,1842600
2021-08-04,8.530000,9.040000,8.530000,8.600000,8.570178,2536500
2021-08-05,8.680000,9.120000,8.590000,9.060000,9.028584,2845000
2021-08-06,9.060000,9.090000,8.820000,8.820000,8.789414,1727200
2021-08-09,8.840000,9.070000,8.720000,8.950000,8.918964,1460500
