Date,Open,High,Low,Close,Adj Close,Volume
2008-02-06,3.393323,3.423352,3.333264,3.423352,2.408338,106562
2008-02-07,3.393323,3.408337,3.363293,3.408337,2.397774,19980
2008-02-08,3.415845,3.415845,3.348279,3.376807,2.375593,266405
2008-02-11,3.423052,3.423052,3.062999,3.273205,2.302709,1198824
2008-02-12,3.332964,3.333264,3.234167,3.288220,2.313271,69931
2008-02-13,3.333264,3.333264,3.198132,3.288220,2.313271,509500
2008-02-14,3.378308,3.453382,3.183117,3.183117,2.239331,1155533
2008-02-15,3.183117,3.243176,3.153087,3.197831,2.249683,236434
2008-02-18,3.243176,3.333264,3.243176,3.245878,2.283484,26640
2008-02-19,3.326958,3.326958,3.123058,3.168102,2.228769,362977
2008-02-20,3.168102,3.168102,3.138073,3.138073,2.207643,46620
2008-02-21,3.138073,3.138073,3.078615,3.107142,2.185883,246425
2008-02-22,3.093029,3.123058,3.032970,3.123058,2.197080,522820
2008-02-25,3.213146,3.213146,3.153087,3.213146,2.260457,1861508
2008-02-26,3.153087,3.303235,3.153087,3.168102,2.228769,3889520
2008-02-27,3.183117,3.183117,3.123058,3.165099,2.226655,925759
2008-02-28,3.183117,3.264196,3.108043,3.183117,2.239331,782566
2008-02-29,3.153087,3.153087,3.147082,3.147082,2.213980,729285
2008-03-03,3.147082,3.153087,3.147082,3.153087,2.218205,163173
2008-03-04,3.093029,3.093029,2.990929,2.990929,2.104127,662683
2008-03-05,3.031468,3.228161,2.987926,3.017955,2.123140,2434280
2008-03-06,3.020958,3.062999,3.020958,3.023961,2.127365,119882
2008-03-07,3.047985,3.047985,3.014952,3.014952,2.121027,83251
2008-03-10,3.014952,3.032970,2.973812,2.973812,2.092085,602742
2008-03-11,3.062999,3.062999,3.002940,3.002940,2.112576,636043
2008-03-12,3.090026,3.149184,3.062999,3.096032,2.178066,263075
2008-03-13,3.146181,3.213146,3.078014,3.213146,2.260457,512830
2008-03-14,3.272905,3.363293,3.212846,3.212846,2.260246,1148873
2008-03-17,3.153087,3.270202,3.140475,3.270202,2.300596,39960
2008-03-18,3.273205,3.333264,3.273205,3.303235,2.323835,815866
2008-03-19,3.333264,3.333264,3.123058,3.129064,2.201304,103232
2008-03-20,3.126061,3.271704,3.123659,3.271704,2.301653,83251
2008-03-24,3.288220,3.288220,3.213747,3.282214,2.309047,59941
2008-03-25,3.287920,3.288220,3.183117,3.226660,2.269964,389618
2008-03-26,3.213146,3.240173,3.144679,3.144679,2.212290,19980
2008-03-27,3.213447,3.213447,3.153087,3.153087,2.218205,49951
2008-03-28,3.153087,3.252185,3.129064,3.129064,2.201304,49951
2008-03-31,3.213146,3.297229,3.212846,3.212846,2.260246,99902
2008-04-01,3.273205,3.273205,3.153388,3.239572,2.279048,56611
2008-04-02,3.267199,3.267199,3.123358,3.182817,2.239120,139862
2008-04-03,3.138373,3.153087,3.123058,3.153087,2.218205,106562
2008-04-04,3.123358,3.211345,3.122758,3.122758,2.196868,63271
2008-04-07,3.153087,3.198132,3.032970,3.078014,2.165391,556121
2008-04-08,3.101437,3.101437,3.062699,3.101437,2.181869,556121
2008-04-09,3.101437,3.101437,3.100536,3.100536,2.181236,9990
2008-04-10,3.008946,3.122758,3.008946,3.122758,2.196868,293046
2008-04-11,3.062999,3.062999,2.990929,2.990929,2.104127,349657
2008-04-14,2.986725,3.002940,2.958497,2.958497,2.081311,196474
2008-04-15,2.949188,3.032369,2.942882,2.942882,2.070326,243095
2008-04-16,2.972911,3.017955,2.943182,3.017955,2.123140,116552
2008-04-17,3.002940,3.002940,2.914354,2.914354,2.050255,955729
2008-04-18,2.972911,3.002340,2.884324,3.002340,2.112155,462879
2008-04-22,3.002340,3.075011,3.002340,3.075011,2.163279,36630
2008-04-23,3.033270,3.075011,2.978917,2.995433,2.107296,805876
2008-04-24,2.978917,2.978917,2.978917,2.978917,2.095676,6660
2008-04-25,2.978917,3.062399,2.966905,3.002640,2.112365,13320
2008-04-28,3.038675,3.038675,2.942882,3.002940,2.112576,346327
2008-04-29,2.973211,2.973211,2.942882,2.942882,2.070326,692654
2008-04-30,2.981920,3.032970,2.981920,3.032970,2.133703,136532
2008-05-02,3.243176,3.243176,3.153087,3.153087,2.218205,399608
2008-05-05,3.063300,3.228161,3.063300,3.198132,2.249894,59941
2008-05-06,3.183117,3.227861,3.168102,3.168102,2.228769,263075
2008-05-07,3.153388,3.212846,3.153087,3.177111,2.235107,346327
2008-05-08,3.255187,3.255187,3.123058,3.123058,2.197080,69931
2008-05-09,3.212245,3.212245,3.209242,3.209242,2.257711,43290
2008-05-12,3.195129,3.209543,3.195129,3.209543,2.257922,93241
2008-05-13,3.195129,3.209543,3.195129,3.209543,2.257922,93241
2008-05-14,3.205639,3.213146,3.205639,3.213146,2.260457,53281
2008-05-15,3.242875,3.303235,3.242875,3.288220,2.313271,123212
2008-05-16,3.303235,3.543170,3.303235,3.453382,2.429464,1315377
2008-05-19,3.540467,3.573499,3.498426,3.573499,2.513967,119882
2008-05-20,3.513440,3.588514,3.513440,3.588214,2.524319,96571
2008-05-21,3.603228,3.603529,3.484312,3.573499,2.513967,19980
2008-05-23,3.603529,3.603529,3.603529,3.603529,2.535092,289715
2008-05-26,3.603529,3.603529,3.543470,3.603228,2.534881,532811
2008-05-27,3.603529,3.603529,3.513440,3.573199,2.513756,53281
2008-05-28,3.573499,3.693617,3.573499,3.693617,2.598469,96571
2008-05-29,3.693617,3.813734,3.603829,3.753676,2.640721,96571
2008-05-30,3.813434,3.813434,3.641366,3.768690,2.651284,293046
2008-06-02,3.783705,3.783705,3.723346,3.723346,2.619383,293046
2008-06-03,3.644369,3.678302,3.644369,3.663587,2.577344,269735
2008-06-04,3.663587,3.663587,3.575001,3.575001,2.515023,119882
2008-06-05,3.603529,3.603529,3.516443,3.600526,2.532980,36630
2008-06-06,3.603529,3.603529,3.513440,3.543170,2.492630,53281
2008-06-09,3.549476,3.549476,3.547974,3.549476,2.497066,76591
2008-06-10,3.571998,3.571998,3.571998,3.571998,2.512910,3330
2008-06-11,3.571998,3.571998,3.571998,3.571998,2.512910,0
2008-06-12,3.603529,3.603529,3.483411,3.483411,2.450589,849167
2008-06-13,3.543470,3.543470,3.393323,3.393323,2.387212,189813
2008-06-16,3.393323,3.493921,3.393323,3.393323,2.387212,83251
2008-06-17,3.468396,3.468396,3.393323,3.393323,2.387212,53281
2008-06-18,3.453382,3.453382,3.273205,3.273205,2.302709,183153
2008-06-19,3.363293,3.363293,3.183117,3.183117,2.239331,83251
2008-06-20,3.183117,3.183117,3.093029,3.093029,2.175954,36630
2008-06-23,3.243176,3.243176,3.123058,3.123058,2.197080,63271
2008-06-24,3.123058,3.123058,3.002940,3.002940,2.112576,639373
2008-06-25,3.032970,3.092728,3.002940,3.002940,2.112576,283055
2008-06-26,3.032970,3.032970,3.032970,3.032970,2.133703,29970
2008-06-27,2.942882,3.029967,2.942882,3.002940,2.112576,179823
2008-06-30,3.029967,3.029967,2.972911,3.002940,2.112576,36630
2008-07-01,2.996935,3.002940,2.957896,2.957896,2.080888,56611
2008-07-02,3.032670,3.032670,2.915255,2.972911,2.091451,233104
2008-07-03,2.954893,3.062999,2.954893,2.972911,2.091451,1005680
2008-07-04,3.002940,3.017955,2.972911,3.017955,2.123140,206464
2008-07-07,3.032970,3.032970,3.002640,3.002940,2.112576,16650
2008-07-08,3.032670,3.047985,2.972911,2.972911,2.091451,263075
2008-07-10,2.943182,3.029967,2.942882,3.002940,2.112576,43290
2008-07-11,3.017955,3.123058,3.002940,3.032970,2.133703,59941
2008-07-14,3.062999,3.099035,3.062999,3.092728,2.175742,63271
2008-07-15,3.092728,3.092728,3.092728,3.092728,2.175742,0
2008-07-16,3.092728,3.092728,3.092728,3.092728,2.175742,0
2008-07-17,3.105040,3.105040,3.062999,3.078014,2.165391,13320
2008-07-18,3.087023,3.087023,3.087023,3.087023,2.171730,3330
2008-07-21,3.087023,3.087023,3.087023,3.087023,2.171730,0
2008-07-22,3.086422,3.086422,3.004142,3.062699,2.154617,153183
2008-07-23,3.093029,3.093029,3.062699,3.065101,2.156307,119882
2008-07-24,3.059696,3.059996,3.059696,3.059996,2.152715,36630
2008-07-25,3.032970,3.108043,2.972911,3.047684,2.144054,49951
2008-07-28,3.092428,3.092428,3.032970,3.047684,2.144054,69931
2008-07-29,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-07-30,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-07-31,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-01,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-04,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-05,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-06,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-07,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-08,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-11,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-12,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-13,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-14,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-15,3.047684,3.047684,3.047684,3.047684,2.144054,0
2008-08-18,2.402352,2.402352,2.252205,2.252205,1.584432,1515181
2008-08-19,2.318270,2.327279,2.312264,2.312264,1.626684,253085
2008-08-20,2.324276,2.324276,2.323975,2.324276,1.635135,259745
2008-08-21,2.371422,2.371422,2.369020,2.369020,1.666612,66601
2008-08-22,2.370821,2.370821,2.366317,2.366317,1.664710,233104
2008-08-25,2.366317,2.366317,2.366317,2.366317,1.664710,0
2008-08-26,2.342293,2.342293,2.342293,2.342293,1.647810,99902
2008-08-27,2.252205,2.252205,2.162117,2.162117,1.521055,1481880
2008-08-28,2.252205,2.252205,2.132088,2.177132,1.531618,206464
2008-08-29,2.132088,2.252205,2.102058,2.192447,1.542392,865817
2008-09-01,2.266920,2.266920,2.227881,2.227881,1.567321,16650
2008-09-02,2.237190,2.237190,2.237190,2.237190,1.573869,3330
2008-09-03,2.207161,2.237190,2.207161,2.236890,1.573658,29970
2008-09-04,2.177132,2.177132,2.177132,2.177132,1.531618,3330
2008-09-05,2.207161,2.207161,2.207161,2.207161,1.552744,13320
2008-09-08,2.252205,2.252205,2.236890,2.237190,1.573869,9990
2008-09-09,2.237190,2.237190,2.042300,2.101758,1.478593,93241
2008-09-10,2.162117,2.162117,1.983442,1.983442,1.395357,113222
2008-09-11,1.952211,1.981340,1.921882,1.948608,1.370851,755925
2008-09-12,1.982241,2.010468,1.921882,1.921882,1.352050,63271
2008-09-15,1.907167,1.921882,1.801764,1.801764,1.267546,2197845
2008-09-16,1.846808,1.936896,1.801764,1.906867,1.341486,539471
2008-09-17,1.849811,1.933893,1.771735,1.786749,1.256983,1511851
2008-09-18,1.757020,1.933893,1.757020,1.933893,1.360499,1585112
2008-09-19,2.011670,2.011670,1.951911,1.951911,1.373174,73261
2008-09-22,1.951911,1.975935,1.802064,1.917377,1.348880,53281
2008-09-23,1.917377,1.951911,1.801764,1.801764,1.267546,56611
2008-09-24,1.846808,1.859120,1.772035,1.787050,1.257194,342997
2008-09-25,1.802365,1.816779,1.801764,1.816779,1.278109,126542
2008-09-26,1.816779,1.831793,1.816779,1.831793,1.288671,23310
2008-09-29,1.816779,1.816779,1.763627,1.801764,1.267546,86581
2008-09-30,1.831793,1.889750,1.816779,1.819782,1.280221,176493
2008-10-01,1.831493,1.832995,1.816779,1.831493,1.288460,46620
2008-10-02,1.816779,1.831793,1.762726,1.800863,1.266912,216454
