Date,Open,High,Low,Close,Adj Close,Volume
2011-03-02,20.900000,21.379999,20.900000,21.000000,15.673636,125200
2011-03-03,21.309999,21.350000,21.100000,21.250000,15.860236,49200
2011-03-04,21.299999,21.690001,21.209999,21.400000,15.972181,51300
2011-03-09,21.400000,21.400000,21.400000,21.400000,15.972181,0
2011-03-10,22.510000,23.290001,22.200001,23.000000,17.166370,267500
2011-03-11,22.990000,23.490000,22.879999,22.990000,17.158895,119600
2011-03-14,23.190001,23.370001,23.000000,23.200001,17.315638,261400
2011-03-15,23.490000,23.490000,22.379999,22.600000,16.867825,199300
2011-03-16,22.650000,23.100000,22.170000,23.000000,17.166370,255300
2011-03-17,22.750000,23.100000,22.600000,23.100000,17.241003,82000
2011-03-18,23.090000,23.090000,22.549999,22.549999,16.830503,98500
2011-03-21,22.799999,23.090000,22.799999,22.980000,17.151434,334
2011-03-22,23.059999,23.240000,22.900000,23.100000,17.241003,19400
2011-03-23,23.100000,23.350000,22.650000,22.650000,16.905142,220000
2011-03-24,22.650000,22.650000,22.650000,22.650000,16.905142,0
2011-03-25,22.650000,22.650000,22.650000,22.650000,16.905142,0
2011-03-28,23.600000,23.920000,23.500000,23.799999,17.763454,7800
2011-03-29,23.750000,23.760000,23.510000,23.510000,17.547016,25100
2011-03-30,24.000000,24.000000,22.799999,22.799999,17.017094,25100
2011-03-31,22.760000,23.000000,22.600000,22.750000,16.979773,118700
2011-04-01,22.750000,22.750000,22.750000,22.750000,16.979773,0
2011-04-04,22.500000,22.870001,22.440001,22.490000,16.785719,711400
2011-04-05,22.490000,22.490000,22.490000,22.490000,16.785719,0
2011-04-06,22.980000,22.980000,22.500000,22.500000,16.793184,84700
2011-04-07,22.270000,22.750000,22.000000,22.750000,16.979773,51400
2011-04-08,22.750000,23.389999,22.750000,23.000000,17.166370,24800
2011-04-11,23.000000,23.450001,23.000000,23.000000,17.166370,14400
2011-04-12,23.000000,23.340000,23.000000,23.010000,17.173830,8300
2011-04-13,23.110001,23.799999,23.110001,23.650000,17.651506,467900
2011-04-14,23.990000,24.980000,23.990000,24.600000,18.360550,223100
2011-04-15,24.990000,25.700001,24.610001,24.950001,18.621771,66300
2011-04-18,25.200001,25.299999,24.600000,24.879999,18.569530,14300
2011-04-19,24.900000,24.900000,24.200001,24.360001,18.181423,77100
2011-04-20,24.900000,24.980000,24.350000,24.350000,18.173962,105600
2011-04-25,23.900000,24.389999,23.799999,24.090000,17.979900,22700
2011-04-26,24.219999,24.500000,24.200001,24.299999,18.136639,113400
2011-04-27,24.370001,24.450001,24.200001,24.299999,18.136639,62100
2011-04-28,24.209999,24.490000,24.200001,24.200001,18.062008,83900
2011-04-29,24.250000,24.389999,24.200001,24.389999,18.203808,49900
2011-05-02,24.200001,25.000000,24.200001,24.719999,18.450113,245400
2011-05-03,24.990000,25.000000,24.660000,24.660000,18.405327,417600
2011-05-04,24.559999,24.750000,24.500000,24.500000,18.285917,113600
2011-05-05,24.500000,24.500000,24.299999,24.299999,18.136639,3200
2011-05-06,24.590000,25.000000,24.340000,24.900000,18.584452,26000
2011-05-09,25.200001,25.200001,24.219999,24.600000,18.360550,293
2011-05-10,24.600000,24.600000,24.600000,24.600000,18.360550,0
2011-05-11,24.879999,24.879999,24.200001,24.600000,18.360550,450700
2011-05-12,24.600000,25.000000,24.309999,24.750000,18.472506,728600
2011-05-13,24.750000,24.840000,24.420000,24.750000,18.472506,43800
2011-05-16,24.750000,24.750000,24.750000,24.750000,18.472506,0
2011-05-17,25.900000,25.900000,25.450001,25.750000,19.218874,44000
2011-05-18,25.750000,25.870001,25.650000,25.799999,19.256187,56500
2011-05-19,25.799999,26.250000,25.400000,25.400000,18.957645,37000
2011-05-20,25.780001,26.000000,25.040001,25.500000,19.032278,8500
2011-05-23,25.110001,25.110001,24.500000,24.799999,18.509821,87000
2011-05-24,24.559999,25.299999,24.360001,24.750000,18.472506,145800
