Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,1.333333,1.333333,1.303333,1.316666,0.196936,277200
2000-02-04,1.333333,1.358333,1.310000,1.333333,0.199429,509400
2000-02-07,1.335000,1.335000,1.308333,1.311666,0.196188,642600
2000-02-08,1.333333,1.350000,1.318333,1.341666,0.200675,2721600
2000-02-09,1.333333,1.370000,1.333333,1.341666,0.200675,356400
2000-02-10,1.333333,1.333333,1.308333,1.323333,0.197933,1814400
2000-02-11,1.323333,1.333333,1.315000,1.316666,0.196936,1090800
2000-02-14,1.315000,1.315000,1.263333,1.303333,0.194942,597600
2000-02-15,1.281666,1.281666,1.218333,1.245000,0.186217,781200
2000-02-16,1.245000,1.316666,1.216666,1.273333,0.190454,2455200
2000-02-17,1.250000,1.266666,1.243333,1.248333,0.186715,1508400
2000-02-18,1.248333,1.308333,1.241666,1.250000,0.186965,504000
2000-02-21,1.258333,1.383333,1.241666,1.303333,0.194942,1875600
2000-02-22,1.350000,1.350000,1.283333,1.285000,0.192200,394200
2000-02-23,1.285000,1.331666,1.270000,1.315000,0.196687,903600
2000-02-24,1.315000,1.366666,1.250000,1.250000,0.186965,1197000
2000-02-25,1.250000,1.315000,1.243333,1.258333,0.188211,1519200
2000-02-28,1.275000,1.300000,1.243333,1.275000,0.190704,181800
2000-02-29,1.250000,1.251666,1.230000,1.241666,0.185718,2057400
2000-03-01,1.250000,1.250000,1.223333,1.225000,0.183225,1758600
2000-03-02,1.266666,1.300000,1.220000,1.225000,0.183225,1135800
2000-03-03,1.223333,1.250000,1.223333,1.233333,0.184472,1465200
2000-03-06,1.233333,1.233333,1.233333,1.233333,0.184472,0
2000-03-07,1.233333,1.233333,1.233333,1.233333,0.184472,0
2000-03-08,1.266666,1.283333,1.200000,1.283333,0.191950,1128600
2000-03-09,1.233333,1.233333,1.208333,1.233333,0.184472,1582200
2000-03-10,1.250000,1.281666,1.238333,1.273333,0.190454,162000
2000-03-13,1.273333,1.273333,1.273333,1.273333,0.190454,0
2000-03-14,1.225000,1.225000,1.173333,1.173333,0.175497,1423800
2000-03-15,1.216666,1.216666,1.120000,1.158333,0.173254,2028600
2000-03-16,1.196666,1.196666,1.133333,1.166666,0.174500,1344600
2000-03-17,1.166666,1.166666,1.133333,1.133333,0.169515,705600
2000-03-20,1.123333,1.123333,1.050000,1.081666,0.161787,610200
2000-03-21,1.083333,1.116666,1.033333,1.075000,0.160790,3186000
