Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,2.122842,2.196043,2.122842,2.132602,1.138942,1639311
2000-02-04,2.120402,2.132602,2.096001,2.105762,1.124608,1901601
2000-02-07,2.049640,2.066721,2.049640,2.049640,1.094635,9409647
2000-02-08,2.069161,2.105762,2.069161,2.069161,1.105060,3540912
2000-02-09,2.069161,2.096001,2.047200,2.069161,1.105060,3049119
2000-02-10,2.049640,2.120402,2.049640,2.120402,1.132427,10262089
2000-02-11,2.122842,2.122842,2.015480,2.049640,1.094635,754083
2000-02-14,2.149682,2.149682,1.995959,2.030120,1.084210,2262249
2000-02-15,2.013040,2.013040,1.922758,1.939838,1.035994,1213090
2000-02-16,2.013040,2.013040,1.939838,1.976439,1.055541,2819615
2000-02-17,1.959359,1.976439,1.930078,1.932518,1.032085,2655684
2000-02-18,1.939838,1.939838,1.832476,1.886157,1.007325,1934387
2000-02-21,1.866637,1.922758,1.830036,1.886157,1.007325,622938
2000-02-22,1.886157,1.886157,1.856877,1.869077,0.998203,918014
2000-02-23,1.869077,1.886157,1.839796,1.876397,1.002113,688510
2000-02-24,1.903238,1.930078,1.849556,1.849556,0.987778,4393354
2000-02-25,1.922758,1.922758,1.849556,1.849556,0.987778,1475380
2000-02-28,1.866637,1.866637,1.830036,1.866637,0.996900,360648
2000-02-29,1.903238,1.922758,1.820276,1.820276,0.972140,3147478
2000-03-01,1.866637,1.922758,1.866637,1.869077,0.998203,5344155
2000-03-02,1.922758,1.922758,1.869077,1.883717,1.006022,4524499
2000-03-03,1.922758,1.922758,1.878837,1.886157,1.007325,3508126
2000-03-06,1.886157,1.886157,1.886157,1.886157,1.007325,0
2000-03-07,1.886157,1.886157,1.886157,1.886157,1.007325,0
2000-03-08,1.883717,1.903238,1.849556,1.849556,0.987778,393434
2000-03-09,1.851997,1.856877,1.832476,1.856877,0.991688,2163891
2000-03-10,1.856877,1.864197,1.839796,1.856877,0.991688,2032746
2000-03-13,1.856877,1.856877,1.856877,1.856877,0.991688,0
2000-03-14,1.939838,1.939838,1.849556,1.939838,1.035994,6655604
2000-03-15,1.922758,1.959359,1.903238,1.939838,1.035994,1311449
2000-03-16,1.930078,1.939838,1.903238,1.922758,1.026872,1573739
