Date,Open,High,Low,Close,Adj Close,Volume
2013-05-29,18.100000,18.180000,17.719999,18.090000,8.288293,4862800
2013-05-31,18.000000,18.469999,17.799999,18.469999,8.462396,9987300
2013-06-03,18.360001,18.440001,17.930000,18.200001,8.338692,7616500
2013-06-04,18.200001,18.200001,17.750000,17.799999,8.155422,6102100
2013-06-05,17.799999,18.110001,17.600000,17.750000,8.132513,8793800
2013-06-06,17.770000,17.940001,17.600000,17.799999,8.155422,3943400
2013-06-07,17.650000,17.990000,17.520000,17.900000,8.201240,5410100
2013-06-10,17.709999,18.000000,17.700001,17.950001,8.224150,3395600
2013-06-11,17.850000,17.940001,16.500000,17.459999,7.999645,4884700
2013-06-12,17.520000,17.690001,17.150000,17.250000,7.903430,3863700
2013-06-13,17.180000,17.900000,17.000000,17.900000,8.201240,3606200
2013-06-14,17.879999,18.299999,17.820000,18.139999,8.311200,11471900
2013-06-17,18.100000,18.200001,17.959999,18.100000,8.292873,4869100
2013-06-18,18.000000,18.150000,17.780001,17.980000,8.237896,4817900
2013-06-19,17.950001,18.000000,17.309999,17.420000,7.981318,7752200
2013-06-20,17.200001,17.389999,16.700001,17.209999,7.885103,8908300
2013-06-21,17.059999,17.440001,16.820000,17.440001,7.990484,4906500
2013-06-24,17.059999,17.100000,15.980000,16.950001,7.765980,12899600
2013-06-25,16.850000,17.150000,16.459999,16.700001,7.651436,6366000
2013-06-26,16.900000,16.969999,16.620001,16.830000,7.710998,3390800
2013-06-27,16.719999,17.500000,16.719999,17.290001,7.921755,6301100
2013-06-28,17.270000,17.840000,17.120001,17.600000,8.063790,5578700
2013-07-01,17.270000,17.920000,17.120001,17.500000,8.017970,4269600
2013-07-02,17.520000,17.780001,16.799999,17.190001,7.875939,3728300
2013-07-03,17.150000,17.549999,16.900000,17.250000,7.903430,4602900
2013-07-04,17.250000,17.740000,17.150000,17.730000,8.123351,5186400
2013-07-05,17.590000,17.840000,17.360001,17.600000,8.063790,7332500
2013-07-08,17.590000,18.080000,17.490000,17.900000,8.201240,4159400
2013-07-10,18.000000,18.000000,17.600000,17.750000,8.132513,4124000
2013-07-11,17.799999,17.950001,17.629999,17.900000,8.201240,4249400
2013-07-12,17.719999,17.850000,17.620001,17.719999,8.118772,3439200
2013-07-15,17.719999,17.719999,17.260000,17.610001,8.068371,5793100
2013-07-16,17.500000,17.600000,17.150000,17.410000,7.976738,3055600
2013-07-17,17.400000,17.980000,17.350000,17.959999,8.228729,6742200
2013-07-18,17.799999,18.379999,17.770000,18.049999,8.269965,3402100
2013-07-19,17.959999,18.040001,17.820000,17.950001,8.224150,1694200
2013-07-22,17.940001,18.100000,17.900000,18.000000,8.247057,2413200
2013-07-23,17.969999,18.049999,17.910000,18.000000,8.247057,2540100
2013-07-24,17.950001,18.049999,17.770000,18.049999,8.269965,1977700
2013-07-25,17.830000,18.180000,17.820000,18.110001,8.297458,3145900
2013-07-26,18.110001,18.110001,18.110001,18.110001,8.297458,0
2013-07-29,18.049999,18.430000,17.950001,18.150000,8.315783,2801100
2013-07-30,18.100000,18.389999,18.030001,18.389999,8.425743,2984800
2013-07-31,18.209999,18.450001,18.160000,18.440001,8.448652,3346600
2013-08-01,18.440001,18.770000,18.270000,18.670000,8.554029,3614400
2013-08-02,18.500000,19.070000,18.459999,18.990000,8.700644,5523200
2013-08-05,18.910000,19.500000,18.820000,19.400000,8.888494,6374100
2013-08-06,19.360001,19.480000,19.030001,19.400000,8.888494,3746700
2013-08-07,19.209999,19.850000,18.940001,19.600000,8.980129,6741200
2013-08-08,19.500000,20.000000,19.250000,19.900000,9.117578,5228100
2013-08-09,19.799999,19.990000,19.410000,19.940001,9.135908,3321900
2013-08-12,20.000000,20.100000,19.430000,19.510000,8.938894,5182100
2013-08-13,19.610001,19.790001,19.459999,19.660000,9.007621,3361100
2013-08-14,19.590000,19.770000,19.350000,19.400000,8.888494,3669100
2013-08-15,19.350000,19.639999,19.020000,19.400000,8.888494,8960800
2013-08-16,19.370001,19.740000,18.950001,19.309999,8.847259,4835900
2013-08-19,19.219999,19.309999,18.620001,18.260000,8.366182,4897900
2013-08-20,18.219999,18.580000,18.010000,18.200001,8.532513,3678700
2013-08-21,18.070000,18.600000,17.860001,18.469999,8.659095,4048100
2013-08-22,18.410000,18.719999,18.309999,18.719999,8.776298,2313000
2013-08-23,18.540001,19.450001,18.540001,19.309999,9.052901,4077600
2013-08-26,18.950001,19.049999,18.870001,18.990000,8.902881,4006000
2013-08-27,18.700001,18.959999,18.610001,18.959999,8.888816,3484000
2013-08-28,18.799999,18.950001,18.620001,18.870001,8.846621,3386300
2013-08-29,18.770000,19.020000,18.670000,19.000000,8.907568,4654200
2013-08-30,18.770000,19.240000,18.670000,19.240000,9.020084,3807500
2013-09-02,19.040001,19.250000,19.040001,19.200001,9.001333,2949600
2013-09-03,19.049999,19.299999,19.000000,19.190001,8.996646,5987400
2013-09-04,19.100000,19.299999,19.049999,19.180000,8.991956,1877100
2013-09-05,19.110001,19.639999,19.110001,19.549999,9.165421,4234200
2013-09-06,19.500000,19.980000,19.469999,19.900000,9.329507,7978400
2013-09-09,19.809999,20.570000,19.709999,20.459999,9.592046,6199300
2013-09-10,20.350000,20.709999,20.260000,20.709999,9.709247,5235600
2013-09-11,20.500000,21.120001,20.420000,20.860001,9.779572,7203600
2013-09-12,20.740000,21.010000,20.639999,21.010000,9.849895,4667800
2013-09-13,20.910000,21.090000,20.860001,20.940001,9.817080,2308400
2013-09-16,20.950001,21.049999,20.580000,20.879999,9.788947,9339900
2013-09-17,20.760000,21.270000,20.719999,21.180000,9.929593,6467500
2013-09-18,21.120001,22.010000,21.030001,21.900000,10.267144,7528000
2013-09-19,21.840000,21.990000,21.150000,21.750000,10.196820,5765500
2013-09-20,21.600000,21.750000,21.440001,21.500000,10.079618,2971200
2013-09-23,21.600000,21.750000,21.180000,21.389999,10.028048,3225900
2013-09-24,21.600000,21.750000,21.040001,21.469999,10.065551,5959400
2013-09-25,21.400000,21.879999,21.250000,21.850000,10.243703,2501600
2013-09-26,21.700001,22.120001,21.549999,21.900000,10.267144,3635100
2013-09-27,21.799999,22.160000,21.660000,22.160000,10.389037,2592200
2013-09-30,21.799999,22.160000,21.660000,21.809999,10.224947,3580300
2013-10-01,21.750000,22.459999,21.629999,22.459999,10.529680,2853100
2013-10-02,22.299999,22.440001,22.020000,22.100000,10.360907,4816600
2013-10-03,22.049999,22.200001,21.350000,21.600000,10.126497,3460000
2013-10-04,21.600000,21.799999,21.450001,21.600000,10.126497,3831100
2013-10-07,21.500000,22.010000,21.420000,21.990000,10.309338,5017800
2013-10-08,21.900000,22.400000,21.770000,22.379999,10.492177,2529500
2013-10-09,22.290001,22.850000,22.200001,22.840000,10.707833,4020200
2013-10-10,22.730000,23.400000,22.719999,23.400000,10.970376,6824800
2013-10-11,23.260000,23.440001,23.129999,23.330000,10.937554,5691900
2013-10-14,23.260000,23.799999,23.010000,23.590000,11.059447,4245700
2013-10-15,23.500000,23.790001,23.129999,23.750000,11.134458,3549600
2013-10-16,23.750000,23.879999,23.520000,23.549999,11.040696,4807000
2013-10-17,23.490000,23.900000,23.430000,23.900000,11.204783,5664100
2013-10-18,23.930000,24.340000,23.930000,24.230000,11.359493,7660700
2013-10-21,24.200001,24.600000,24.129999,24.200001,11.345430,3558200
2013-10-22,24.150000,24.350000,23.910000,24.219999,11.354806,6122100
2013-10-23,24.090000,24.180000,23.549999,23.600000,11.064137,4296000
2013-10-24,23.660000,23.990000,23.410000,23.990000,11.246979,2918500
2013-10-25,23.830000,24.000000,23.719999,23.790001,11.153214,2330400
2013-10-28,23.850000,23.870001,23.610001,23.850000,11.181344,1836800
2013-10-29,23.799999,23.930000,23.559999,23.730000,11.125084,2831200
2013-10-30,23.750000,24.139999,23.570000,24.139999,11.317301,3444800
2013-10-31,24.040001,24.469999,23.959999,24.469999,11.472011,4142800
2013-11-01,24.469999,24.730000,24.340000,24.700001,11.579838,3171700
2013-11-04,24.610001,24.780001,24.030001,24.260000,11.373560,5427900
2013-11-05,24.160000,24.400000,23.850000,23.850000,11.181344,3102400
2013-11-06,23.889999,23.920000,23.080000,23.260000,10.904739,3651600
2013-11-07,23.219999,23.600000,23.100000,23.100000,10.829729,3671300
2013-11-08,23.090000,23.450001,22.690001,23.200001,10.876609,3305100
2013-11-11,23.400000,23.910000,23.299999,23.660000,11.092266,2847400
2013-11-12,23.600000,23.930000,22.719999,22.959999,10.764091,6258700
2013-11-13,22.879999,23.830000,22.660000,23.680000,11.101645,3908200
2013-11-14,23.680000,24.309999,23.480000,24.129999,11.312612,3324300
2013-11-18,24.129999,24.440001,23.820000,24.100000,11.298548,3459600
2013-11-19,23.900000,24.280001,23.320000,23.770000,11.143836,2557000
2013-11-21,23.490000,24.280001,23.469999,24.100000,11.298548,3732800
2013-11-22,24.010000,24.379999,23.770000,24.120001,11.307925,3020500
2013-11-25,24.180000,24.389999,24.090000,24.219999,11.354806,4697900
2013-11-26,24.110001,24.400000,24.000000,24.400000,11.439193,4353900
2013-11-27,24.299999,24.430000,24.059999,24.430000,11.453258,3790300
2013-11-28,24.370001,25.389999,24.370001,25.150000,11.790809,6908800
2013-11-29,25.250000,25.590000,25.110001,25.400000,11.908012,5423000
2013-12-02,25.209999,25.500000,25.150000,25.379999,11.898637,2171900
2013-12-03,25.400000,25.450001,24.790001,25.100000,11.767366,2965500
2013-12-04,25.100000,25.270000,24.420000,24.530001,11.500137,3710300
2013-12-05,25.100000,25.270000,24.000000,24.370001,11.425130,2924600
2013-12-06,24.430000,24.520000,24.049999,24.070000,11.284481,3051400
2013-12-09,24.059999,24.430000,24.010000,24.330000,11.406376,2727400
2013-12-10,24.469999,24.750000,24.240000,24.400000,11.439193,3031400
2013-12-11,24.350000,24.469999,24.070000,24.350000,11.415751,3071500
2013-12-12,24.400000,24.500000,23.750000,23.980000,11.242290,4368200
2013-12-13,24.030001,24.280001,23.950001,24.139999,11.317301,4048500
2013-12-16,24.190001,24.420000,23.799999,24.139999,11.317301,3954800
2013-12-17,24.049999,24.400000,23.820000,24.379999,11.429816,2749800
2013-12-18,24.219999,24.719999,24.219999,24.330000,11.406376,2510600
2013-12-19,24.299999,24.670000,24.290001,24.549999,11.509513,3964600
2013-12-20,24.500000,24.639999,24.129999,24.270000,11.378248,3067400
2013-12-23,24.270000,24.469999,23.950001,23.950001,11.228225,2878300
2013-12-26,23.910000,24.070000,23.620001,23.680000,11.101645,2387400
2013-12-27,23.680000,24.170000,23.680000,24.170000,11.331362,2525400
2013-12-30,24.059999,24.500000,24.049999,24.500000,11.486077,3582100
2014-01-02,24.440001,24.500000,23.719999,23.950001,11.228225,4963400
2014-01-03,24.000000,24.030001,23.340000,23.430000,10.984437,13864500
2014-01-06,23.549999,23.700001,22.910000,23.100000,10.829729,5649900
2014-01-07,23.090000,23.299999,22.600000,22.950001,10.759404,5969300
2014-01-08,23.000000,23.270000,22.850000,23.240000,10.895365,5974900
2014-01-09,23.110001,23.250000,22.370001,22.730000,10.656264,7303900
2014-01-10,22.600000,23.080000,22.490000,23.030001,10.796909,4540500
2014-01-13,22.940001,23.230000,22.940001,23.139999,10.848478,4678100
2014-01-14,23.000000,23.500000,22.990000,23.480000,11.007879,4471300
2014-01-15,23.469999,24.059999,23.459999,23.959999,11.232911,5146300
2014-01-16,23.950001,24.290001,23.770000,24.150000,11.321988,5444900
2014-01-17,24.150000,24.209999,23.879999,23.969999,11.237601,4857400
2014-01-20,23.889999,24.059999,23.600000,23.889999,11.200094,3375900
2014-01-21,23.680000,23.700001,23.680000,23.730000,11.125084,4365700
2014-01-22,23.780001,24.240000,23.709999,24.150000,11.321988,4874800
2014-01-23,24.000000,24.340000,23.850000,23.900000,11.204783,5612500
2014-01-24,23.799999,23.980000,22.969999,23.290001,10.918808,5407300
