Date,Open,High,Low,Close,Adj Close,Volume
2019-12-30,9.580000,9.800000,9.400000,9.790000,6.497889,4771800
2020-01-02,9.940000,9.940000,9.540000,9.590000,6.365143,2710100
2020-01-03,9.400000,9.610000,9.220000,9.510000,6.312045,1179000
2020-01-06,9.500000,9.500000,9.260000,9.290000,6.166025,1397400
2020-01-07,9.350000,9.450000,9.230000,9.300000,6.172663,930800
2020-01-08,9.310000,9.320000,9.110000,9.250000,6.139476,1330600
2020-01-09,9.320000,9.320000,9.130000,9.280000,6.159388,2137900
2020-01-10,9.270000,9.390000,9.140000,9.300000,6.172663,1134000
2020-01-13,9.300000,9.830000,9.290000,9.760000,6.477977,6790000
2020-01-14,9.800000,9.960000,9.700000,9.810000,6.511164,2711100
2020-01-15,9.780000,9.930000,9.760000,9.850000,6.537713,1515500
2020-01-16,9.930000,10.050000,9.770000,9.900000,6.570898,2509900
2020-01-17,9.900000,10.250000,9.900000,10.160000,6.743469,2705700
2020-01-20,10.190000,10.310000,10.120000,10.300000,6.836390,1527800
2020-01-21,10.300000,10.450000,10.200000,10.300000,6.836390,1431200
2020-01-22,10.420000,10.450000,9.770000,10.180000,6.756743,6030700
2020-01-23,10.130000,10.380000,10.050000,10.200000,6.770018,2220800
2020-01-24,10.300000,10.350000,10.150000,10.300000,6.836390,1490600
2020-01-27,9.960000,10.190000,9.770000,10.190000,6.763380,1657300
2020-01-28,10.290000,10.400000,9.980000,10.200000,6.770018,2388100
2020-01-29,10.220000,10.280000,9.780000,9.900000,6.570898,4397900
2020-01-30,9.750000,9.750000,9.420000,9.670000,6.418242,1957200
2020-01-31,9.670000,9.680000,9.410000,9.550000,6.338594,1429700
2020-02-03,9.540000,9.750000,9.430000,9.630000,6.391693,911600
2020-02-04,9.800000,9.920000,9.650000,9.650000,6.404967,1177900
2020-02-05,9.790000,9.860000,9.610000,9.690000,6.431516,1308000
2020-02-06,9.740000,9.890000,9.590000,9.690000,6.431516,1628800
2020-02-07,9.570000,9.650000,9.200000,9.490000,6.298770,1087000
2020-02-10,9.550000,9.550000,9.150000,9.190000,6.099652,828600
2020-02-11,9.270000,9.440000,9.190000,9.240000,6.132839,798000
2020-02-12,9.280000,9.420000,9.190000,9.190000,6.099652,1007500
2020-02-13,9.160000,9.280000,9.020000,9.160000,6.079741,1490900
2020-02-14,8.640000,8.640000,7.410000,7.550000,5.011140,30631300
2020-02-17,7.660000,7.770000,7.400000,7.400000,4.911580,4705300
2020-02-18,7.350000,7.350000,7.010000,7.190000,4.772198,6466900
2020-02-19,7.200000,7.330000,7.120000,7.250000,4.812021,3967700
2020-02-20,7.250000,7.550000,7.200000,7.350000,4.878394,3159500
2020-02-21,7.250000,7.320000,7.120000,7.200000,4.778835,2567700
2020-02-26,6.850000,6.900000,6.660000,6.680000,4.433697,2541200
2020-02-27,6.500000,6.640000,6.400000,6.500000,4.314227,4097100
2020-02-28,6.440000,6.460000,6.100000,6.250000,4.148295,4362100
2020-03-02,6.330000,6.500000,6.250000,6.500000,4.314227,2915300
2020-03-03,6.600000,6.750000,6.450000,6.550000,4.347413,2387500
2020-03-04,6.650000,6.730000,6.320000,6.500000,4.314227,3281000
2020-03-05,6.480000,6.630000,6.340000,6.360000,4.221305,1959200
2020-03-06,6.100000,6.160000,5.900000,5.920000,3.929265,1554400
2020-03-09,5.030000,5.430000,5.010000,5.220000,3.464656,1790200
2020-03-10,5.490000,5.560000,5.010000,5.340000,3.544303,1704500
2020-03-11,5.250000,5.320000,4.720000,4.800000,3.185890,1529000
2020-03-12,4.100000,4.720000,3.910000,4.700000,3.119518,1978800
2020-03-13,5.030000,5.390000,4.580000,5.100000,3.385009,1812000
2020-03-16,4.530000,4.660000,4.260000,4.260000,2.827478,1014600
2020-03-17,4.350000,4.480000,4.100000,4.100000,2.721281,1215100
2020-03-18,3.900000,3.930000,3.170000,3.400000,2.256672,2137000
2020-03-19,3.200000,4.100000,3.200000,3.970000,2.634997,2158900
2020-03-20,4.200000,4.260000,4.010000,4.060000,2.694732,1501700
2020-03-23,4.000000,4.050000,3.450000,3.550000,2.356231,1315100
2020-03-24,3.890000,3.950000,3.610000,3.610000,2.396055,1423600
2020-03-25,3.650000,3.980000,3.580000,3.900000,2.588536,2798200
2020-03-26,3.870000,4.170000,3.850000,4.010000,2.661546,2050600
2020-03-27,3.860000,4.050000,3.750000,3.910000,2.595173,1695000
2020-03-30,3.910000,4.040000,3.730000,3.760000,2.495614,1669700
2020-03-31,3.800000,3.850000,3.610000,3.610000,2.396055,1230900
2020-04-01,3.550000,3.600000,3.400000,3.600000,2.389418,991800
2020-04-02,4.000000,4.190000,3.670000,3.700000,2.455790,3614000
2020-04-03,3.740000,4.000000,3.670000,4.000000,2.654908,1641500
2020-04-06,4.170000,4.350000,4.150000,4.170000,2.767742,1293200
2020-04-07,4.370000,4.470000,4.010000,4.150000,2.754467,1767500
2020-04-08,4.170000,4.470000,4.010000,4.400000,2.920400,1044100
2020-04-09,4.460000,4.670000,4.300000,4.480000,2.973498,969900
2020-04-13,4.480000,4.800000,4.400000,4.700000,3.119518,657000
2020-04-14,4.800000,5.080000,4.720000,4.850000,3.219077,866900
2020-04-15,4.800000,5.040000,4.650000,4.950000,3.285449,662400
2020-04-16,5.010000,5.210000,4.720000,4.790000,3.179253,1367000
2020-04-17,4.950000,5.030000,4.800000,4.900000,3.252263,819300
2020-04-20,4.790000,4.940000,4.630000,4.870000,3.232351,690100
2020-04-22,4.870000,4.980000,4.850000,4.860000,3.225714,510900
2020-04-23,4.960000,5.240000,4.940000,5.030000,3.338547,1221100
2020-04-24,5.030000,5.030000,4.370000,4.590000,3.046508,1568800
2020-04-27,4.760000,4.800000,4.590000,4.680000,3.106243,610400
2020-04-28,4.810000,5.030000,4.740000,4.950000,3.285449,1246400
2020-04-29,5.040000,5.160000,4.790000,5.000000,3.318636,1039200
2020-04-30,4.980000,4.980000,4.700000,4.870000,3.232351,1055200
2020-05-04,4.700000,4.750000,4.450000,4.670000,3.099606,863600
2020-05-05,4.790000,4.840000,4.550000,4.650000,3.086331,578100
2020-05-06,4.700000,4.730000,4.470000,4.580000,3.039870,610900
2020-05-07,4.650000,4.730000,4.380000,4.380000,2.907125,789700
2020-05-08,4.500000,4.670000,4.260000,4.480000,2.973498,1187500
2020-05-11,4.440000,4.560000,4.290000,4.290000,2.847389,1144200
2020-05-12,4.310000,4.390000,4.070000,4.070000,2.701370,1046000
2020-05-13,4.100000,4.170000,3.910000,3.990000,2.648272,917400
2020-05-14,3.900000,4.230000,3.800000,4.180000,2.774379,1523800
2020-05-15,4.120000,4.290000,4.000000,4.000000,2.654908,793100
2020-05-18,4.150000,4.200000,4.050000,4.190000,2.781017,697100
2020-05-19,4.180000,4.340000,4.110000,4.180000,2.774379,1160700
2020-05-20,4.240000,4.320000,4.030000,4.170000,2.767742,717500
2020-05-21,4.140000,4.260000,4.050000,4.120000,2.734555,1212200
2020-05-22,4.110000,4.170000,4.060000,4.070000,2.701370,982000
2020-05-25,4.190000,4.350000,4.130000,4.280000,2.840752,1805100
2020-05-26,4.410000,4.480000,4.280000,4.340000,2.880576,1266900
2020-05-27,4.360000,4.670000,4.320000,4.640000,3.079694,1666600
2020-05-28,4.640000,4.700000,4.530000,4.660000,3.092968,951600
2020-05-29,4.610000,4.650000,4.550000,4.650000,3.086331,531000
2020-06-01,4.660000,4.900000,4.650000,4.870000,3.232351,1698900
2020-06-02,4.920000,5.130000,4.920000,5.060000,3.358459,1382600
2020-06-03,5.190000,5.540000,5.190000,5.500000,3.650500,2364500
2020-06-04,5.450000,5.840000,5.310000,5.590000,3.710234,2048600
2020-06-05,5.900000,5.920000,5.650000,5.680000,3.769970,1604400
2020-06-08,5.820000,6.000000,5.730000,5.990000,3.975726,1478200
2020-06-09,5.850000,5.940000,5.700000,5.880000,3.902716,1451900
