Date,Open,High,Low,Close,Adj Close,Volume
2007-12-19,9.700000,9.900000,9.590000,9.590000,7.415876,89800
2007-12-20,9.520000,9.700000,9.500000,9.500000,7.346281,28300
2007-12-21,9.460000,9.600000,9.400000,9.410000,7.276685,237700
2007-12-26,9.460000,9.500000,9.320000,9.350000,7.230286,76800
2007-12-27,9.320000,9.450000,9.140000,9.150000,7.075628,163300
2007-12-28,9.100000,9.170000,8.900000,8.900000,6.882306,361100
2008-01-02,9.000000,9.150000,8.750000,8.750000,6.792120,135800
2008-01-03,8.900000,8.900000,8.150000,8.150000,6.326375,380900
2008-01-04,8.330000,8.330000,7.300000,7.400000,5.744193,1819800
2008-01-07,7.500000,7.700000,7.310000,7.500000,5.821817,2201900
2008-01-08,7.550000,7.620000,7.250000,7.300000,5.666568,787900
2008-01-09,7.260000,7.450000,7.050000,7.320000,5.682094,659500
2008-01-10,7.500000,8.450000,7.350000,8.420000,6.535959,1038300
2008-01-11,8.300000,9.200000,8.000000,9.090000,7.056042,1087700
2008-01-14,9.000000,9.000000,8.610000,8.900000,6.908556,473600
2008-01-15,8.800000,8.800000,8.400000,8.800000,6.830933,244400
2008-01-16,8.600000,8.850000,8.400000,8.800000,6.830933,763500
2008-01-17,8.600000,8.810000,8.590000,8.730000,6.776594,820100
2008-01-18,8.720000,9.080000,8.720000,9.080000,7.048280,603800
2008-01-21,8.500000,8.500000,8.000000,8.290000,6.435049,136800
2008-01-22,8.000000,8.400000,8.000000,8.400000,6.520435,71700
2008-01-23,8.290000,8.450000,8.000000,8.450000,6.559246,450000
2008-01-24,8.470000,8.800000,8.470000,8.600000,6.675685,329100
2008-01-28,8.350000,8.520000,8.200000,8.270000,6.419524,69000
2008-01-29,8.260000,8.490000,8.240000,8.400000,6.520435,587100
2008-01-30,8.400000,8.520000,8.260000,8.500000,6.598060,497200
2008-01-31,8.400000,8.500000,8.200000,8.450000,6.559246,167600
2008-02-01,8.250000,8.650000,8.250000,8.560000,6.644634,307300
2008-02-06,8.490000,8.490000,7.810000,8.000000,6.209939,316500
2008-02-07,7.950000,8.110000,7.950000,7.950000,6.171127,68000
2008-02-08,8.100000,8.130000,7.800000,7.900000,6.132313,45100
2008-02-11,8.030000,8.050000,7.800000,8.000000,6.209939,191800
2008-02-12,8.170000,8.170000,7.930000,7.930000,6.155601,174400
2008-02-13,8.000000,8.020000,7.910000,8.010000,6.217701,455900
2008-02-14,8.070000,8.100000,7.760000,7.900000,6.132313,233500
2008-02-15,7.870000,8.150000,7.800000,8.100000,6.287563,175300
2008-02-18,8.400000,8.490000,8.310000,8.400000,6.520435,95600
2008-02-19,8.550000,8.720000,8.550000,8.600000,6.675685,311500
2008-02-20,8.610000,8.770000,8.210000,8.760000,6.799884,161500
2008-02-21,8.790000,9.000000,8.650000,8.930000,6.931843,119300
2008-02-22,9.000000,9.040000,8.800000,8.980000,6.970655,61600
2008-02-25,9.000000,9.030000,8.850000,9.000000,6.986181,28000
2008-02-26,8.900000,9.140000,8.850000,9.100000,7.063805,52100
2008-02-27,8.980000,9.100000,8.980000,9.050000,7.024992,97700
2008-02-28,9.000000,9.120000,9.000000,9.120000,7.079330,79300
2008-02-29,9.000000,9.090000,8.650000,8.650000,6.714496,267800
2008-03-03,8.700000,9.040000,8.600000,9.030000,7.009468,183800
2008-03-04,9.000000,9.050000,8.900000,8.900000,6.908556,72600
2008-03-05,9.000000,9.150000,8.900000,9.060000,7.032755,72100
2008-03-06,9.060000,9.150000,9.000000,9.000000,6.986181,69600
2008-03-07,8.990000,9.000000,8.800000,8.910000,6.916317,69800
2008-03-10,8.820000,8.990000,8.610000,8.800000,6.830933,81200
2008-03-11,9.000000,9.000000,8.620000,8.940000,6.939605,103700
2008-03-12,8.940000,8.950000,8.710000,8.900000,6.908556,135900
2008-03-13,8.750000,8.840000,8.650000,8.750000,6.792120,75500
