Date,Open,High,Low,Close,Adj Close,Volume
2008-02-06,9.790000,9.790000,9.520000,9.520000,3.855835,47900
2008-02-07,9.520000,9.650000,9.300000,9.400000,3.807232,156900
2008-02-08,9.400000,9.630000,9.350000,9.480000,3.839634,277900
2008-02-11,9.650000,9.650000,9.360000,9.500000,3.847733,43500
2008-02-12,9.650000,9.700000,9.500000,9.700000,3.928741,267200
2008-02-13,9.800000,10.100000,9.600000,9.670000,3.916589,245900
2008-02-14,9.800000,9.850000,9.670000,9.700000,3.928741,177300
2008-02-15,9.800000,9.800000,9.500000,9.750000,3.948991,304800
2008-02-18,9.750000,10.040000,9.660000,10.000000,4.050247,106300
2008-02-19,10.000000,10.100000,9.750000,9.840000,3.985444,246700
2008-02-20,9.840000,9.950000,9.700000,9.850000,3.989494,207100
2008-02-21,9.860000,10.200000,9.860000,10.000000,4.050247,822100
2008-02-22,10.010000,10.100000,9.770000,9.980000,4.042146,298000
2008-02-25,10.000000,10.050000,9.900000,10.000000,4.050247,80100
2008-02-26,9.950000,10.050000,9.860000,9.990000,4.046198,112000
2008-02-27,10.030000,10.150000,9.900000,9.950000,4.029995,516100
2008-02-28,10.000000,10.090000,9.920000,9.950000,4.029995,3276400
2008-02-29,10.080000,10.200000,9.920000,9.950000,4.029995,1558800
2008-03-03,9.920000,10.190000,9.910000,10.060000,4.074548,308800
2008-03-04,10.090000,10.100000,9.950000,10.100000,4.090752,724900
2008-03-05,10.010000,10.780000,10.010000,10.650000,4.313512,1745600
2008-03-06,10.450000,11.000000,10.450000,10.750000,4.354017,1412300
2008-03-07,10.800000,10.900000,10.470000,10.850000,4.394517,575100
2008-03-10,10.850000,10.850000,10.200000,10.350000,4.192005,116200
2008-03-11,10.310000,10.400000,10.100000,10.190000,4.127203,240500
2008-03-12,10.190000,11.000000,10.190000,10.400000,4.212257,194300
2008-03-13,10.390000,10.400000,9.900000,10.000000,4.050247,626500
2008-03-14,10.000000,10.100000,9.730000,10.000000,4.050247,1179200
2008-03-17,9.760000,9.760000,9.010000,9.450000,3.827484,135200
2008-03-18,9.450000,9.830000,9.450000,9.800000,3.969245,1826400
2008-03-19,9.800000,9.850000,9.010000,9.250000,3.746480,176000
2008-03-20,9.250000,9.250000,9.000000,9.000000,3.645222,708900
2008-03-24,9.040000,9.250000,9.000000,9.100000,3.685724,321700
2008-03-25,9.100000,9.250000,9.080000,9.130000,3.697876,1910600
2008-03-26,9.010000,9.450000,8.900000,9.450000,3.827484,68600
2008-03-27,9.450000,9.700000,9.240000,9.240000,3.742427,46900
2008-03-28,9.370000,9.370000,9.010000,9.200000,3.726227,46000
2008-03-31,9.350000,9.350000,9.030000,9.200000,3.726227,81700
2008-04-01,9.330000,9.330000,9.110000,9.200000,3.726227,165900
2008-04-02,9.300000,9.560000,9.150000,9.210000,3.730278,1112000
2008-04-03,9.020000,9.300000,9.020000,9.300000,3.766729,222900
2008-04-04,9.200000,9.350000,9.100000,9.160000,3.710026,221000
2008-04-07,9.260000,9.260000,9.100000,9.200000,3.726227,242100
2008-04-08,9.030000,9.300000,9.000000,9.300000,3.766729,5474800
2008-04-09,9.200000,9.370000,9.110000,9.110000,3.689775,1361600
2008-04-10,9.300000,9.450000,9.250000,9.300000,3.766729,142000
2008-04-11,9.270000,9.400000,9.220000,9.390000,3.803184,463200
2008-04-14,9.340000,9.500000,9.130000,9.450000,3.827484,58900
2008-04-15,9.310000,9.480000,9.200000,9.250000,3.746480,167800
2008-04-16,9.400000,9.460000,9.270000,9.360000,3.791032,61700
2008-04-17,9.300000,9.500000,9.250000,9.500000,3.847733,109900
2008-04-18,9.540000,9.750000,9.500000,9.700000,3.928741,98400
2008-04-22,9.710000,9.800000,9.530000,9.600000,3.888237,136200
2008-04-23,9.460000,9.700000,9.200000,9.300000,3.766729,137700
2008-04-24,9.250000,9.620000,9.250000,9.390000,3.803184,109500
2008-04-25,9.500000,9.500000,9.300000,9.350000,3.786983,301600
2008-04-28,9.490000,9.490000,9.300000,9.350000,3.786983,101500
2008-04-29,9.230000,9.230000,9.100000,9.230000,3.738377,123800
2008-04-30,9.230000,10.300000,9.210000,10.000000,4.050247,942900
2008-05-02,11.400000,11.400000,10.650000,10.700000,4.333765,1256600
2008-05-05,10.500000,10.840000,10.310000,10.500000,4.252760,754200
2008-05-06,10.370000,10.890000,10.370000,10.890000,4.410719,250600
2008-05-07,11.000000,11.000000,10.760000,10.940000,4.430969,199700
2008-05-08,11.030000,11.060000,10.810000,10.970000,4.443120,617300
2008-05-09,10.970000,10.990000,10.700000,10.700000,4.333765,394200
2008-05-12,10.880000,10.940000,10.600000,10.750000,4.354017,2041500
2008-05-13,10.880000,10.940000,10.600000,10.750000,4.354017,2041500
2008-05-14,10.490000,10.490000,10.280000,10.450000,4.232510,175600
2008-05-15,10.450000,10.750000,10.320000,10.680000,4.325663,296900
2008-05-16,10.680000,10.840000,10.550000,10.740000,4.349965,212000
2008-05-19,10.800000,10.800000,10.500000,10.600000,4.293262,240700
2008-05-20,10.540000,10.950000,10.430000,10.660000,4.317563,103200
2008-05-21,10.560000,11.000000,10.510000,10.900000,4.414769,288900
2008-05-23,10.860000,11.590000,10.860000,11.000000,4.455270,3508100
2008-05-26,11.100000,11.200000,10.850000,10.950000,4.435021,87800
2008-05-27,10.950000,11.100000,10.800000,10.810000,4.378317,114500
2008-05-28,10.940000,10.940000,10.620000,10.750000,4.354017,1624100
2008-05-29,10.940000,10.940000,10.620000,10.750000,4.354017,1624100
2008-05-30,11.400000,12.100000,10.800000,12.100000,4.900800,2848300
2008-06-02,11.400000,12.100000,10.800000,12.100000,4.900800,2848300
2008-06-03,12.000000,12.000000,11.500000,11.690000,4.734738,382200
2008-06-04,11.790000,11.800000,11.210000,11.500000,4.657785,553100
2008-06-05,11.280000,11.490000,11.050000,11.380000,4.609180,166700
2008-06-06,11.430000,11.500000,11.010000,11.400000,4.617283,1609000
2008-06-09,10.800000,10.900000,10.450000,10.500000,4.252760,577100
2008-06-10,10.400000,10.450000,10.210000,10.300000,4.171756,1369700
2008-06-11,10.200000,10.450000,10.010000,10.100000,4.090752,986700
2008-06-12,10.190000,10.200000,10.000000,10.090000,4.086699,369400
2008-06-13,10.300000,10.300000,9.950000,10.040000,4.066449,295200
2008-06-16,10.100000,10.100000,9.740000,9.750000,3.948991,449500
2008-06-17,9.990000,9.990000,9.640000,9.750000,3.948991,746400
2008-06-18,9.730000,9.790000,9.510000,9.700000,3.928741,509000
2008-06-19,9.700000,9.980000,9.520000,9.810000,3.973294,890200
2008-06-20,9.890000,9.900000,9.710000,9.800000,3.969245,305300
2008-06-23,9.750000,9.750000,9.410000,9.650000,3.908488,410500
2008-06-24,9.650000,9.650000,9.200000,9.540000,3.863938,455400
2008-06-25,9.540000,10.250000,9.540000,10.000000,4.050247,915200
2008-06-26,9.940000,9.940000,9.520000,9.650000,3.908488,92200
2008-06-27,9.750000,10.000000,9.410000,9.410000,3.811283,119300
2008-06-30,9.460000,9.650000,9.150000,9.250000,3.746480,762300
2008-07-01,9.120000,9.300000,8.870000,9.170000,3.714077,709000
2008-07-02,9.100000,9.200000,8.500000,8.890000,3.600669,834500
2008-07-03,8.890000,8.900000,8.250000,8.250000,3.341455,1032200
2008-07-04,8.380000,8.380000,8.090000,8.100000,3.280700,170100
2008-07-07,8.400000,8.400000,8.030000,8.130000,3.292852,224000
2008-07-08,8.200000,8.200000,7.900000,8.140000,3.296901,1204900
2008-07-10,7.990000,8.800000,7.990000,8.600000,3.483212,1306200
2008-07-11,8.650000,8.850000,8.600000,8.800000,3.564218,475700
2008-07-14,8.990000,9.090000,8.750000,8.900000,3.604720,353700
2008-07-15,8.690000,9.100000,8.650000,9.000000,3.645222,291100
2008-07-16,9.000000,9.690000,9.000000,9.690000,3.924690,183000
2008-07-17,9.650000,9.910000,9.470000,9.510000,3.851784,232000
2008-07-18,9.650000,9.900000,9.400000,9.600000,3.888237,340300
2008-07-21,9.600000,9.600000,9.350000,9.420000,3.815334,170600
2008-07-22,9.260000,9.430000,9.150000,9.430000,3.819383,105300
2008-07-23,9.430000,9.840000,9.330000,9.490000,3.843684,189200
2008-07-24,9.320000,9.550000,9.100000,9.200000,3.726227,136900
2008-07-25,9.190000,9.480000,9.020000,9.100000,3.685724,136600
2008-07-28,9.110000,9.260000,8.760000,8.900000,3.604720,213700
2008-07-29,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-07-30,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-07-31,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-01,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-04,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-05,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-06,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-07,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-08,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-11,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-12,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-13,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-14,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-15,8.900000,8.900000,8.900000,8.900000,3.604720,0
2008-08-18,8.230000,8.290000,8.010000,8.260000,3.345504,85000
2008-08-19,8.350000,8.350000,7.920000,8.060000,3.264500,338100
2008-08-20,8.090000,8.090000,7.960000,8.000000,3.240198,520800
2008-08-21,8.000000,8.070000,7.900000,7.960000,3.223997,483300
2008-08-22,7.930000,7.990000,7.750000,7.990000,3.236147,338400
2008-08-25,7.990000,8.060000,7.880000,8.000000,3.240198,106900
2008-08-26,8.000000,8.080000,7.770000,7.800000,3.159193,951800
2008-08-27,7.890000,7.890000,7.500000,7.850000,3.179445,168700
2008-08-28,7.760000,8.250000,7.740000,8.250000,3.341455,228000
2008-08-29,8.240000,8.240000,7.920000,8.090000,3.276650,352000
2008-09-01,8.090000,8.100000,7.800000,8.100000,3.280700,146400
2008-09-02,8.000000,8.090000,7.530000,7.530000,3.049835,393600
2008-09-03,7.670000,7.700000,7.150000,7.150000,2.895927,2679700
2008-09-04,7.240000,7.250000,6.520000,6.950000,2.814922,532800
2008-09-05,6.950000,7.070000,6.500000,7.070000,2.863525,447300
2008-09-08,7.250000,7.390000,6.510000,7.000000,2.835173,191800
2008-09-09,7.190000,7.190000,6.710000,6.900000,2.794670,1068100
2008-09-10,6.920000,7.000000,6.410000,6.800000,2.754168,593400
2008-09-11,6.790000,6.790000,6.260000,6.400000,2.592158,643300
2008-09-12,6.400000,6.700000,6.350000,6.450000,2.612410,739500
2008-09-15,6.300000,6.300000,5.850000,6.100000,2.470650,640400
2008-09-16,5.950000,6.170000,5.610000,6.140000,2.486852,4422500
2008-09-17,6.190000,6.200000,5.510000,5.610000,2.272190,940000
2008-09-18,5.870000,5.980000,5.620000,5.980000,2.422047,711700
2008-09-19,6.210000,6.850000,6.210000,6.700000,2.713665,906400
2008-09-22,6.560000,7.000000,6.350000,6.700000,2.713665,506800
2008-09-23,6.700000,6.800000,6.250000,6.400000,2.592158,779700
2008-09-24,6.450000,6.600000,6.100000,6.100000,2.470650,530600
2008-09-25,6.200000,6.420000,6.100000,6.210000,2.515203,2237100
2008-09-26,6.190000,6.190000,6.000000,6.100000,2.470650,240400
2008-09-29,6.030000,6.030000,5.500000,5.650000,2.288389,3361800
2008-09-30,5.660000,6.500000,5.600000,6.500000,2.632659,1055300
2008-10-01,6.400000,6.450000,6.110000,6.450000,2.612410,439800
2008-10-02,6.300000,6.350000,5.400000,5.860000,2.373445,935500
2008-10-03,6.030000,6.150000,5.550000,5.600000,2.268137,479000
