Date,Open,High,Low,Close,Adj Close,Volume
2001-07-06,11.644791,12.334853,11.386018,12.058828,3.077896,1306
2001-07-09,12.058828,12.058828,12.058828,12.058828,3.077896,0
2001-07-10,12.205466,12.205466,11.558533,11.731049,2.994235,951
2001-07-11,11.730186,12.076080,11.429147,11.817307,3.016251,1908
2001-07-12,11.817307,11.946693,11.731049,11.731049,2.994235,1835
2001-07-13,11.963945,11.963945,11.386018,11.472276,2.928185,1430
2001-07-16,11.731049,11.859573,11.472276,11.816444,3.016031,3322
2001-07-17,11.817307,11.988959,11.472276,11.903564,3.038267,3167
2001-07-18,11.988959,12.032951,11.429147,11.549908,2.947999,1351
2001-07-19,11.515405,11.730186,10.783077,11.213503,2.862136,973
2001-07-20,11.386018,11.386018,11.127245,11.265257,2.875346,5154
2001-07-23,11.558533,11.601662,11.299760,11.472276,2.928185,13588
2001-07-24,11.807818,11.807818,11.471413,11.731049,2.994235,1840
2001-07-25,11.765552,11.765552,11.472276,11.472276,2.928185,1464
2001-07-26,11.700859,11.722423,11.299760,11.472276,2.928185,1356
2001-07-27,11.643066,11.643066,11.386018,11.472276,2.928185,4724
2001-07-30,11.635303,11.636165,11.386018,11.386018,2.906168,3373
2001-07-31,11.557671,11.557671,10.954729,11.298898,2.883932,1206
2001-08-01,11.213503,11.472276,10.954729,11.256631,2.873144,3083
2001-08-02,11.511092,11.511092,11.213503,11.213503,2.862136,522
2001-08-03,11.472276,11.687920,11.216090,11.472276,2.928185,1715
2001-08-06,11.902702,11.894938,11.429147,11.429147,2.917177,658
2001-08-07,11.471413,11.687057,11.386018,11.515405,2.939193,1653
2001-08-08,11.386018,11.644791,11.386018,11.472276,2.928185,867
2001-08-09,11.558533,11.558533,11.455024,11.498153,2.934790,3225
2001-08-10,11.472276,11.515405,11.299760,11.429147,2.917177,210
2001-08-13,11.644791,11.644791,11.213503,11.429147,2.917177,2004
2001-08-14,11.558533,11.593036,11.213503,11.515405,2.939193,2338
2001-08-15,11.644791,11.816444,11.515405,11.705172,2.987630,7075
2001-08-16,11.644791,11.989822,11.602525,11.894938,3.036065,1337
2001-08-17,11.817307,11.860435,11.213503,11.472276,2.928185,13481
2001-08-20,11.558533,11.558533,11.299760,11.386018,2.906168,1532
2001-08-21,11.540419,11.540419,10.954729,11.040987,2.818103,5415
2001-08-22,11.558533,11.558533,10.954729,11.040987,2.818103,5109
2001-08-23,11.006484,11.213503,10.652827,10.739085,2.741045,2320
2001-08-24,10.866747,11.039262,10.609699,10.859846,2.771868,2405
2001-08-27,10.996996,11.084116,10.782214,10.954729,2.796087,1809
2001-08-28,11.126382,11.213503,10.868472,11.126382,2.839899,692
2001-08-29,11.213503,11.213503,10.954729,11.204877,2.859933,1778
2001-08-30,11.040987,11.169511,10.868472,11.126382,2.839899,1257
2001-08-31,11.127245,11.472276,11.127245,11.213503,2.862136,7462
2001-09-03,11.213503,11.213503,11.127245,11.170374,2.851127,3220
2001-09-04,10.954729,11.196251,10.954729,11.041850,2.818324,1174
2001-09-05,10.954729,11.040987,10.437183,10.695956,2.730037,452
2001-09-06,10.868472,10.868472,10.567432,10.567432,2.697232,2420
2001-09-07,10.567432,10.567432,10.567432,10.567432,2.697232,0
2001-09-10,10.777901,10.777901,10.092152,10.178410,2.597938,839
2001-09-11,10.376803,10.376803,8.625771,8.625771,2.201642,315
2001-09-12,8.410127,8.625771,8.194482,8.410127,2.146601,3470
2001-09-13,8.625771,8.884544,7.591541,8.203971,2.093983,2671
2001-09-14,8.108225,8.108225,6.814359,7.591541,1.937666,2400
2001-09-17,7.590678,7.935709,7.418163,7.590678,1.937445,985
2001-09-18,7.745942,7.806323,7.245648,7.331905,1.871396,1771
2001-09-19,7.331905,7.745942,7.159390,7.504421,1.915429,911
2001-09-20,7.245648,7.668310,7.245648,7.556175,1.928639,688
2001-09-21,7.073132,7.245648,6.728101,6.986874,1.783330,919
2001-09-24,6.986874,6.986874,6.986874,6.986874,1.783330,0
2001-09-25,7.168016,7.244785,6.986874,6.986874,1.783330,1034
2001-09-26,7.159390,7.159390,6.814359,6.900617,1.761314,853
2001-09-27,7.159390,7.159390,6.814359,6.900617,1.761314,853
2001-09-28,6.737590,7.159390,6.521083,6.795382,1.734454,1043
2001-10-01,6.900617,6.900617,6.555586,6.659095,1.699668,777
2001-10-02,6.788482,6.788482,6.555586,6.641844,1.695265,600
2001-10-03,6.641844,6.831611,6.555586,6.599577,1.684477,3433
2001-10-04,6.512457,6.641844,6.296813,6.383070,1.629216,1836
2001-10-05,6.383070,6.468466,6.296813,6.468466,1.651012,1253
2001-10-08,6.590089,6.590089,6.150175,6.167426,1.574175,1151
2001-10-09,6.288187,6.383070,6.132923,6.297675,1.607419,6497
2001-10-10,6.296813,6.469328,6.253684,6.296813,1.607200,12229
2001-10-11,6.383070,6.641844,6.305439,6.470191,1.651452,632
2001-10-12,6.470191,6.470191,6.470191,6.470191,1.651452,0
2001-10-15,6.555586,6.900617,6.469328,6.729826,1.717722,1479
2001-10-16,6.736727,7.099010,6.728101,7.004126,1.787734,3058
2001-10-17,7.142138,7.142138,6.900617,7.031728,1.794779,4609
2001-10-18,7.073132,7.142138,7.030003,7.038629,1.796540,758
2001-10-19,7.107635,7.159390,6.986874,7.116261,1.816355,1066
2001-10-22,7.159390,7.461292,7.158527,7.461292,1.904421,1072
2001-10-23,7.504421,7.590678,7.340531,7.431102,1.896715,885
2001-10-24,7.340531,7.418163,7.161978,7.177504,1.831987,1257
2001-10-25,7.117124,7.288776,7.116261,7.245648,1.849380,784
2001-10-26,7.245648,7.288776,6.987737,6.987737,1.783551,1063
