Date,Open,High,Low,Close,Adj Close,Volume
2009-07-29,8.615259,8.620282,8.539906,8.580094,4.731452,4645987
2009-07-30,8.615259,8.891550,8.615259,8.891550,4.903202,10620935
2009-07-31,8.846338,8.992019,8.841315,8.992019,4.958605,5642309
2009-08-03,9.012113,9.142723,8.936761,8.946808,4.933673,5968776
2009-08-04,8.886526,9.122630,8.846338,8.997043,4.961374,6899208
2009-08-05,8.951831,9.253240,8.871456,9.243193,5.097114,18395832
2009-08-06,9.243193,9.338639,8.876479,8.891550,4.903202,12729436
2009-08-07,8.941784,9.017137,8.615259,8.791080,4.847798,27335262
2009-08-10,8.720752,8.791080,8.620282,8.665493,4.778543,17369451
2009-08-11,8.710705,8.710705,8.519813,8.539906,4.709290,23126821
2009-08-12,8.590141,8.670517,8.544930,8.570047,4.725911,14354606
2009-08-13,8.615259,8.660470,8.494695,8.494695,4.684357,21772380
2009-08-14,8.524836,8.560000,8.343991,8.444460,4.656657,8343229
2009-08-17,8.298780,8.539906,8.163146,8.338967,4.598483,5287177
2009-08-18,8.409296,8.625306,8.409296,8.479625,4.676047,6278920
2009-08-19,8.429390,8.484648,8.343991,8.359061,4.609564,5422541
2009-08-20,8.379155,8.424367,8.303803,8.313850,4.584630,4394169
2009-08-21,8.364085,8.615259,8.364085,8.615259,4.750843,8701745
2009-08-24,8.640376,8.745869,8.590141,8.740845,4.820094,8580515
2009-08-25,8.670517,8.781033,8.640376,8.735822,4.817325,10406143
2009-08-26,8.680564,8.690611,8.404273,8.444460,4.656657,12925515
2009-08-27,8.444460,8.489672,8.253568,8.374132,4.617875,9221306
2009-08-28,8.414320,8.479625,8.077747,8.163146,4.501527,11091326
2009-08-31,8.117935,8.258592,7.987324,8.258592,4.554159,17575086
2009-09-01,8.238498,8.238498,8.052629,8.087794,4.459974,7104644
2009-09-02,8.047606,8.173193,7.937089,8.032536,4.429501,12551073
2009-09-03,8.087794,8.138028,8.017465,8.037559,4.432271,8294258
2009-09-04,8.102864,8.102864,8.017465,8.087794,4.459974,5427717
2009-09-08,8.117935,8.258592,8.092817,8.238498,4.543079,9793619
2009-09-09,8.238498,8.238498,8.037559,8.037559,4.432271,8028108
2009-09-10,8.022489,8.122958,8.017465,8.122958,4.479363,5041132
2009-09-11,8.138028,8.153099,8.012442,8.027512,4.426731,7119773
2009-09-14,8.017465,8.087794,7.942113,8.032536,4.429501,5692872
2009-09-15,8.052629,8.072723,7.962207,7.962207,4.390718,11183096
2009-09-16,8.012442,8.504742,7.992348,8.489672,4.681588,27051992
2009-09-17,8.539906,8.921691,8.514789,8.886526,4.900432,17192482
2009-09-18,8.891550,9.142723,8.836291,9.142723,5.041708,13044755
2009-09-21,9.012113,9.429061,8.725775,9.318545,5.138666,14045656
2009-09-22,9.318545,9.383850,9.057324,9.067371,5.000156,9369610
2009-09-23,9.072395,9.162817,8.791080,8.791080,4.847798,6981223
2009-09-24,8.801127,9.077418,8.801127,8.976949,4.950294,6905578
2009-09-25,8.891550,9.037230,8.856385,8.966902,4.944754,5455984
2009-09-28,9.017137,9.142723,8.896573,9.052301,4.991845,3217295
2009-09-29,8.941784,9.032207,8.745869,8.770986,4.836715,5058849
2009-09-30,8.851362,8.891550,8.715728,8.831268,4.869959,7111412
2009-10-01,8.750892,8.911644,8.494695,8.539906,4.709290,6904583
2009-10-02,8.590141,8.675540,8.514789,8.590141,4.736990,11405452
2009-10-05,8.665493,8.906620,8.620282,8.901597,4.908741,9714789
2009-10-06,8.941784,9.092489,8.901597,9.042254,4.986306,11587198
2009-10-07,8.941784,9.032207,8.781033,8.881503,4.897662,5884970
2009-10-08,8.936761,9.022160,8.549953,8.690611,4.792394,12702562
2009-10-09,8.680564,8.680564,8.509766,8.645399,4.767461,8132816
2009-10-13,8.640376,8.760939,8.539906,8.665493,4.778543,9768338
2009-10-14,8.776010,8.891550,8.745869,8.816198,4.861648,8356765
2009-10-15,8.791080,8.966902,8.765963,8.916667,4.917053,17406079
2009-10-16,8.841315,9.147747,8.750892,9.042254,4.986306,23599004
2009-10-19,9.142723,9.268310,9.047277,9.157794,5.050019,9353087
2009-10-20,8.966902,9.087465,8.791080,8.976949,4.950294,9928585
2009-10-21,8.941784,9.042254,8.770986,8.770986,4.836715,5614838
2009-10-22,8.861409,8.861409,8.645399,8.700658,4.797934,6861187
2009-10-23,8.841315,8.901597,8.539906,8.565024,4.723141,7206963
2009-10-26,8.640376,8.640376,8.143052,8.298780,4.576320,9759181
2009-10-27,8.364085,8.374132,7.937089,7.937089,4.376869,14222824
2009-10-28,7.987324,8.067700,7.680892,8.067700,4.448893,11895949
2009-10-29,8.338967,8.635352,8.188263,8.539906,4.709290,10737786
2009-10-30,8.590141,8.635352,8.072723,8.112911,4.473824,9559717
2009-11-03,8.133005,8.539906,8.067700,8.529859,4.703749,8105345
2009-11-04,8.585118,8.695634,8.489672,8.615259,4.750843,3987080
2009-11-05,8.539906,8.590141,8.404273,8.464554,4.667737,2831904
2009-11-06,8.499719,8.539906,8.318874,8.338967,4.598483,2705895
2009-11-09,8.524836,8.539906,8.394226,8.489672,4.681588,6132806
2009-11-10,8.419343,8.539906,8.233474,8.514789,4.695437,7852532
2009-11-11,8.514789,8.595165,8.313850,8.414320,4.640036,5548549
2009-11-12,8.439437,8.439437,8.298780,8.389202,4.626182,12083867
2009-11-13,8.389202,8.474601,8.389202,8.444460,4.656657,9715984
2009-11-16,8.464554,8.534883,8.424367,8.489672,4.681588,7695072
2009-11-17,8.439437,8.489672,8.394226,8.454507,4.662196,4772592
2009-11-18,8.454507,8.459531,8.022489,8.022489,4.423961,21195289
2009-11-19,8.022489,8.022489,7.635681,7.786385,4.293764,24374762
2009-11-23,7.997371,8.163146,7.937089,7.987324,4.404570,15273093
2009-11-24,8.002395,8.173193,7.947136,8.122958,4.479363,14675698
2009-11-25,8.158122,8.293756,8.097841,8.293756,4.573550,13045153
2009-11-26,8.092817,8.138028,8.037559,8.057653,4.443354,3204355
2009-11-27,8.027512,8.138028,7.962207,8.138028,4.487675,6462857
2009-11-30,8.138028,8.268639,8.092817,8.263615,4.556931,6525164
2009-12-01,8.298780,8.464554,8.213381,8.449484,4.659426,18860053
2009-12-02,8.439437,8.524836,8.153099,8.263615,4.556931,18471676
2009-12-03,8.328921,8.328921,7.736150,7.786385,4.293764,31281933
2009-12-04,7.836620,7.952160,7.590470,7.650751,4.218968,19119634
2009-12-07,7.741174,7.741174,7.495024,7.535212,4.155256,14884518
2009-12-08,7.484977,7.530188,7.183568,7.203662,3.972423,27231748
2009-12-09,7.233803,7.233803,6.786714,6.786714,3.742499,40796662
2009-12-10,6.887183,7.334273,6.831925,7.334273,4.044448,62065008
2009-12-11,7.474930,7.620611,7.359390,7.530188,4.152485,24437865
2009-12-14,7.550282,7.650751,7.495024,7.540235,4.158025,13267908
2009-12-15,7.474930,7.575399,7.419672,7.535212,4.155256,10396389
2009-12-16,7.545258,7.575399,7.294085,7.454836,4.110932,11712610
2009-12-17,7.409625,7.409625,7.037888,7.268967,4.008437,13482898
2009-12-18,7.339296,7.379484,7.193615,7.284038,4.016744,8268380
2009-12-21,7.334273,7.565352,7.334273,7.384507,4.072150,6692578
2009-12-22,7.439765,7.474930,7.359390,7.404601,4.083231,6354764
2009-12-23,7.439765,7.530188,7.389531,7.530188,4.152485,7452809
2009-12-24,7.530188,7.530188,7.530188,7.530188,4.152485,0
2009-12-28,7.535212,7.695963,7.530188,7.640704,4.213428,6674264
2009-12-29,7.675869,7.726104,7.525165,7.530188,4.152485,3633739
2009-12-30,7.530188,7.530188,7.530188,7.530188,4.152485,0
2010-01-04,7.695963,7.937089,7.635681,7.937089,4.376869,7856713
2010-01-05,7.911972,7.962207,7.756244,7.881831,4.346395,4355949
2010-01-06,7.836620,7.911972,7.786385,7.861737,4.335316,10207675
2010-01-07,7.796432,8.148075,7.786385,8.047606,4.437812,17911904
2010-01-08,8.067700,8.213381,7.937089,7.947136,4.382408,8385032
2010-01-11,7.952160,8.062676,7.711033,7.836620,4.321464,5093884
2010-01-12,7.741174,7.766291,7.540235,7.600517,4.191267,9434505
2010-01-13,7.625634,7.690939,7.429719,7.510094,4.141404,9408029
2010-01-14,7.560329,7.610564,7.484977,7.610564,4.196809,4406511
2010-01-15,7.630658,7.630658,7.444789,7.620611,4.202349,4397553
2010-01-18,7.625634,7.716057,7.625634,7.700986,4.246672,2232120
2010-01-19,7.615587,7.680892,7.545258,7.580423,4.180187,3243173
2010-01-20,7.540235,7.540235,7.304132,7.364413,4.061069,6972862
2010-01-21,7.344319,7.449812,7.223756,7.409625,4.086001,8093003
2010-01-22,7.289061,7.741174,7.284038,7.741174,4.268833,11992695
2010-01-26,7.585446,7.866761,7.474930,7.685916,4.238360,5899701
2010-01-27,7.625634,7.706010,7.540235,7.585446,4.182956,6462658
2010-01-28,7.615587,7.675869,7.560329,7.610564,4.196809,3571034
2010-01-29,7.635681,7.746197,7.424695,7.535212,4.155256,7081950
2010-02-01,7.535212,7.560329,7.434742,7.500047,4.135864,5437272
2010-02-02,7.565352,7.665822,7.484977,7.595493,4.188497,5911645
2010-02-03,7.585446,7.841643,7.585446,7.841643,4.324234,7676957
2010-02-04,7.821550,7.821550,7.520141,7.535212,4.155256,7101260
2010-02-05,7.434742,7.585446,7.012770,7.248873,3.997355,16405178
2010-02-08,7.354366,7.384507,7.007747,7.032864,3.878238,5870239
2010-02-09,7.133334,7.183568,7.032864,7.148404,3.941952,5704617
2010-02-10,7.188592,7.213709,7.007747,7.083099,3.905940,4045008
2010-02-11,7.083099,7.158451,7.047934,7.153427,3.944722,1704796
2010-02-12,7.083099,7.138357,6.957512,7.057981,3.892088,6281906
2010-02-17,7.133334,7.163474,6.882160,6.982629,3.850535,24266669
2010-02-18,6.992676,7.233803,6.952488,7.233803,3.989044,7501779
2010-02-19,7.178545,7.253897,7.098169,7.168498,3.953032,5111601
2010-02-22,7.183568,7.218733,7.042911,7.183568,3.961343,13901931
2010-02-23,7.153427,7.203662,7.083099,7.183568,3.961343,5117772
