Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,1.724879,1.764993,1.724879,1.724879,0.353846,302
2000-02-04,1.724879,1.764993,1.724879,1.764993,0.362075,113
2000-02-07,1.845220,1.845220,1.724879,1.764993,0.362075,279
2000-02-08,1.805106,1.925446,1.805106,1.845220,0.378533,696
2000-02-09,1.845220,1.845220,1.845220,1.845220,0.378533,382
2000-02-10,1.845220,1.885333,1.845220,1.885333,0.386762,436
2000-02-11,1.845220,1.885333,1.845220,1.845220,0.378533,664
2000-02-14,1.845220,1.885333,1.764993,1.805106,0.370304,385
2000-02-15,1.764993,1.764993,1.724879,1.764993,0.362075,84
2000-02-16,1.805106,1.845220,1.724879,1.764993,0.362075,396
2000-02-17,1.805106,1.805106,1.805106,1.805106,0.370304,62
2000-02-18,1.805106,1.805106,1.764993,1.764993,0.362075,130
2000-02-21,1.805106,1.805106,1.764993,1.764993,0.362075,150
2000-02-22,1.764993,1.805106,1.724879,1.764993,0.362075,270
2000-02-23,1.764993,1.764993,1.764993,1.764993,0.362075,165
2000-02-24,1.764993,1.764993,1.724879,1.724879,0.353846,223
2000-02-25,1.684766,1.724879,1.684766,1.684766,0.345617,48
2000-02-28,1.684766,1.684766,1.644652,1.684766,0.345617,81
2000-02-29,1.764993,1.764993,1.604539,1.604539,0.329159,239
2000-03-01,1.604539,1.684766,1.604539,1.644652,0.337388,112
2000-03-02,1.644652,1.684766,1.604539,1.604539,0.329159,107
2000-03-03,1.604539,1.644652,1.604539,1.644652,0.337388,114
2000-03-06,1.644652,1.644652,1.644652,1.644652,0.337388,0
2000-03-07,1.644652,1.644652,1.644652,1.644652,0.337388,0
2000-03-08,1.644652,1.644652,1.644652,1.644652,0.337388,104
2000-03-09,1.684766,1.764993,1.644652,1.684766,0.345617,79
2000-03-10,1.684766,1.684766,1.644652,1.644652,0.337388,130
2000-03-13,1.644652,1.644652,1.644652,1.644652,0.337388,0
2000-03-14,1.684766,1.684766,1.604539,1.644652,0.337388,103
2000-03-15,1.644652,1.644652,1.564425,1.644652,0.337388,69
2000-03-16,1.684766,1.724879,1.684766,1.724879,0.353846,199
2000-03-17,1.684766,1.764993,1.684766,1.724879,0.353846,295
2000-03-20,1.764993,1.764993,1.724879,1.724879,0.353846,22
2000-03-21,1.724879,1.764993,1.724879,1.724879,0.353846,87
2000-03-22,1.764993,1.805106,1.724879,1.764993,0.362075,168
2000-03-23,1.764993,1.764993,1.724879,1.764993,0.362075,198
2000-03-24,1.764993,1.805106,1.764993,1.805106,0.370304,97
2000-03-27,1.805106,1.805106,1.764993,1.764993,0.362075,583
2000-03-28,1.684766,1.805106,1.684766,1.805106,0.370304,23
2000-03-29,1.845220,1.845220,1.684766,1.684766,0.345617,980
2000-03-30,1.684766,1.724879,1.684766,1.684766,0.345617,129
2000-03-31,1.684766,1.764993,1.684766,1.764993,0.362075,77
2000-04-03,1.684766,1.684766,1.604539,1.644652,0.337388,104
2000-04-04,1.644652,1.644652,1.604539,1.604539,0.329159,329
2000-04-05,1.604539,1.604539,1.564425,1.564425,0.320930,260
2000-04-06,1.604539,1.644652,1.564425,1.644652,0.337388,123
2000-04-07,1.644652,1.644652,1.604539,1.644652,0.337388,28
2000-04-10,1.644652,1.684766,1.604539,1.604539,0.329159,54
2000-04-11,1.564425,1.604539,1.564425,1.564425,0.320930,102
2000-04-12,1.564425,1.564425,1.524312,1.524312,0.312701,289
2000-04-13,1.524312,1.564425,1.484198,1.484198,0.304472,79
2000-04-14,1.444085,1.444085,1.403971,1.444085,0.296243,377
2000-04-17,1.403971,1.403971,1.283631,1.323744,0.271556,522
2000-04-18,1.444085,1.444085,1.363858,1.444085,0.296243,42
2000-04-19,1.444085,1.484198,1.403971,1.444085,0.296243,345
2000-04-20,1.484198,1.524312,1.444085,1.524312,0.312701,243
2000-04-21,1.524312,1.524312,1.524312,1.524312,0.312701,0
2000-04-24,1.524312,1.524312,1.403971,1.524312,0.312701,14
2000-04-25,1.524312,1.524312,1.524312,1.524312,0.312701,19
2000-04-26,1.524312,1.524312,1.444085,1.524312,0.312701,32
2000-04-27,1.444085,1.604539,1.403971,1.604539,0.329159,138
2000-04-28,1.524312,1.644652,1.484198,1.644652,0.337388,203
2000-05-01,1.644652,1.644652,1.644652,1.644652,0.337388,0
2000-05-02,1.644652,1.644652,1.484198,1.524312,0.312701,90
2000-05-03,1.524312,1.564425,1.524312,1.564425,0.320930,97
2000-05-04,1.564425,1.604539,1.524312,1.604539,0.329159,108
2000-05-05,1.604539,1.644652,1.604539,1.644652,0.337388,100
2000-05-08,1.644652,1.684766,1.644652,1.684766,0.345617,102
2000-05-09,1.644652,1.644652,1.564425,1.604539,0.329159,275
2000-05-10,1.564425,1.604539,1.524312,1.564425,0.320930,139
2000-05-11,1.604539,1.644652,1.564425,1.564425,0.320930,383
2000-05-12,1.564425,1.564425,1.524312,1.524312,0.312701,163
2000-05-15,1.524312,1.644652,1.524312,1.644652,0.337388,23
2000-05-16,1.684766,1.684766,1.604539,1.684766,0.345617,307
2000-05-17,1.564425,1.684766,1.524312,1.604539,0.329159,56
2000-05-18,1.564425,1.604539,1.564425,1.604539,0.329159,13
2000-05-19,1.604539,1.604539,1.444085,1.484198,0.304472,110
2000-05-22,1.484198,1.564425,1.444085,1.484198,0.304472,135
2000-05-23,1.484198,1.604539,1.484198,1.524312,0.312701,163
2000-05-24,1.524312,1.604539,1.484198,1.604539,0.329159,959
2000-05-25,1.604539,1.604539,1.524312,1.564425,0.320930,68
2000-05-26,1.604539,1.644652,1.524312,1.564425,0.320930,42
2000-05-29,1.604539,1.684766,1.604539,1.684766,0.345617,79
2000-05-30,1.684766,1.684766,1.644652,1.684766,0.345617,119
2000-05-31,1.724879,1.724879,1.644652,1.684766,0.345617,47
2000-06-01,1.644652,1.644652,1.604539,1.604539,0.329159,66
2000-06-02,1.764993,1.764993,1.644652,1.684766,0.345617,134
2000-06-05,1.764993,1.764993,1.644652,1.644652,0.337388,320
2000-06-06,1.644652,1.644652,1.644652,1.644652,0.337388,0
2000-06-07,1.764993,1.805106,1.724879,1.764993,0.362075,23
