Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,5.658823,5.658823,5.658823,5.658823,2.704632,0
2000-02-04,5.764705,5.941176,5.647058,5.941176,2.839583,49044
2000-02-07,5.882352,5.941176,5.764705,5.882352,2.811468,13939
2000-02-08,6.000000,6.000000,5.882352,5.941176,2.839583,176799
2000-02-09,5.894117,5.941176,5.894117,5.941176,2.839583,13089
2000-02-10,5.882352,5.882352,5.823529,5.823529,2.783354,20994
2000-02-11,5.823529,5.823529,5.694117,5.705882,2.727124,6374
2000-02-14,5.411764,5.764705,5.411764,5.705882,2.727124,13599
2000-02-15,5.647058,5.705882,5.647058,5.705882,2.727124,72249
2000-02-16,5.647058,5.882352,5.647058,5.882352,2.811468,198559
2000-02-17,5.941176,6.352941,5.941176,6.294117,3.008271,232304
2000-02-18,6.117647,6.117647,5.717647,6.000000,2.867698,60604
2000-02-21,5.882352,6.000000,5.882352,6.000000,2.867698,2549
2000-02-22,6.223529,6.458823,6.058823,6.058823,2.895813,9689
2000-02-23,5.988235,6.000000,5.882352,6.000000,2.867698,96644
2000-02-24,5.941176,5.941176,5.776470,5.882352,2.811468,9094
2000-02-25,5.764705,5.764705,5.588235,5.647058,2.699010,202384
2000-02-28,5.647058,5.647058,5.647058,5.647058,2.699010,0
2000-02-29,5.647058,5.647058,5.647058,5.647058,2.699010,0
2000-03-01,5.647058,5.647058,5.529411,5.529411,2.642780,97069
2000-03-02,5.529411,5.529411,5.411764,5.529411,2.642780,18699
2000-03-03,5.647058,5.647058,5.470588,5.588235,2.670895,251599
2000-03-06,5.588235,5.588235,5.588235,5.588235,2.670895,0
2000-03-07,5.588235,5.588235,5.588235,5.588235,2.670895,0
2000-03-08,5.588235,5.588235,5.588235,5.588235,2.670895,0
2000-03-09,5.529411,5.529411,5.411764,5.529411,2.642780,46239
2000-03-10,5.411764,5.529411,5.294117,5.529411,2.642780,44539
2000-03-13,5.470588,5.470588,5.235294,5.352941,2.558437,9859
2000-03-14,5.411764,5.411764,5.411764,5.411764,2.586550,8499
2000-03-15,5.294117,5.529411,5.294117,5.529411,2.642780,13599
2000-03-16,5.529411,5.647058,5.411764,5.647058,2.699010,55589
2000-03-17,5.470588,5.529411,5.470588,5.529411,2.642780,1104
2000-03-20,5.529411,5.764705,5.529411,5.764705,2.755239,112029
2000-03-21,5.882352,5.976470,5.764705,5.976470,2.856452,60859
2000-03-22,6.000000,6.058823,5.988235,6.047058,2.890190,24819
2000-03-23,5.882352,6.294117,5.882352,6.294117,3.008271,143224
2000-03-24,6.058823,6.176470,6.058823,6.176470,2.952042,174929
2000-03-27,6.235294,6.588235,6.176470,6.588235,3.148845,154274
2000-03-28,6.411764,6.411764,6.176470,6.411764,3.064501,182324
2000-03-29,6.294117,6.411764,6.058823,6.341176,3.030763,153849
2000-03-30,6.058823,6.235294,6.058823,6.235294,2.980157,110669
2000-03-31,6.235294,6.235294,6.235294,6.235294,2.980157,849
2000-04-03,6.117647,6.117647,6.117647,6.117647,2.923928,3569
2000-04-04,5.941176,6.117647,5.917647,6.117647,2.923928,8924
2000-04-05,10.400000,10.400000,9.900000,10.180000,4.865528,6100
2000-04-06,10.000000,10.400000,10.000000,10.400000,4.970676,50550
2000-04-07,10.000000,10.200000,10.000000,10.000000,4.779497,75050
2000-04-10,9.960000,10.200000,9.400000,9.800000,4.683907,22850
2000-04-11,9.800000,9.800000,9.800000,9.800000,4.683907,150
2000-04-12,9.800000,9.800000,9.800000,9.800000,4.683907,5000
2000-04-13,9.800000,9.800000,9.800000,9.800000,4.683907,0
2000-04-14,9.800000,9.800000,9.400000,9.800000,4.683907,1750
2000-04-17,9.000000,9.800000,9.000000,9.800000,4.683907,6100
2000-04-18,9.800000,9.800000,9.800000,9.800000,4.683907,0
2000-04-19,9.800000,9.800000,9.800000,9.800000,4.683907,250
2000-04-20,3.400000,9.800000,9.400000,9.800000,4.683907,216800
2000-04-21,9.800000,9.800000,9.800000,9.800000,4.683907,0
2000-04-24,9.800000,9.800000,9.800000,9.800000,4.683907,0
2000-04-25,9.800000,9.800000,9.800000,9.800000,4.683907,400
2000-04-26,9.800000,9.800000,9.800000,9.800000,4.683907,50
2000-04-27,9.800000,9.800000,9.800000,9.800000,4.683907,0
2000-04-28,9.800000,9.800000,9.700000,9.700000,4.636111,1050
2000-05-01,9.700000,9.700000,9.700000,9.700000,4.636111,0
2000-05-02,9.600000,9.780000,9.600000,9.780000,4.674347,2850
2000-05-03,9.800000,9.800000,9.400000,9.700000,4.636111,1050
2000-05-04,9.700000,9.700000,9.700000,9.700000,4.636111,0
2000-05-05,9.700000,9.700000,9.700000,9.700000,4.636111,0
2000-05-08,9.700000,9.700000,9.700000,9.700000,4.636111,0
2000-05-09,9.600000,9.600000,9.600000,9.600000,4.588316,100
2000-05-10,9.600000,9.600000,9.600000,9.600000,4.588316,0
2000-05-11,8.600000,9.400000,8.400000,8.600000,4.110368,301200
2000-05-12,8.600000,8.600000,8.600000,8.600000,4.110368,0
2000-05-15,8.600000,8.980000,8.200000,8.980000,4.291987,184550
2000-05-16,8.600000,8.800000,8.600000,8.600000,4.110368,45650
2000-05-17,8.600000,8.700000,8.400000,8.700000,4.158163,17100
2000-05-18,8.800000,8.800000,8.800000,8.800000,4.205957,350
2000-05-19,8.800000,8.800000,8.800000,8.800000,4.205957,0
2000-05-22,8.800000,8.800000,8.800000,8.800000,4.205957,0
2000-05-23,8.800000,8.800000,8.800000,8.800000,4.205957,0
2000-05-24,8.200000,9.000000,8.200000,9.000000,4.301547,15650
2000-05-25,9.000000,9.000000,8.980000,8.980000,4.291987,2600
2000-05-26,8.980000,8.980000,8.980000,8.980000,4.291987,0
2000-05-29,8.780000,8.780000,8.780000,8.780000,4.196398,200
2000-05-30,8.000000,8.520000,8.000000,8.520000,4.072133,126450
2000-05-31,9.000000,9.600000,9.000000,9.300000,4.444932,299850
2000-06-01,9.500000,9.500000,9.100000,9.300000,4.444932,30000
2000-06-02,9.300000,10.000000,9.300000,9.500000,4.540523,7550
2000-06-05,9.500000,9.500000,9.500000,9.500000,4.540523,250
2000-06-06,9.500000,9.500000,9.500000,9.500000,4.540523,0
2000-06-07,9.500000,9.500000,9.400000,9.500000,4.540523,115950
2000-06-08,9.500000,9.500000,9.100000,9.300000,4.444932,57000
2000-06-09,9.300000,9.300000,9.100000,9.280000,4.435374,11500
2000-06-12,9.280000,9.280000,9.280000,9.280000,4.435374,0
2000-06-13,9.300000,9.300000,9.000000,9.200000,4.397139,28150
2000-06-14,9.200000,9.200000,9.200000,9.200000,4.397139,1650
2000-06-15,9.400000,9.400000,9.000000,9.400000,4.492726,20350
2000-06-16,9.400000,9.400000,9.400000,9.400000,4.492726,4500
2000-06-19,9.400000,9.400000,9.400000,9.400000,4.492726,500
2000-06-20,9.200000,9.400000,9.200000,9.400000,4.492726,5000
2000-06-21,9.400000,9.400000,9.200000,9.400000,4.492726,72000
2000-06-22,9.400000,9.400000,9.400000,9.400000,4.492726,0
2000-06-23,9.200000,9.500000,9.200000,9.500000,4.540523,72600
2000-06-26,9.200000,9.200000,9.100000,9.200000,4.397139,30700
2000-06-27,9.000000,9.200000,9.000000,9.200000,4.397139,7100
2000-06-28,9.400000,9.400000,9.000000,9.200000,4.397139,1600
2000-06-29,9.200000,9.200000,9.200000,9.200000,4.397139,42500
2000-06-30,9.200000,9.500000,9.200000,9.500000,4.540523,37450
2000-07-03,9.500000,9.700000,9.440000,9.700000,4.636111,30450
2000-07-04,9.800000,9.800000,9.700000,9.800000,4.683907,14850
2000-07-05,9.800000,10.040000,9.800000,10.040000,4.798615,12700
2000-07-06,10.200000,11.000000,10.200000,10.900000,5.209651,126800
2000-07-07,11.000000,12.200000,11.000000,11.580000,5.534657,433950
2000-07-10,12.000000,12.000000,11.220000,11.400000,5.448627,136800
2000-07-11,11.400000,11.400000,10.800000,11.180000,5.343477,21450
2000-07-12,11.100000,11.300000,10.800000,11.300000,5.400832,15750
2000-07-13,11.400000,11.400000,10.900000,10.900000,5.209651,342550
2000-07-14,10.900000,10.960000,10.400000,10.800000,5.161858,2779550
2000-07-17,10.800000,11.400000,10.800000,11.400000,5.448627,245250
2000-07-18,11.400000,11.500000,11.200000,11.400000,5.448627,107050
2000-07-19,11.400000,11.400000,11.000000,11.220000,5.362595,6900
2000-07-20,11.600000,11.600000,11.480000,11.600000,5.544217,61850
2000-07-21,11.500000,11.540000,11.400000,11.500000,5.496422,144050
2000-07-24,11.680000,12.600000,11.680000,12.400000,5.926576,439400
2000-07-25,12.400000,12.700000,12.000000,12.100000,5.783192,163850
2000-07-26,12.000000,12.200000,12.000000,12.100000,5.783192,3950
2000-07-27,12.100000,12.400000,11.700000,12.180000,5.821427,343300
2000-07-28,12.100000,12.100000,12.000000,12.000000,5.735395,197200
2000-07-31,12.300000,12.900000,12.200000,12.400000,5.926576,13300
2000-08-01,12.200000,12.600000,12.160000,12.160000,5.811868,16750
2000-08-02,12.260000,13.000000,12.200000,13.000000,6.213346,66000
2000-08-03,13.000000,15.000000,12.700000,13.980000,6.681736,68600
2000-08-04,14.000000,14.020000,13.700000,13.900000,6.643501,19600
2000-08-07,14.000000,14.000000,13.640000,13.760000,6.576589,47400
2000-08-08,13.800000,13.860000,13.400000,13.600000,6.500116,6500
2000-08-09,13.420000,13.420000,13.100000,13.200000,6.308935,32500
2000-08-10,13.300000,13.580000,13.300000,13.580000,6.490557,66500
2000-08-11,13.500000,13.900000,13.500000,13.580000,6.490557,32900
2000-08-14,13.600000,13.700000,13.500000,13.600000,6.500116,27500
2000-08-15,13.400000,13.700000,13.400000,13.700000,6.547911,27850
2000-08-16,13.600000,13.600000,13.000000,13.200000,6.308935,72150
2000-08-17,13.200000,13.200000,13.000000,13.100000,6.261141,84500
2000-08-18,13.400000,13.400000,13.100000,13.200000,6.308935,20150
2000-08-21,14.000000,14.000000,13.000000,13.400000,6.404525,31850
2000-08-22,13.400000,13.600000,13.400000,13.600000,6.500116,69900
2000-08-23,13.600000,14.000000,13.600000,13.800000,6.595705,97400
2000-08-24,13.800000,13.900000,13.780000,13.900000,6.643501,16800
2000-08-25,13.900000,14.000000,13.800000,13.940000,6.662619,37400
2000-08-28,13.400000,13.800000,12.600000,13.800000,6.595705,10550
2000-08-29,13.400000,13.700000,13.300000,13.700000,6.547911,10500
2000-08-30,13.600000,14.000000,13.300000,13.500000,6.452322,48300
2000-08-31,13.800000,13.800000,13.400000,13.780000,6.586147,36000
2000-09-01,13.760000,13.760000,13.200000,13.400000,6.404525,42050
2000-09-04,13.400000,13.400000,13.200000,13.400000,6.404525,41100
2000-09-05,13.000000,13.000000,11.600000,12.000000,5.735395,49000
2000-09-06,11.600000,12.000000,10.800000,11.800000,5.639806,276750
2000-09-07,11.800000,11.800000,11.800000,11.800000,5.639806,0
