Date,Open,High,Low,Close,Adj Close,Volume
2005-12-19,4.955007,4.955007,4.748671,4.955007,3.329057,11463676
2005-12-20,4.999380,5.036358,4.918029,4.999380,3.358870,15017172
2005-12-21,5.114011,5.125104,4.999380,5.114011,3.435884,10047956
2005-12-22,4.932820,5.095522,4.925425,4.932820,3.314151,3379066
2005-12-23,5.028223,5.028223,4.862563,5.028223,3.378248,2267584
2005-12-26,5.010473,5.011952,4.962402,5.010473,3.366322,511119
2005-12-27,5.088126,5.094782,5.006776,5.088126,3.418494,1322419
2005-12-28,4.999380,5.072596,4.917290,4.999380,3.358870,5273453
2005-12-29,5.038576,5.038576,4.991985,5.038576,3.385203,2312206
2006-01-02,5.028962,5.028962,4.919508,5.028962,3.378745,734226
2006-01-03,5.191664,5.308513,5.028962,5.191664,3.488057,8315830
2006-01-04,5.583627,5.657583,5.213851,5.583627,3.751400,12684683
2006-01-05,5.990382,6.197456,5.619865,5.990382,4.024680,31648833
2006-01-06,5.635396,6.167874,5.620605,5.635396,3.786181,13901634
2006-01-09,5.620605,5.886844,5.620605,5.713049,3.838354,10311629
2006-01-10,5.509672,5.669415,5.446810,5.509672,3.701714,28594286
2006-01-11,5.516328,5.934915,5.516328,5.857262,3.935242,20310908
2006-01-12,5.819545,6.267714,5.742631,6.267714,4.211009,14700765
2006-01-13,6.266974,6.266974,5.990382,6.064337,4.074369,8960814
2006-01-16,6.072472,6.330576,6.071732,6.271412,4.213493,11423111
2006-01-17,6.247746,6.247746,6.027359,6.086523,4.089274,7403117
2006-01-18,6.027359,6.175270,5.879449,6.064337,4.074369,10688884
2006-01-19,6.211508,6.503632,6.211508,6.471091,4.347649,6859545
2006-01-20,6.438551,6.641188,6.397136,6.611606,4.442054,8599785
2006-01-23,6.655980,6.951801,6.508069,6.937010,4.660680,8701198
2006-01-24,7.024277,7.246883,6.766913,7.203249,4.839556,10628036
2006-01-25,7.203249,7.203249,7.203249,7.203249,4.839556,0
2006-01-26,7.247622,7.336369,7.070129,7.218040,4.849493,14514166
2006-01-27,7.321578,7.395533,7.025756,7.118200,4.782413,12303372
2006-01-30,7.033152,7.247622,6.663375,6.996174,4.700429,15864981
2006-01-31,7.098232,7.098232,6.552442,6.600513,4.434602,11467732
2006-02-01,6.573889,6.941447,6.448905,6.877846,4.620931,30164153
2006-02-02,7.099712,7.173667,6.803890,7.173667,4.819680,21438616
2006-02-03,7.247622,7.468009,6.988779,7.351160,4.938930,15808190
2006-02-06,7.676563,8.246019,7.507205,7.913220,5.316554,20205439
2006-02-07,7.914699,8.097369,7.485019,7.513861,5.048243,14376245
2006-02-08,7.617399,7.617399,7.218040,7.365951,4.948867,8977040
2006-02-09,7.803027,7.987176,7.583379,7.691354,5.167490,10368420
2006-02-10,7.913220,8.209042,7.765310,8.024153,5.391085,17970306
2006-02-13,8.098109,8.571423,8.024153,8.504863,5.714052,8104892
2006-02-14,8.575860,9.014415,8.575120,8.800684,5.912802,15195658
2006-02-15,8.893868,9.169721,8.135826,8.135826,5.466113,12469688
2006-02-16,8.432387,8.578818,7.514601,8.135086,5.465617,32516924
2006-02-17,7.987176,8.356952,7.780101,7.839265,5.266867,9500329
2006-02-20,7.395533,7.749779,7.025756,7.672865,5.155069,18736985
2006-02-21,7.691354,7.831869,7.323057,7.617399,5.117804,13629848
2006-02-22,7.690615,8.094411,7.592994,7.876243,5.291710,5597973
2006-02-23,8.098109,8.135086,7.883638,8.009362,5.381147,14871138
2006-02-24,8.009362,8.430168,8.009362,8.371743,5.624616,5046289
2006-02-27,8.371743,8.371743,8.371743,8.371743,5.624616,0
2006-02-28,8.371743,8.371743,8.371743,8.371743,5.624616,0
2006-03-01,8.356952,8.689751,8.246019,8.578818,5.763741,6214561
2006-03-02,8.615796,8.652774,8.320714,8.360650,5.617163,5350526
2006-03-03,8.356952,8.430908,8.194990,8.297788,5.574928,3074828
2006-03-06,8.348817,8.619494,8.120295,8.216437,5.520273,2515031
2006-03-07,8.209042,8.209042,7.891034,8.024153,5.391085,8080553
2006-03-08,8.208302,8.208302,7.691354,7.783798,5.229601,4011881
2006-03-09,7.942802,8.172064,7.750518,7.750518,5.207241,7699241
2006-03-10,7.840004,8.096629,7.780101,7.987176,5.366242,5492504
2006-03-13,7.987176,8.281518,7.898429,8.135086,5.465617,6060414
2006-03-14,8.135826,8.282997,7.972384,8.053735,5.410960,2251358
2006-03-15,8.097369,8.430908,8.061131,8.135086,5.465617,4543282
2006-03-16,8.355473,8.577339,8.209042,8.464187,5.686725,11094534
2006-03-17,8.461229,8.615796,8.209042,8.482676,5.699147,6855489
2006-03-20,8.430908,9.131265,8.430908,9.100203,6.114037,18116340
2006-03-21,9.022550,9.725126,8.876858,9.573517,6.432035,16084032
2006-03-22,9.503260,9.610495,9.281394,9.355349,6.285458,14591239
2006-03-23,9.339819,9.983970,9.339819,9.983970,6.707801,11828761
2006-03-24,10.428441,10.871434,9.946992,10.583008,7.110270,11642162
2006-03-27,10.805613,11.159859,10.575612,10.945389,7.353738,11642162
2006-03-28,10.983106,10.989762,9.910014,10.205836,6.856866,6417387
2006-03-29,10.574873,10.627381,10.131880,10.575612,7.105301,8555163
2006-03-30,10.745709,11.463076,10.745709,10.790083,7.249394,6198335
2006-03-31,10.834456,11.167255,10.738314,10.974971,7.373614,8867514
2006-04-03,11.167255,11.433494,11.131017,11.396516,7.656832,3346614
2006-04-04,11.403172,11.869831,11.241210,11.721920,7.875456,2344658
2006-04-05,12.113144,12.645622,11.980764,12.091697,8.123895,15844699
2006-04-06,12.335749,12.425235,11.906808,12.054719,8.099049,5046289
2006-04-07,12.306907,12.306907,11.108091,11.108091,7.463053,11386602
2006-04-10,11.182046,11.426099,10.205836,10.649568,7.154988,17029197
2006-04-11,10.834456,10.944649,9.628984,9.946992,6.682959,25799356
2006-04-12,9.983230,10.612590,9.873037,10.464679,7.030771,18461143
2006-04-13,10.538635,10.944649,10.279791,10.427702,7.005926,8770158
2006-04-14,10.427702,10.427702,10.427702,10.427702,7.005926,0
2006-04-17,10.575612,10.575612,10.094903,10.316769,6.931396,8563276
2006-04-18,10.353746,10.723523,10.205836,10.649568,7.154988,9715323
2006-04-19,10.716127,11.455681,10.716127,11.248606,7.557456,12210072
2006-04-20,11.167255,11.869831,11.167255,11.463076,7.701549,14927929
2006-04-21,11.463076,11.463076,11.463076,11.463076,7.701549,0
2006-04-24,11.976326,12.053240,11.316645,12.017741,8.074206,9110904
2006-04-25,12.165652,12.305427,11.759637,12.091697,8.123895,4259327
2006-04-26,12.126456,12.126456,11.687161,11.869831,7.974833,5038176
2006-04-27,11.758898,11.980764,11.537032,11.832853,7.949988,7025862
2006-04-28,11.913464,12.276585,11.877226,11.877226,7.979801,5679103
2006-05-01,11.877226,11.877226,11.877226,11.877226,7.979801,0
2006-05-02,12.239607,12.239607,11.832853,11.832853,7.949988,8794497
2006-05-03,11.980024,11.980764,11.724139,11.795875,7.925142,5322131
2006-05-04,11.684942,12.269189,11.466774,12.054719,8.099049,11723292
2006-05-05,12.158256,13.201766,12.127195,13.201766,8.869700,15848755
2006-05-08,13.289773,14.035982,13.289773,13.348937,8.968579,8498372
2006-05-09,13.437684,13.644759,12.927392,13.090094,8.794674,314454075
2006-05-10,12.868228,13.016138,12.720317,12.934787,8.690327,164805760
2006-05-11,12.942183,13.377780,12.942183,13.164049,8.844360,414594952
2006-05-12,12.942183,13.014659,12.757295,12.795012,8.596423,288895675
2006-05-15,12.794272,12.794272,11.555520,11.684942,7.850614,807908952
2006-05-16,11.892757,12.269189,11.633913,11.832853,7.949988,668019000
2006-05-17,11.175390,12.017741,10.797478,11.352143,7.627020,716158382
