Date,Open,High,Low,Close,Adj Close,Volume
2006-03-08,7.833870,7.837149,7.673192,7.755171,3.418959,705062
2006-03-09,7.771567,7.804358,7.558422,7.624005,3.361132,657184
2006-03-10,7.584655,7.902732,7.217392,7.804358,3.440644,1468676
2006-03-13,7.869941,7.873220,7.771567,7.771567,3.426187,377232
2006-03-14,7.607609,7.787962,7.607609,7.771567,3.426187,403764
2006-03-15,7.705984,7.889616,7.705984,7.886337,3.476784,118628
2006-03-16,7.869941,8.033898,7.771567,7.902732,3.484012,444628
2006-03-17,7.869941,8.027340,7.742054,7.886337,3.476784,102160
2006-03-20,7.965036,7.991269,7.925686,7.968315,3.512925,282695
2006-03-21,7.925686,8.181459,7.902732,8.066689,3.556293,728849
2006-03-22,7.971594,8.210972,7.971594,8.069969,3.557740,170471
2006-03-23,8.283113,8.325742,7.968315,8.033898,3.541839,338503
2006-03-24,8.033898,8.165064,8.033898,8.033898,3.541839,316851
2006-03-27,7.873220,8.001107,7.869941,7.938803,3.499913,82338
2006-03-28,7.866662,7.902732,7.312487,7.312487,3.223795,76849
2006-03-29,7.378070,7.869941,7.378070,7.624005,3.361132,909689
2006-03-30,7.705984,7.735496,7.555143,7.555143,3.330775,659318
2006-03-31,7.624005,7.902732,7.624005,7.902732,3.484012,505620
2006-04-03,7.709263,8.069969,7.709263,7.984711,3.520154,81423
2006-04-04,7.968315,8.115877,7.968315,8.066689,3.556293,517818
2006-04-05,8.066689,8.099481,8.017502,8.033898,3.541839,370828
2006-04-06,8.033898,8.099481,7.902732,7.965036,3.511479,726409
2006-04-07,8.033898,8.197855,7.902732,8.197855,3.614121,297028
2006-04-10,8.066689,8.230646,8.066689,8.069969,3.557740,236647
2006-04-11,8.033898,8.037177,7.646959,7.673192,3.382818,97281
2006-04-12,7.801079,7.804358,7.656797,7.722379,3.404502,67395
2006-04-13,7.673192,7.673192,7.607609,7.607609,3.353904,9453
2006-04-14,7.607609,7.607609,7.607609,7.607609,3.353904,0
2006-04-17,7.545306,7.640401,7.414140,7.460048,3.288850,93012
2006-04-18,7.669913,7.669913,7.378070,7.443652,3.281620,104295
2006-04-19,7.492839,7.574818,7.079668,7.082947,3.122602,1188115
2006-04-20,7.086226,7.217392,7.086226,7.086226,3.124047,1200313
2006-04-21,7.086226,7.086226,7.086226,7.086226,3.124047,0
