Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,3.112500,3.266666,3.112500,3.220833,1.479373,22989600
2000-02-04,3.250000,3.300000,3.195833,3.300000,1.515736,5947200
2000-02-07,3.279166,3.287500,3.220833,3.287500,1.509995,7423200
2000-02-08,3.287500,3.395833,3.279166,3.295833,1.513822,7459200
2000-02-09,3.333333,3.333333,3.212500,3.216666,1.477460,7848000
2000-02-10,3.250000,3.266666,3.166666,3.220833,1.479373,8164800
2000-02-11,3.220833,3.237500,3.133333,3.133333,1.439183,1684800
2000-02-14,3.062500,3.112500,3.029166,3.029166,1.391338,331200
2000-02-15,3.000000,3.000000,2.833333,3.000000,1.377942,1058400
2000-02-16,3.054166,3.095833,3.054166,3.058333,1.404735,6580800
2000-02-17,3.070833,3.195833,3.070833,3.166666,1.454494,3578400
2000-02-18,3.220833,3.220833,3.083333,3.112500,1.429615,1699200
2000-02-21,3.054166,3.166666,3.054166,3.154166,1.448752,2289600
2000-02-22,3.195833,3.316666,3.112500,3.162500,1.452581,9028800
2000-02-23,3.275000,3.275000,3.054166,3.054166,1.402821,856800
2000-02-24,3.195833,3.254166,3.054166,3.070833,1.410476,3499200
2000-02-25,3.083333,3.112500,2.995833,3.000000,1.377942,3484800
2000-02-28,3.000000,3.112500,3.000000,3.054166,1.402821,2793600
2000-02-29,3.054166,3.100000,3.054166,3.054166,1.402821,1461600
2000-03-01,3.054166,3.137500,3.054166,3.120833,1.433442,38116800
2000-03-02,3.166666,3.220833,3.129166,3.129166,1.437270,6912000
2000-03-03,3.166666,3.333333,3.166666,3.333333,1.531046,6408000
2000-03-06,3.333333,3.333333,3.333333,3.333333,1.531046,0
2000-03-07,3.333333,3.333333,3.333333,3.333333,1.531046,0
2000-03-08,3.166666,3.166666,3.120833,3.137500,1.441098,18302400
2000-03-09,3.166666,3.166666,3.083333,3.087500,1.418132,1454400
2000-03-10,3.137500,3.137500,3.050000,3.050000,1.400908,792000
2000-03-13,3.045833,3.054166,2.916666,3.054166,1.402821,1396800
2000-03-14,3.000000,3.054166,3.000000,3.054166,1.402821,2584800
2000-03-15,3.079166,3.079166,3.000000,3.012500,1.383683,6501600
2000-03-16,3.045833,3.083333,3.037500,3.054166,1.402821,7056000
2000-03-17,3.070833,3.083333,3.033333,3.054166,1.402821,5076000
2000-03-20,3.054166,3.054166,3.029166,3.029166,1.391338,252000
2000-03-21,3.045833,3.050000,2.987500,3.000000,1.377942,6955200
2000-03-22,3.050000,3.112500,3.000000,3.079166,1.414304,8762400
2000-03-23,3.095833,3.112500,3.037500,3.037500,1.395166,6501600
2000-03-24,3.054166,3.166666,3.054166,3.166666,1.454494,5364000
2000-03-27,3.195833,3.445833,3.195833,3.362500,1.544443,3938400
2000-03-28,3.333333,3.500000,3.333333,3.483333,1.599944,8251200
2000-03-29,3.512500,3.512500,3.333333,3.379166,1.552098,2851200
2000-03-30,3.304166,3.420833,3.220833,3.362500,1.544443,23760000
2000-03-31,3.387500,3.420833,3.387500,3.420833,1.571237,16264800
2000-04-03,3.391666,3.416666,3.387500,3.416666,1.569322,3945600
2000-04-04,3.416666,3.454166,3.333333,3.416666,1.569322,3859200
2000-04-05,3.279166,3.416666,3.279166,3.333333,1.531046,2368800
2000-04-06,3.445833,3.445833,3.220833,3.333333,1.531046,1137600
2000-04-07,3.333333,3.445833,3.333333,3.441666,1.580805,684000
2000-04-10,3.387500,3.387500,3.333333,3.387500,1.555926,993600
2000-04-11,3.333333,3.387500,3.333333,3.387500,1.555926,3852000
2000-04-12,3.333333,3.387500,3.333333,3.387500,1.555926,3427200
2000-04-13,3.333333,3.362500,3.279166,3.279166,1.506167,2332800
2000-04-14,3.166666,3.220833,3.029166,3.029166,1.391338,5544000
2000-04-17,3.000000,3.000000,2.750000,2.866666,1.316700,23263200
2000-04-18,2.887500,2.887500,2.666666,2.695833,1.238234,10051200
2000-04-19,2.720833,2.754166,2.695833,2.720833,1.249717,10684800
2000-04-20,2.779166,2.804166,2.720833,2.762500,1.268855,4694400
2000-04-21,2.762500,2.762500,2.762500,2.762500,1.268855,0
2000-04-24,2.762500,2.762500,2.720833,2.737500,1.257372,1339200
2000-04-25,2.779166,2.779166,2.729166,2.729166,1.253544,1562400
2000-04-26,2.729166,2.737500,2.700000,2.700000,1.240148,19317600
2000-04-27,2.720833,2.720833,2.604166,2.612500,1.199958,19526400
2000-04-28,2.666666,2.833333,2.666666,2.833333,1.301390,6091200
2000-05-01,2.833333,2.833333,2.833333,2.833333,1.301390,0
2000-05-02,2.779166,2.833333,2.779166,2.820833,1.295648,3924000
2000-05-03,2.820833,2.820833,2.750000,2.750000,1.263113,5608800
2000-05-04,2.720833,2.750000,2.666666,2.695833,1.238234,5328000
2000-05-05,2.666666,2.808333,2.666666,2.750000,1.263113,11880000
2000-05-08,2.750000,2.779166,2.750000,2.750000,1.263113,1699200
2000-05-09,2.720833,2.729166,2.720833,2.720833,1.249717,1677600
2000-05-10,2.720833,2.729166,2.666666,2.716666,1.247802,1605600
2000-05-11,2.712500,2.720833,2.583333,2.600000,1.194216,3045600
2000-05-12,2.554166,2.554166,2.362500,2.395833,1.100439,2304000
2000-05-15,2.400000,2.400000,2.333333,2.387500,1.096612,2685600
2000-05-16,2.362500,2.500000,2.362500,2.433333,1.117664,6624000
2000-05-17,2.416666,2.554166,2.416666,2.516666,1.155940,4204800
2000-05-18,2.545833,2.554166,2.470833,2.529166,1.161682,727200
2000-05-19,2.487500,2.770833,2.470833,2.720833,1.249717,10281600
2000-05-22,2.612500,3.000000,2.612500,2.862500,1.314786,8208000
2000-05-23,2.887500,2.945833,2.729166,2.779166,1.276510,3837600
2000-05-24,2.833333,2.887500,2.779166,2.887500,1.326269,3650400
2000-05-25,2.887500,2.945833,2.887500,2.887500,1.326269,21124800
2000-05-26,2.887500,3.054166,2.887500,2.954166,1.356890,4255200
2000-05-29,2.945833,3.112500,2.945833,3.112500,1.429615,1648800
2000-05-30,3.166666,3.445833,3.166666,3.362500,1.544443,6624000
2000-05-31,3.333333,3.400000,3.304166,3.333333,1.531046,8287200
2000-06-01,3.333333,3.387500,3.250000,3.270833,1.502339,14450400
2000-06-02,3.333333,3.333333,3.112500,3.166666,1.454494,6508800
2000-06-05,3.166666,3.166666,3.054166,3.054166,1.402821,1490400
2000-06-06,3.054166,3.054166,3.054166,3.054166,1.402821,0
2000-06-07,2.945833,3.166666,2.945833,3.029166,1.391338,8805600
2000-06-08,3.112500,3.166666,3.029166,3.054166,1.402821,8157600
2000-06-09,3.112500,3.166666,3.083333,3.137500,1.441098,8964000
2000-06-12,3.166666,3.220833,3.100000,3.129166,1.437270,2455200
2000-06-13,3.133333,3.154166,3.083333,3.112500,1.429615,4284000
2000-06-14,3.112500,3.137500,3.000000,3.045833,1.398994,12981600
2000-06-15,3.012500,3.050000,2.887500,2.887500,1.326269,6199200
2000-06-16,2.887500,2.887500,2.695833,2.716666,1.247802,8755200
2000-06-19,2.720833,2.883333,2.720833,2.833333,1.301390,13406400
2000-06-20,2.854166,2.912500,2.854166,2.900000,1.332011,5292000
2000-06-21,2.945833,3.050000,2.945833,3.016666,1.385597,8539200
2000-06-22,3.016666,3.016666,3.016666,3.016666,1.385597,0
2000-06-23,3.000000,3.054166,2.970833,3.029166,1.391338,6062400
2000-06-26,3.016666,3.016666,2.945833,3.004166,1.379856,4442400
2000-06-27,3.025000,3.025000,2.950000,2.970833,1.364545,7027200
2000-06-28,3.000000,3.012500,2.970833,3.000000,1.377942,5659200
2000-06-29,2.970833,3.000000,2.954166,2.983333,1.370287,2822400
2000-06-30,3.004166,3.166666,3.004166,3.141666,1.443011,11354400
2000-07-03,3.166666,3.387500,3.166666,3.304166,1.517650,11520000
2000-07-04,3.383333,3.529166,3.383333,3.500000,1.607599,11030400
2000-07-05,3.583333,3.666666,3.383333,3.450000,1.584633,13298400
2000-07-06,3.500000,3.500000,3.445833,3.470833,1.594202,3564000
2000-07-07,3.500000,3.554166,3.500000,3.520833,1.617168,13687200
2000-07-10,3.550000,3.550000,3.487500,3.487500,1.601858,6703200
2000-07-11,3.487500,3.487500,3.279166,3.304166,1.517650,5040000
2000-07-12,3.333333,3.354166,3.200000,3.329166,1.529132,25847998
2000-07-13,3.329166,3.329166,3.112500,3.179166,1.460235,5400000
2000-07-14,3.137500,3.333333,3.054166,3.279166,1.506167,12470400
2000-07-17,3.387500,3.470833,3.279166,3.387500,1.555926,5666400
2000-07-18,3.429166,3.487500,3.362500,3.387500,1.555926,4744800
2000-07-19,3.362500,3.387500,3.300000,3.375000,1.550185,4377600
2000-07-20,3.387500,3.412500,3.329166,3.387500,1.555926,24616799
2000-07-21,3.362500,3.387500,3.333333,3.350000,1.538702,19389600
2000-07-24,3.387500,3.387500,3.320833,3.320833,1.525305,7164000
2000-07-25,3.333333,3.350000,3.279166,3.320833,1.525305,7999200
2000-07-26,3.379166,3.379166,3.304166,3.329166,1.529132,5745600
2000-07-27,3.445833,3.445833,3.329166,3.370833,1.548271,4874400
2000-07-28,3.387500,3.387500,3.279166,3.362500,1.544443,3916800
2000-07-31,3.441666,3.445833,3.166666,3.166666,1.454494,9259200
2000-08-01,3.304166,3.304166,3.137500,3.166666,1.454494,3564000
2000-08-02,3.300000,3.300000,3.054166,3.054166,1.402821,3132000
2000-08-03,3.054166,3.266666,3.054166,3.266666,1.500426,1972800
2000-08-04,3.279166,3.433333,3.279166,3.387500,1.555926,5306400
2000-08-07,3.387500,3.400000,3.370833,3.387500,1.555926,4269600
2000-08-08,3.387500,3.445833,3.362500,3.362500,1.544443,2700000
2000-08-09,3.387500,3.529166,3.387500,3.529166,1.620995,11491200
2000-08-10,3.554166,3.645833,3.554166,3.629166,1.666927,11419200
2000-08-11,3.583333,3.666666,3.583333,3.645833,1.674582,9669600
2000-08-14,3.720833,3.779166,3.695833,3.779166,1.735824,6998400
2000-08-15,3.762500,3.762500,3.666666,3.720833,1.709031,5925600
2000-08-16,3.720833,3.720833,3.500000,3.570833,1.640133,12146400
2000-08-17,3.583333,3.666666,3.583333,3.612500,1.659272,5724000
2000-08-18,3.583333,3.583333,3.470833,3.500000,1.607599,7747200
2000-08-21,3.500000,3.500000,3.445833,3.500000,1.607599,5760000
2000-08-22,3.579166,3.579166,3.554166,3.566666,1.638220,2887200
2000-08-23,3.612500,3.695833,3.612500,3.666666,1.684151,8582400
2000-08-24,3.700000,3.720833,3.637500,3.650000,1.676497,1288800
2000-08-25,3.679166,3.712500,3.666666,3.666666,1.684151,12355200
2000-08-28,3.666666,3.687500,3.654166,3.666666,1.684151,1785600
2000-08-29,3.650000,3.695833,3.637500,3.683333,1.691806,2959200
2000-08-30,3.720833,3.720833,3.654166,3.683333,1.691806,8150400
2000-08-31,3.679166,3.695833,3.666666,3.670833,1.686065,7992000
2000-09-01,3.670833,3.679166,3.662500,3.666666,1.684151,6530400
2000-09-04,3.695833,3.695833,3.583333,3.670833,1.686065,6847200
2000-09-05,3.666666,3.695833,3.637500,3.662500,1.682237,25452000
2000-09-06,3.666666,3.712500,3.662500,3.662500,1.682237,8409600
2000-09-07,3.662500,3.662500,3.662500,3.662500,1.682237,0
2000-09-08,3.662500,3.662500,3.529166,3.554166,1.632479,7344000
2000-09-11,3.612500,3.720833,3.529166,3.687500,1.693720,12866400
2000-09-12,3.729166,3.729166,3.654166,3.670833,1.686065,10843200
2000-09-13,3.695833,3.779166,3.529166,3.529166,1.620995,22348800
2000-09-14,3.666666,3.666666,3.333333,3.445833,1.582719,28094400
2000-09-15,3.445833,3.537500,3.416666,3.495833,1.605685,3456000
2000-09-18,3.487500,3.487500,3.333333,3.354166,1.540615,4485600
2000-09-19,3.441666,3.441666,3.295833,3.304166,1.517650,3650400
