Date,Open,High,Low,Close,Adj Close,Volume
2000-02-04,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-02-07,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-02-08,577030.312500,577030.312500,576891.875000,576891.875000,575339.562500,21
2000-02-09,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,21
2000-02-10,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-11,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-14,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-15,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-16,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,2
2000-02-17,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,21
2000-02-18,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-21,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-22,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-23,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-24,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-25,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-28,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-02-29,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-01,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-02,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-03,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-06,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-07,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-08,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,43
2000-03-09,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-10,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-13,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-14,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-15,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-16,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-17,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-20,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-21,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-22,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-23,623043.187500,623043.187500,623043.187500,623043.187500,621366.687500,0
2000-03-24,599967.500000,599967.500000,599967.500000,599967.500000,598353.062500,6
2000-03-27,599967.500000,599967.500000,599967.500000,599967.500000,598353.062500,0
2000-03-28,595306.250000,595306.250000,595260.062500,595260.062500,593658.250000,32
2000-03-29,595260.062500,595260.062500,595260.062500,595260.062500,593658.250000,0
2000-03-30,595260.062500,595260.062500,595260.062500,595260.062500,593658.250000,0
2000-03-31,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,2
2000-04-03,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-04,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-05,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-06,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-07,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-10,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-11,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-12,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-13,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-14,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-17,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-18,576891.875000,576891.875000,576891.875000,576891.875000,575339.562500,0
2000-04-19,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,21
2000-04-20,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,0
2000-04-21,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,0
2000-04-24,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,0
2000-04-25,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,0
2000-04-26,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,0
2000-04-27,572138.312500,572138.312500,572138.312500,572138.312500,570598.687500,0
