Date,Open,High,Low,Close,Adj Close,Volume
2004-12-20,5.823695,5.873684,5.786203,5.786203,5.253175,108024
2004-12-21,5.811198,5.836192,5.768707,5.773706,5.241830,113625
2004-12-22,5.786203,5.848689,5.786203,5.848689,5.309905,71616
2004-12-23,5.798701,5.911175,5.798701,5.911175,5.366634,987021
2004-12-24,5.911175,5.911175,5.911175,5.911175,5.366634,0
2004-12-27,5.896179,5.993657,5.896179,5.948667,5.400673,100422
2004-12-28,5.973661,6.248600,5.948667,5.988658,5.436980,607336
2004-12-29,6.248600,6.248600,5.923673,6.041146,5.484632,424495
2004-12-30,5.998656,6.048645,5.961164,5.973661,5.423364,390887
2004-12-31,5.973661,5.973661,5.973661,5.973661,5.423364,0
2005-01-03,5.998656,6.498544,5.998656,6.273594,5.695668,514515
2005-01-04,6.246100,6.748488,6.246100,6.436058,5.843165,512914
2005-01-05,6.436058,6.686002,6.373572,6.648510,6.036046,1238277
2005-01-06,6.573527,6.698499,6.448555,6.523538,5.922586,1055836
2005-01-07,6.623516,6.623516,6.386069,6.498544,5.899896,736965
2005-01-10,6.748488,6.748488,6.373572,6.493545,5.895357,33607
2005-01-11,6.493545,6.493545,6.323583,6.323583,5.741052,739765
2005-01-12,6.323583,6.623516,6.236103,6.623516,6.013356,2145280
2005-01-13,6.623516,6.623516,6.498544,6.596022,5.988394,34807
2005-01-14,6.498544,6.745988,6.498544,6.673505,6.058738,371283
2005-01-17,6.723493,6.723493,6.498544,6.658508,6.045123,80017
2005-01-18,6.498544,6.573527,6.248600,6.498544,5.899896,287264
2005-01-19,6.473549,6.498544,6.373572,6.473549,5.877203,1071439
2005-01-20,6.498544,6.573527,6.373572,6.373572,5.786435,228851
2005-01-21,6.573527,6.573527,6.486047,6.486047,5.888550,50811
2005-01-24,6.623516,6.748488,6.523538,6.748488,6.126813,170038
2005-01-26,6.748488,6.748488,6.498544,6.745988,6.124544,385686
2005-01-27,6.748488,6.870960,6.661007,6.748488,6.126813,569327
2005-01-28,6.623516,6.998432,6.618517,6.998432,6.353733,1131853
2005-01-31,6.948443,6.948443,6.723493,6.748488,6.126813,240853
2005-02-01,6.748488,6.773482,6.553532,6.745988,6.124544,1731187
2005-02-02,6.623516,6.773482,6.623516,6.748488,6.126813,224850
2005-02-03,6.745988,7.123404,6.745988,7.120904,6.464923,363681
2005-02-04,7.123404,7.248376,6.998432,7.248376,6.580653,339275
2005-02-09,7.248376,7.248376,7.123404,7.245876,6.578383,234852
2005-02-10,7.245876,7.245876,7.073415,7.173393,6.512577,70415
2005-02-11,7.173393,7.498320,7.123404,7.423337,6.739495,345277
2005-02-14,7.498320,7.748264,7.498320,7.610795,6.909686,2186889
2005-02-15,7.745764,7.745764,7.473325,7.548309,6.852955,1198668
2005-02-16,7.473325,7.473325,7.348353,7.410839,6.728150,79617
2005-02-17,7.523314,7.623292,7.448331,7.498320,6.807571,867794
2005-02-18,7.498320,7.748264,7.425836,7.670781,6.964145,652546
2005-02-21,7.795753,7.923225,7.653285,7.748264,7.034491,589331
2005-02-22,7.673281,7.873236,7.423337,7.500819,6.809841,800979
2005-02-23,7.648286,7.798253,7.548309,7.680779,6.973222,970217
2005-02-24,7.823247,8.373124,7.763261,7.873236,7.147950,1830409
2005-02-25,8.023202,8.073191,7.710772,7.998208,7.261410,639343
2005-02-28,8.003207,8.248152,7.813249,7.998208,7.261410,644944
2005-03-01,7.998208,7.998208,7.798253,7.873236,7.147950,407291
2005-03-02,7.775758,8.110683,7.748264,7.998208,7.261410,899001
2005-03-03,7.998208,8.048197,7.648286,7.748264,7.034491,726962
2005-03-04,7.873236,7.923225,7.648286,7.748264,7.034491,907403
2005-03-07,7.650786,7.798253,7.498320,7.648286,6.943722,644544
2005-03-08,7.498320,7.645787,7.123404,7.370848,6.691843,838187
2005-03-09,7.323359,7.403341,7.173393,7.310862,6.637382,817383
2005-03-10,7.373348,7.448331,7.125903,7.220882,6.555690,1197868
2005-03-11,7.185890,7.348353,6.778481,6.995932,6.351463,1189466
2005-03-14,6.998432,7.748264,6.773482,7.748264,7.034491,2498159
2005-03-15,7.873236,8.248152,7.528313,7.870736,7.145679,519716
2005-03-16,7.748264,7.998208,7.723269,7.723269,7.011798,314070
2005-03-17,7.623292,7.935722,7.623292,7.935722,7.204679,203645
2005-03-18,7.973214,7.973214,7.810750,7.935722,7.204679,285663
2005-03-21,7.933222,7.933222,7.673281,7.725769,7.014068,849390
2005-03-22,7.725769,7.798253,7.375847,7.498320,6.807571,748567
2005-03-23,7.498320,7.498320,7.278369,7.495820,6.805302,784175
2005-03-24,7.495820,7.623292,7.248376,7.495820,6.805302,401289
2005-03-28,7.495820,7.498320,7.373348,7.473325,6.784878,253256
2005-03-29,7.610795,7.610795,7.098409,7.173393,6.512577,342476
2005-03-30,7.173393,7.310862,6.913451,7.048421,6.399118,507713
2005-03-31,7.123404,7.248376,6.651010,6.748488,6.126813,277262
2005-04-01,6.873460,6.998432,6.623516,6.698499,6.081430,614537
2005-04-04,6.723493,6.873460,6.448555,6.573527,5.967970,379284
2005-04-05,6.748488,6.795977,6.373572,6.573527,5.967970,732163
2005-04-06,6.720994,6.720994,6.373572,6.698499,6.081430,416493
2005-04-07,6.623516,6.948443,6.498544,6.948443,6.308349,342076
2005-04-08,6.998432,7.123404,6.898454,6.995932,6.351463,1473129
2005-04-11,7.045921,7.073415,6.748488,6.943444,6.303809,360880
2005-04-12,7.073415,7.148398,6.825970,7.148398,6.489884,421694
2005-04-13,7.248376,7.248376,7.073415,7.073415,6.421809,253656
2005-04-14,6.998432,7.145899,6.748488,6.998432,6.353733,202845
2005-04-15,6.970938,7.235879,6.760985,7.235879,6.569307,762570
2005-04-18,7.223381,7.223381,7.073415,7.173393,6.512577,264859
2005-04-19,7.235879,7.298365,6.998432,7.173393,6.512577,383285
2005-04-20,6.900954,7.148398,6.898454,7.110907,6.455847,186441
2005-04-22,7.123404,7.123404,7.060918,7.100909,6.446770,552523
2005-04-25,7.195888,7.198387,6.998432,6.998432,6.353733,431296
2005-04-26,7.070916,7.070916,6.750987,6.873460,6.240273,455702
2005-04-27,6.873460,6.873460,6.623516,6.860963,6.228927,196844
2005-04-28,6.626015,6.820972,6.498544,6.621016,6.011085,159635
2005-04-29,6.820972,7.248376,6.378571,6.998432,6.353733,1130653
2005-05-02,7.048421,7.048421,6.845966,6.935946,6.297004,186841
2005-05-03,6.873460,6.998432,6.848465,6.848465,6.217581,686953
2005-05-04,6.848465,7.120904,6.638512,6.898454,6.262965,985420
2005-05-05,6.998432,7.123404,6.873460,6.973437,6.331040,204045
2005-05-06,7.198387,7.198387,6.880958,6.960940,6.319695,612937
2005-05-09,7.023426,7.298365,6.998432,7.123404,6.467193,1279886
2005-05-10,7.248376,7.348353,6.923449,7.245876,6.578383,464103
2005-05-11,7.248376,7.373348,7.123404,7.370848,6.691843,442499
2005-05-12,7.373348,7.373348,7.153397,7.245876,6.578383,347277
2005-05-13,7.135901,7.248376,7.123404,7.248376,6.580653,135630
2005-05-16,7.420837,7.420837,7.100909,7.265872,6.596536,583730
2005-05-17,7.295865,7.423337,7.223381,7.423337,6.739495,835387
2005-05-18,7.448331,7.593299,7.433334,7.498320,6.807571,957014
2005-05-19,7.498320,7.523314,7.448331,7.498320,6.807571,548122
2005-05-20,7.498320,7.523314,7.420837,7.448331,6.762187,193643
2005-05-23,7.498320,7.498320,7.125903,7.393343,6.712265,87219
2005-05-24,7.498320,7.498320,7.123404,7.248376,6.580653,734164
2005-05-25,7.373348,7.373348,7.010929,7.185890,6.523924,1550347
2005-05-27,7.185890,7.323359,7.185890,7.323359,6.648728,335275
2005-05-30,7.373348,7.423337,7.233379,7.233379,6.567037,194043
2005-05-31,7.323359,7.448331,7.255874,7.320860,6.646458,1519940
2005-06-01,7.298365,7.410839,7.298365,7.348353,6.671419,1041433
2005-06-02,7.348353,7.495820,7.248376,7.495820,6.805302,1885622
2005-06-03,7.253375,7.498320,7.253375,7.495820,6.805302,929408
2005-06-06,7.385845,7.498320,7.368349,7.498320,6.807571,546922
2005-06-07,7.488322,7.723269,7.248376,7.623292,6.921031,2446947
2005-06-08,7.723269,7.723269,7.498320,7.543310,6.848416,1161860
2005-06-09,7.498320,7.610795,7.398342,7.535811,6.841608,138831
2005-06-10,7.745764,7.748264,7.693276,7.723269,7.011798,334074
