Date,Open,High,Low,Close,Adj Close,Volume
2010-05-03,9.481734,9.787915,9.402719,9.669393,6.242914,1168
2010-05-04,9.590379,10.064465,9.491611,9.689147,6.255670,1816275
2010-05-05,9.679270,9.679270,9.481734,9.580502,6.185523,889558
2010-05-06,9.669393,9.669393,8.819988,9.560748,6.172770,1919446
2010-05-07,9.531118,9.531118,8.987893,9.323705,6.019726,760164
2010-05-10,9.600256,9.649640,9.234814,9.382966,6.057988,578020
2010-05-11,9.373089,9.412596,8.899002,9.037278,5.834800,2538269
2010-05-12,9.155799,9.284198,9.086662,9.284198,5.994219,1664404
2010-05-13,9.363212,9.422473,9.244690,9.382966,6.057988,494795
2010-05-14,9.363212,9.382966,8.948386,9.185430,5.930451,823444
2010-05-17,9.313828,9.422473,8.968140,9.057031,5.847552,396585
2010-05-18,9.224937,9.224937,8.899002,8.978017,5.796537,529928
2010-05-19,8.889125,9.126169,8.592821,8.839741,5.707261,843592
2010-05-20,8.800234,8.800234,8.168119,8.385408,5.413928,1284423
2010-05-21,8.424916,8.592821,8.207626,8.592821,5.547840,2124573
2010-05-24,8.839741,8.839741,8.217503,8.395285,5.420304,1349626
2010-05-25,8.059474,8.296517,8.059474,8.197749,5.292768,856754
2010-05-26,8.286640,8.691589,8.266887,8.385408,5.413928,1663695
2010-05-27,8.592821,8.819988,8.405162,8.819988,5.694508,1490461
2010-05-28,8.839741,9.076785,8.513807,9.076785,5.860306,428478
2010-05-31,9.116292,9.373089,8.740973,9.373089,6.051611,327636
2010-06-01,9.165676,9.323705,8.987893,9.234814,5.962334,483455
2010-06-02,9.264444,9.323705,9.066908,9.274321,5.987842,283897
2010-06-04,9.047154,9.303951,8.642205,9.027401,5.828422,1137209
2010-06-07,8.859495,9.076785,8.859495,9.076785,5.860306,160071
2010-06-08,9.116292,9.116292,8.632328,8.889125,5.739146,1563967
2010-06-09,8.889125,9.136046,8.819988,9.136046,5.898567,323080
2010-06-10,9.106415,9.461980,9.096538,9.461980,6.109001,505932
2010-06-11,9.215060,9.402719,9.215060,9.382966,6.057988,229122
2010-06-14,9.382966,9.382966,9.057031,9.185430,5.930451,507653
2010-06-15,9.126169,9.274321,8.987893,9.254567,5.975089,576502
2010-06-16,9.155799,9.422473,9.096538,9.422473,6.083495,863740
2010-06-17,9.452103,9.610132,9.373089,9.610132,6.204656,959925
2010-06-18,9.669393,10.015081,9.669393,9.817545,6.338568,1099
2010-06-21,9.876806,9.975574,9.560748,9.778038,6.313061,1262250
2010-06-22,9.778038,9.827422,9.540995,9.778038,6.313061,435160
2010-06-23,9.610132,9.649640,9.392843,9.432350,6.089871,398408
2010-06-24,9.432350,9.531118,9.155799,9.382966,6.057988,439818
2010-06-25,9.234814,9.679270,9.234814,9.679270,6.249293,265875
2010-06-28,9.580502,9.837299,9.491611,9.778038,6.313061,763809
2010-06-29,9.422473,9.955821,9.313828,9.866929,6.370452,969037
2010-06-30,9.807668,9.857052,9.620009,9.857052,6.364074,1503421
2010-07-01,9.748408,9.866929,9.550871,9.580502,6.185523,675319
2010-07-02,9.629886,9.669393,9.422473,9.629886,6.217407,741433
2010-07-05,9.728654,9.728654,9.432350,9.531118,6.153640,558682
2010-07-06,9.699024,9.857052,9.096538,9.471857,6.115378,1606895
2010-07-07,9.580502,9.718777,9.442227,9.639763,6.223785,1233900
2010-07-08,9.738531,9.955821,9.679270,9.827422,6.344944,2151201
2010-07-12,9.827422,9.926190,9.550871,9.728654,6.281176,646970
2010-07-13,9.866929,9.975574,9.699024,9.975574,6.440597,1223776
2010-07-14,9.876806,9.876806,9.689147,9.876806,6.376828,991312
2010-07-15,9.876806,9.926190,9.708900,9.827422,6.344944,902923
2010-07-16,9.827422,9.847176,9.699024,9.728654,6.281176,359326
2010-07-19,9.857052,9.926190,9.778038,9.827422,6.344944,839542
2010-07-20,9.857052,9.955821,9.728654,9.728654,6.281176,1699334
2010-07-21,9.876806,10.242248,9.738531,9.778038,6.313061,1964602
2010-07-22,9.926190,9.955821,9.689147,9.827422,6.344944,1455429
2010-07-23,9.876806,9.876806,9.699024,9.837299,6.351323,570123
2010-07-26,9.837299,9.955821,9.768161,9.827422,6.344944,608800
2010-07-27,9.827422,10.173110,9.827422,10.123726,6.536249,2596385
2010-07-28,10.271878,10.360770,10.123726,10.331139,6.670163,1088003
2010-07-29,10.370646,10.439784,10.133603,10.360770,6.689293,789020
2010-07-30,10.271878,10.706458,10.133603,10.597813,6.842337,529219
2010-08-02,10.607690,10.963255,10.597813,10.627443,6.861468,1397516
2010-08-03,10.627443,10.805226,10.281755,10.350893,6.682916,1297382
2010-08-04,10.558306,10.568183,10.182987,10.182987,6.574510,1138829
2010-08-05,10.262002,10.341016,10.173110,10.271878,6.631902,416227
2010-08-06,10.350893,10.765719,10.271878,10.706458,6.912483,1118073
2010-08-09,10.864487,10.864487,10.617567,10.686704,6.899728,1525999
2010-08-10,10.716335,10.716335,10.518799,10.666951,6.886974,1271666
2010-08-11,10.627443,10.627443,10.350893,10.568183,6.823208,1465858
2010-08-12,10.489168,10.587936,10.410154,10.568183,6.823208,807548
2010-08-13,10.528675,10.755842,10.331139,10.429907,6.733931,608496
2010-08-16,10.380523,10.568183,10.301509,10.538552,6.804075,551494
2010-08-17,10.538552,10.765719,10.400277,10.765719,6.950744,1067855
2010-08-18,10.736088,10.736088,10.479291,10.686704,6.899728,285922
2010-08-19,10.696581,10.815103,10.568183,10.765719,6.950744,235096
2010-08-20,10.666951,10.696581,10.469414,10.528675,6.797699,271342
2010-08-23,10.597813,10.755842,10.528675,10.666951,6.886974,252510
2010-08-24,10.666951,10.785472,10.568183,10.755842,6.944366,319435
2010-08-25,10.745965,10.953378,10.627443,10.716335,6.918859,1111594
2010-08-26,10.844733,10.953378,10.518799,10.666951,6.886974,508970
2010-08-27,10.716335,10.844733,10.686704,10.765719,6.950744,251599
2010-08-30,10.775595,10.775595,10.676827,10.755842,6.944366,350
2010-08-31,10.894117,10.953378,10.795349,10.864487,7.014511,379778
2010-09-01,10.963255,11.160791,10.963255,11.160791,7.205818,721
2010-09-02,11.062023,11.190421,10.696581,10.815103,6.982628,506540
2010-09-03,10.913871,10.943501,10.568183,10.627443,6.861468,694961
2010-09-06,10.775595,10.775595,10.568183,10.666951,6.886974,158148
2010-09-08,10.568183,11.141037,10.469414,10.983008,7.091035,642009
2010-09-09,11.012639,11.308943,10.864487,11.190421,7.224948,561720
2010-09-10,11.062023,11.328697,10.923748,11.210175,7.237701,581868
2010-09-13,11.259559,11.259559,11.062023,11.239805,7.256831,869106
2010-09-14,11.121284,11.220052,11.071900,11.141037,7.193063,592802
2010-09-15,11.071900,11.387957,11.052146,11.328697,7.314222,1422727
2010-09-16,11.308943,11.378081,11.141037,11.229929,7.250454,882471
2010-09-17,11.121284,11.358327,11.121284,11.308943,7.301467,1136399
2010-09-20,11.308943,11.407711,11.239805,11.407711,7.365236,846528
2010-09-21,11.368204,11.615124,11.308943,11.348450,7.326977,997285
2010-09-22,11.457095,11.506479,10.992885,11.457095,7.397122,528
2010-09-23,11.299066,11.605247,11.259559,11.358327,7.333352,1353980
2010-09-24,11.407711,11.516356,10.913871,11.180545,7.218570,1681211
2010-09-27,11.368204,11.368204,11.062023,11.358327,7.333352,977238
2010-09-28,11.358327,11.397834,11.121284,11.358327,7.333352,1068867
2010-09-29,11.328697,11.545986,11.012639,11.141037,7.193063,1344665
2010-09-30,11.141037,11.259559,10.894117,11.062023,7.142048,1334439
