Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,3.512000,3.720000,3.384000,3.568000,1.484561,152
2002-04-02,3.640000,3.640000,3.376000,3.376000,1.404674,312
2002-04-03,3.472000,3.472000,3.280000,3.280000,1.364731,298
2002-04-04,3.280000,3.424000,3.280000,3.424000,1.424646,173
2002-04-05,3.400000,3.512000,3.376000,3.480000,1.447946,330
2002-04-08,3.408000,3.448000,3.352000,3.440000,1.431303,27
2002-04-09,3.456000,3.456000,3.376000,3.376000,1.404674,37
2002-04-10,3.376000,3.480000,3.376000,3.448000,1.434632,82
2002-04-11,3.448000,3.592000,3.416000,3.592000,1.494547,138
2002-04-12,3.592000,3.760000,3.592000,3.720000,1.547805,219
2002-04-15,3.560000,3.800000,3.440000,3.720000,1.547805,252
2002-04-16,3.720000,3.992000,3.720000,3.920000,1.631020,327
2002-04-17,3.880000,3.960000,3.848000,3.920000,1.631020,338
2002-04-18,3.840000,3.840000,3.648000,3.688000,1.534490,575
2002-04-19,3.720000,3.728000,3.544000,3.568000,1.484561,203
2002-04-22,3.632000,3.632000,3.408000,3.560000,1.481232,419
2002-04-23,3.600000,3.600000,3.440000,3.512000,1.461261,212
2002-04-24,3.632000,3.704000,3.600000,3.680000,1.531162,279
2002-04-25,3.640000,3.712000,3.520000,3.712000,1.544475,159
2002-04-26,3.688000,3.688000,3.496000,3.680000,1.531162,182
2002-04-29,3.680000,3.680000,3.568000,3.648000,1.517847,92
2002-04-30,3.592000,3.664000,3.520000,3.584000,1.491218,226
2002-05-01,3.584000,3.584000,3.584000,3.584000,1.491218,0
2002-05-02,3.560000,3.616000,3.296000,3.360000,1.398017,286
2002-05-03,3.352000,3.432000,3.320000,3.400000,1.414660,280
2002-05-06,3.400000,3.408000,3.264000,3.280000,1.364731,247
2002-05-07,3.288000,3.312000,3.232000,3.304000,1.374717,252
2002-05-08,3.280000,3.376000,3.280000,3.376000,1.404674,93
2002-05-09,3.336000,3.336000,3.280000,3.280000,1.364731,198
2002-05-10,3.248000,3.408000,3.200000,3.400000,1.414660,157
2002-05-13,3.504000,3.504000,3.320000,3.344000,1.391360,21
2002-05-14,3.400000,3.488000,3.368000,3.408000,1.417989,74
2002-05-15,3.384000,3.384000,3.240000,3.288000,1.368060,423
2002-05-16,3.424000,3.424000,3.280000,3.304000,1.374717,66
2002-05-17,3.312000,3.312000,3.200000,3.272000,1.361402,489
2002-05-20,3.272000,3.272000,3.200000,3.232000,1.344760,54
2002-05-21,3.192000,3.296000,3.184000,3.296000,1.371388,32
2002-05-22,3.312000,3.312000,3.128000,3.128000,1.301487,257
2002-05-23,3.128000,3.160000,3.064000,3.080000,1.281516,161
2002-05-24,3.088000,3.136000,3.088000,3.128000,1.301487,106
2002-05-27,3.136000,3.224000,3.120000,3.200000,1.331445,77
2002-05-28,3.216000,3.240000,3.200000,3.200000,1.331445,55
2002-05-29,3.272000,3.320000,3.208000,3.272000,1.361402,129
2002-05-30,3.272000,3.272000,3.272000,3.272000,1.361402,0
2002-05-31,3.272000,3.288000,3.168000,3.168000,1.318130,353
2002-06-03,3.240000,3.240000,3.112000,3.112000,1.294829,121
2002-06-04,3.128000,3.240000,3.080000,3.120000,1.298159,104
2002-06-05,3.152000,3.160000,3.072000,3.112000,1.294829,66
2002-06-06,3.064000,3.064000,2.952000,2.992000,1.244901,364
2002-06-07,2.960000,3.160000,2.928000,3.160000,1.314802,342
2002-06-10,3.160000,3.312000,3.160000,3.280000,1.364731,147
2002-06-11,3.200000,3.208000,3.128000,3.160000,1.314802,241
2002-06-12,3.280000,3.320000,3.144000,3.272000,1.361402,185
2002-06-13,3.280000,3.312000,3.232000,3.232000,1.344760,48
2002-06-14,3.120000,3.240000,3.088000,3.232000,1.344760,204
2002-06-17,3.160000,3.264000,3.160000,3.192000,1.328116,65
2002-06-18,3.192000,3.312000,3.088000,3.200000,1.331445,219
2002-06-19,3.192000,3.200000,3.096000,3.200000,1.331445,127
2002-06-20,3.128000,3.160000,3.000000,3.072000,1.278187,958
2002-06-21,3.064000,3.120000,3.000000,3.000000,1.248230,573
2002-06-24,3.120000,3.120000,2.976000,3.104000,1.291502,448
2002-06-25,3.072000,3.152000,3.000000,3.072000,1.278187,381
2002-06-26,3.040000,3.152000,3.024000,3.080000,1.281516,126
2002-06-27,3.056000,3.120000,3.000000,3.112000,1.294829,470
2002-06-28,3.160000,3.328000,3.120000,3.136000,1.304816,137
