Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,16.239119,16.888681,16.239119,16.888681,7.633094,2671
2000-02-04,17.138515,17.438314,17.088549,17.388348,7.858926,3216
2000-02-07,17.588215,17.688147,16.788750,17.088549,7.723428,922
2000-02-08,17.463297,17.588215,17.088549,17.463297,7.892800,1826
2000-02-09,17.638180,17.638180,16.838717,17.138515,7.746010,1204
2000-02-10,17.138515,17.188480,16.738783,17.188480,7.768594,1144
2000-02-11,16.988615,17.138515,16.089218,16.389017,7.407263,1356
2000-02-14,16.389017,16.788750,15.889352,15.989285,7.226599,835
2000-02-15,15.889352,15.989285,15.339720,15.989285,7.226599,1388
2000-02-16,16.264101,16.264101,15.739452,16.039251,7.249181,1848
2000-02-17,15.989285,16.339050,15.739452,16.079226,7.267248,924
2000-02-18,15.889352,16.039251,15.539586,15.739452,7.113683,463
2000-02-21,15.734456,16.239119,15.494617,16.224129,7.332740,539
2000-02-22,16.239119,16.588882,15.839386,15.989285,7.226599,1310
2000-02-23,15.989285,16.229124,15.939319,16.039251,7.249181,740
2000-02-24,16.039251,16.488951,15.589553,15.729459,7.109166,1575
2000-02-25,16.029259,16.029259,15.339720,15.484623,6.998508,1301
2000-02-28,15.139854,15.489620,15.044918,15.239787,6.887851,451
2000-02-29,15.489620,15.489620,14.989955,15.289754,6.910436,740
2000-03-01,15.139854,15.639519,15.139854,15.539586,7.023350,1068
2000-03-02,15.539586,15.539586,14.890022,15.039921,6.797518,1093
2000-03-03,15.239787,15.689486,15.039921,15.689486,7.091100,1361
2000-03-06,15.689486,15.689486,15.689486,15.689486,7.091100,0
2000-03-07,15.689486,15.689486,15.689486,15.689486,7.091100,0
2000-03-08,15.389687,15.389687,14.989955,15.189821,6.865269,1207
2000-03-09,15.489620,16.239119,15.289754,16.239119,7.339515,1432
2000-03-10,16.738783,17.233452,16.488951,16.588882,7.497596,1733
2000-03-13,16.488951,16.488951,15.739452,16.339050,7.384680,1615
2000-03-14,16.938648,16.938648,15.489620,15.539586,7.023350,707
2000-03-15,15.589553,15.739452,15.089888,15.489620,7.000767,629
2000-03-16,15.889352,16.239119,15.539586,16.239119,7.339515,1840
2000-03-17,16.488951,16.488951,15.889352,15.989285,7.226599,1278
2000-03-20,15.989285,16.039251,15.489620,15.689486,7.091100,421
