Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,7.259194,7.311733,7.005253,7.005253,5.934065,633810
2000-02-04,7.119089,7.180385,7.005253,7.014010,5.941483,396274
2000-02-07,7.092819,7.250437,7.092819,7.241681,6.134339,770850
2000-02-08,7.311733,7.530647,7.311733,7.399299,6.267856,682916
2000-02-09,7.443082,7.504378,7.355516,7.399299,6.267856,366582
2000-02-10,7.399299,7.837127,7.399299,7.705779,6.527472,855358
2000-02-11,7.749562,7.749562,7.224168,7.224168,6.119505,384854
2000-02-14,7.224168,7.355516,7.180385,7.224168,6.119505,512758
2000-02-15,7.224168,7.285464,6.830122,7.224168,6.119505,412262
2000-02-16,7.267950,7.443082,7.267950,7.276707,6.164010,602976
2000-02-17,7.355516,7.399299,7.267950,7.311733,6.193680,253524
2000-02-18,7.259194,7.285464,7.092819,7.110332,6.023076,294636
2000-02-21,7.014010,7.373029,6.970227,7.373029,6.245604,730880
2000-02-22,7.189141,7.390542,7.005253,7.180385,6.082415,690910
2000-02-23,7.443082,7.443082,7.180385,7.267950,6.156591,488776
2000-02-24,7.355516,7.355516,7.005253,7.005253,5.934065,422540
2000-02-25,7.057793,7.180385,6.917688,6.926444,5.867307,304914
2000-02-28,6.838879,7.049036,6.663747,7.031523,5.956318,378002
2000-02-29,7.049036,7.180385,7.040280,7.180385,6.082415,504764
2000-03-01,7.197898,7.530647,7.197898,7.530647,6.379119,1087184
2000-03-02,7.618213,7.880910,7.486865,7.530647,6.379119,584704
2000-03-03,7.618213,7.749562,7.443082,7.697022,6.520053,372292
2000-03-06,7.697022,7.697022,7.697022,7.697022,6.520053,0
2000-03-07,7.697022,7.697022,7.697022,7.697022,6.520053,0
2000-03-08,7.618213,7.661996,7.565674,7.574430,6.416206,124478
2000-03-09,7.574430,7.705779,7.530647,7.697022,6.520053,137040
2000-03-10,7.697022,8.318739,7.661996,8.231173,6.972526,1693586
2000-03-13,7.880910,7.968476,7.793345,7.898423,6.690657,501338
2000-03-14,7.880910,8.143607,7.705779,7.950963,6.735163,478498
2000-03-15,8.108581,8.108581,7.749562,8.056042,6.824174,518468
2000-03-16,8.143607,8.143607,7.758318,7.758318,6.571976,236394
2000-03-17,7.793345,8.143607,7.793345,8.143607,6.898350,734306
2000-03-20,8.187390,8.318739,8.099824,8.143607,6.898350,311766
2000-03-21,8.231173,8.397548,8.161120,8.397548,7.113460,396274
2000-03-22,8.493870,8.581436,8.126094,8.126094,6.883515,470504
2000-03-23,8.056042,8.222416,7.907180,7.933450,6.720329,239820
2000-03-24,8.047285,8.274956,8.047285,8.231173,6.972526,296920
2000-03-27,8.318739,8.318739,8.187390,8.257443,6.994779,216980
2000-03-28,8.143607,8.187390,7.907180,8.082311,6.846429,901038
2000-03-29,8.274956,8.274956,8.056042,8.231173,6.972526,282074
2000-03-30,8.231173,8.231173,7.880910,7.968476,6.750000,912458
2000-03-31,8.056042,8.056042,7.793345,7.837127,6.638734,283216
2000-04-03,7.714535,7.732049,7.574430,7.618213,6.453294,293494
2000-04-04,7.618213,7.749562,7.092819,7.399299,6.267856,203276
2000-04-05,7.355516,7.880910,7.180385,7.539404,6.386536,476214
2000-04-06,7.705779,7.872154,7.618213,7.872154,6.668406,395132
2000-04-07,7.872154,7.880910,7.539404,7.880910,6.675823,41112
2000-04-10,7.705779,7.705779,7.486865,7.530647,6.379119,66236
2000-04-11,7.443082,7.486865,7.189141,7.451838,6.312361,223832
2000-04-12,7.460595,7.539404,7.180385,7.373029,6.245604,406552
2000-04-13,7.521891,7.521891,7.110332,7.119089,6.030494,202134
2000-04-14,7.092819,7.092819,6.830122,6.830122,5.785713,465936
2000-04-17,6.567425,6.830122,6.217162,6.795096,5.756044,316334
2000-04-18,6.786339,7.355516,6.786339,7.355516,6.230766,251240
2000-04-19,7.267950,7.451838,7.092819,7.189141,6.089833,197566
2000-04-20,7.267950,7.285464,7.005253,7.162872,6.067581,76514
2000-04-21,7.162872,7.162872,7.162872,7.162872,6.067581,0
2000-04-24,7.180385,7.443082,7.180385,7.267950,6.156591,214696
2000-04-25,7.355516,7.723292,7.320490,7.723292,6.542305,375718
2000-04-26,7.705779,7.845884,7.530647,7.793345,6.601645,602976
2000-04-27,7.530647,8.143607,7.443082,8.091068,6.853845,692052
2000-04-28,8.231173,8.406304,8.143607,8.318739,7.046702,584704
2000-05-01,8.318739,8.318739,8.318739,8.318739,7.046702,0
2000-05-02,8.318739,8.318739,7.705779,7.705779,6.527472,300346
2000-05-03,7.705779,7.705779,7.267950,7.311733,6.193680,142750
2000-05-04,7.267950,7.443082,7.267950,7.443082,6.304944,332322
2000-05-05,7.311733,7.880910,7.267950,7.723292,6.542305,234110
2000-05-08,7.618213,7.661996,7.443082,7.443082,6.304944,127904
2000-05-09,7.618213,7.802101,7.267950,7.355516,6.230766,540166
2000-05-10,7.267950,7.355516,7.259194,7.285464,6.171428,276364
2000-05-11,7.311733,7.460595,6.996497,7.110332,6.023076,66236
2000-05-12,7.136602,7.259194,6.917688,6.917688,5.859890,180436
2000-05-15,6.917688,7.618213,6.917688,7.565674,6.408790,95928
2000-05-16,7.872154,7.872154,7.311733,7.338003,6.215933,339174
2000-05-17,7.311733,7.574430,7.267950,7.521891,6.371702,147318
2000-05-18,7.513134,7.513134,7.311733,7.355516,6.230766,58242
2000-05-19,7.267950,7.267950,6.935201,7.084063,6.000823,208986
2000-05-22,7.092819,7.092819,6.576182,6.987740,5.919229,342600
2000-05-23,7.005253,7.005253,6.830122,6.830122,5.785713,179294
2000-05-24,7.005253,7.075306,6.567425,7.049036,5.971151,211270
2000-05-25,7.049036,7.049036,6.830122,6.943957,5.882143,105064
