Date,Open,High,Low,Close,Adj Close,Volume
2008-05-07,3.540004,3.540004,3.370959,3.370959,2.219771,1783014
2008-05-08,3.438577,3.438577,3.380903,3.400791,2.239416,286106
2008-05-09,3.380903,3.390847,3.355049,3.361015,2.213223,339406
2008-05-12,3.400791,3.400791,3.361015,3.390847,2.232867,212191
2008-05-13,3.400791,3.400791,3.361015,3.390847,2.232867,212191
2008-05-14,3.456476,3.458465,3.345105,3.408746,2.244653,1521545
2008-05-15,3.438577,3.490285,3.380903,3.466420,2.282632,1299800
2008-05-16,3.460454,3.494263,3.412723,3.460454,2.278703,1194710
2008-05-19,3.460454,3.540004,3.396813,3.456476,2.276084,364547
2008-05-20,3.440566,3.440566,3.311296,3.359026,2.211913,687360
2008-05-21,3.370959,3.400791,3.295386,3.321240,2.187031,952851
2008-05-23,3.281465,3.400791,3.182026,3.251633,2.141195,880445
2008-05-26,3.267543,3.271521,3.221802,3.237712,2.132028,366558
2008-05-27,3.237712,3.251633,3.162139,3.184015,2.096668,281078
2008-05-28,3.187993,3.251633,3.164127,3.231745,2.128099,2266228
2008-05-29,3.187993,3.251633,3.164127,3.231745,2.128099,2266228
2008-05-30,3.233734,3.380903,3.231745,3.319251,2.185721,1103699
2008-06-02,3.233734,3.380903,3.231745,3.319251,2.185721,1103699
2008-06-03,3.319251,3.333172,3.261577,3.301352,2.173935,496790
2008-06-04,3.311296,3.361015,3.227768,3.351071,2.206674,613445
2008-06-05,3.261577,3.351071,3.261577,3.351071,2.206674,542044
2008-06-06,3.359026,3.380903,3.315274,3.357038,2.210604,510869
2008-06-09,3.341128,3.410734,3.281465,3.380903,2.226319,1224376
2008-06-10,3.359026,3.378914,3.295386,3.351071,2.206674,405276
2008-06-11,3.351071,3.351071,3.281465,3.281465,2.160839,503829
2008-06-12,3.289420,3.341128,3.281465,3.331184,2.193579,866868
2008-06-13,3.321240,3.349083,3.303341,3.321240,2.187031,209677
2008-06-16,3.321240,3.331184,3.301352,3.321240,2.187031,227779
2008-06-17,3.281465,3.311296,3.261577,3.301352,2.173935,859829
2008-06-18,3.321240,3.321240,3.211858,3.211858,2.115003,1164037
2008-06-19,3.231745,3.231745,3.172082,3.180037,2.094049,404270
2008-06-20,3.180037,3.239700,3.158161,3.180037,2.094049,2050014
2008-06-23,3.180037,3.191970,3.144240,3.162139,2.082263,426394
2008-06-24,3.162139,3.162139,3.062700,3.102476,2.042975,606405
2008-06-25,3.102476,3.102476,2.983150,3.048779,2.007616,1427517
2008-06-26,3.022925,3.082588,2.985138,3.042813,2.003687,301694
2008-06-27,3.022925,3.122363,3.003037,3.102476,2.042975,871897
2008-06-30,3.102476,3.180037,3.102476,3.152195,2.075715,343931
2008-07-01,3.112419,3.172082,2.943374,3.003037,1.977495,1399862
2008-07-02,3.022925,3.022925,2.913543,2.913543,1.918564,323315
2008-07-03,2.913543,2.973206,2.883711,2.973206,1.957851,127214
2008-07-04,2.981161,2.981161,2.911554,2.943374,1.938207,134254
2008-07-07,2.943374,3.042813,2.941385,3.003037,1.977495,501315
2008-07-08,2.983150,3.259588,2.983150,3.259588,2.146433,381643
2008-07-10,3.182026,3.341128,3.182026,3.321240,2.187031,2218963
2008-07-11,3.315274,3.315274,3.237712,3.261577,2.147743,741162
2008-07-14,3.261577,3.382892,3.201914,3.380903,2.226319,2138511
2008-07-15,3.301352,3.339139,3.221802,3.339139,2.198817,1599483
2008-07-16,3.339139,3.418689,3.283453,3.378914,2.225009,412315
2008-07-17,3.378914,3.378914,3.301352,3.361015,2.213223,737140
2008-07-18,3.351071,3.351071,3.233734,3.301352,2.173935,230796
2008-07-21,3.301352,3.305330,3.263566,3.301352,2.173935,1658816
2008-07-22,3.281465,3.297375,3.120374,3.162139,2.082263,694400
2008-07-23,3.182026,3.239700,3.122363,3.217824,2.118932,229287
2008-07-24,3.201914,3.201914,3.142251,3.180037,2.094049,170960
2008-07-25,3.180037,3.180037,3.010992,3.122363,2.056071,1382263
2008-07-28,3.130318,3.130318,3.003037,3.022925,1.990591,4315237
2008-07-29,3.110431,3.142251,3.003037,3.142251,2.069167,1746308
2008-07-30,3.182026,3.211858,3.020936,3.052756,2.010235,1296783
2008-07-31,3.052756,3.082588,2.955307,3.082588,2.029879,3074769
2008-08-01,3.042813,3.100487,2.943374,3.032869,1.997139,882456
2008-08-04,3.032869,3.032869,2.897633,2.903599,1.912015,620987
2008-08-05,2.943374,3.042813,2.905588,2.983150,1.964399,422875
2008-08-06,3.010992,3.082588,2.983150,3.022925,1.990591,174479
2008-08-07,3.072644,3.120374,3.054745,3.088554,2.033808,971959
2008-08-08,3.082588,3.191970,3.056734,3.122363,2.056071,856309
2008-08-11,3.122363,3.126341,3.032869,3.032869,1.997139,1516014
2008-08-12,3.052756,3.052756,2.933430,2.963262,1.951303,893518
2008-08-13,2.981161,2.981161,2.824048,2.933430,1.931659,748202
2008-08-14,2.977183,3.082588,2.963262,3.022925,1.990591,310242
2008-08-15,3.022925,3.062700,2.983150,3.022925,1.990591,351474
2008-08-18,3.042813,3.046790,2.981161,2.983150,1.964399,269513
2008-08-19,2.983150,3.012981,2.963262,3.003037,1.977495,176994
2008-08-20,3.003037,3.022925,2.973206,2.997071,1.973566,207163
2008-08-21,2.999060,3.001048,2.903599,2.979172,1.961780,499304
2008-08-22,2.963262,3.003037,2.963262,2.963262,1.951303,207666
2008-08-25,2.983150,3.003037,2.983150,2.983150,1.964399,95536
2008-08-26,2.983150,3.022925,2.883711,2.923487,1.925111,543050
2008-08-27,2.969228,2.969228,2.913543,2.923487,1.925111,210683
2008-08-28,2.903599,2.943374,2.883711,2.943374,1.938207,1137891
2008-08-29,2.943374,2.943374,2.863824,2.923487,1.925111,879942
2008-09-01,2.923487,3.012981,2.903599,2.933430,1.931659,285101
2008-09-02,2.959284,2.963262,2.883711,2.903599,1.912015,502321
2008-09-03,2.903599,2.903599,2.851891,2.883711,1.898919,329852
2008-09-04,2.901610,2.901610,2.746486,2.824048,1.859631,743676
2008-09-05,2.774329,2.828026,2.754441,2.804161,1.846536,1270636
2008-09-08,2.847913,2.847913,2.744498,2.774329,1.826891,402762
2008-09-09,2.774329,2.774329,2.633127,2.635115,1.735219,800496
2008-09-10,2.637104,2.651026,2.563520,2.585396,1.702479,1509478
2008-09-11,2.585396,2.645059,2.537666,2.615228,1.722123,1591941
2008-09-12,2.615228,2.682846,2.479992,2.639093,1.737838,2266731
2008-09-15,2.545621,2.595340,2.485958,2.505846,1.650095,710490
2008-09-16,2.485958,2.501868,2.378564,2.456126,1.617355,1647252
2008-09-17,2.406407,2.406407,2.267194,2.356688,1.551875,5004106
2008-09-18,2.356688,2.384531,2.199575,2.384531,1.570210,2250138
2008-09-19,2.585396,2.585396,2.384531,2.384531,1.570210,3294001
2008-09-22,2.356688,2.390497,2.187643,2.346744,1.545328,1927325
2008-09-23,2.346744,2.346744,2.275149,2.344755,1.544017,427400
2008-09-24,2.382542,2.386520,2.193609,2.326857,1.532232,1062467
2008-09-25,2.316913,2.446183,2.316913,2.386520,1.571519,544558
2008-09-26,2.346744,2.386520,2.287081,2.287081,1.506039,1025761
2008-09-29,2.287081,2.287081,2.127980,2.137924,1.407819,650654
2008-09-30,2.157811,2.287081,2.125991,2.287081,1.506039,1119789
2008-10-01,2.287081,2.328845,2.163778,2.328845,1.533540,969445
2008-10-02,2.326857,2.360666,2.108092,2.167755,1.427463,3276905
2008-10-03,2.275149,2.275149,2.060362,2.068317,1.361983,829157
2008-10-06,1.988766,1.988766,1.843586,1.939047,1.276859,1377235
2008-10-07,1.939047,1.998710,1.849553,1.849553,1.217928,2020347
2008-10-08,1.789890,1.837620,1.642721,1.835631,1.208760,772337
2008-10-09,1.835631,1.988766,1.835631,1.859496,1.224475,619479
2008-10-10,1.764036,1.927114,1.680507,1.927114,1.269001,1054422
2008-10-13,1.933081,2.213497,1.933081,2.187643,1.440559,343931
2008-10-14,2.227418,2.316913,2.193609,2.316913,1.525683,1351088
2008-10-15,2.267194,2.267194,2.120025,2.127980,1.401271,2913363
2008-10-16,2.147868,2.157811,2.046440,2.125991,1.399962,550089
2008-10-17,2.106103,2.237362,2.106103,2.149856,1.415677,839716
2008-10-20,2.191620,2.324868,2.161789,2.287081,1.506039,549586
2008-10-21,2.287081,2.334812,2.187643,2.247306,1.479847,321304
2008-10-22,2.207531,2.245317,2.127980,2.127980,1.401271,1248009
2008-10-23,2.120025,2.161789,2.008654,2.100137,1.382937,2044985
2008-10-24,2.028542,2.028542,1.931092,1.974845,1.300432,434942
2008-10-27,1.948991,2.008654,1.948991,1.968879,1.296504,111124
2008-10-28,2.088205,2.187643,2.028542,2.106103,1.386865,398236
2008-10-29,2.137924,2.426295,2.137924,2.304980,1.517825,634061
2008-10-30,2.304980,2.326857,2.227418,2.277137,1.499491,636072
2008-10-31,2.275149,2.426295,2.275149,2.414362,1.589854,510869
2008-11-03,2.386520,2.386520,2.237362,2.237362,1.473299,1948443
2008-11-04,2.257250,2.267194,2.187643,2.187643,1.440559,1235941
2008-11-05,2.197587,2.197587,2.048429,2.088205,1.375080,599869
2008-11-06,2.038485,2.038485,1.976834,1.976834,1.301742,2079178
2008-11-07,1.988766,2.016609,1.968879,2.008654,1.322695,2279804
2008-11-10,2.068317,2.187643,2.028542,2.092182,1.377698,1773460
2008-11-11,2.133946,2.257250,2.108092,2.177699,1.434011,743676
2008-11-12,2.165766,2.223441,2.147868,2.177699,1.434011,1545681
2008-11-13,2.175710,2.247306,2.108092,2.237362,1.473299,1638201
2008-11-14,2.259238,2.259238,2.167755,2.247306,1.479847,468129
2008-11-17,2.187643,2.334812,2.185654,2.297025,1.512587,279570
2008-11-18,2.297025,2.297025,2.157811,2.185654,1.439250,230293
2008-11-19,2.187643,2.225429,2.169744,2.187643,1.440559,260965
2008-11-21,2.147868,2.157811,2.088205,2.155823,1.419605,249903
2008-11-24,2.167755,2.187643,2.120025,2.187643,1.440559,506343
2008-11-25,2.187643,2.227418,2.127980,2.197587,1.447107,221745
2008-11-26,2.137924,2.187643,2.114059,2.139912,1.409129,947320
2008-11-27,2.139912,2.225429,2.129969,2.225429,1.465441,159395
2008-11-28,2.217474,2.217474,2.167755,2.167755,1.427463,769823
2008-12-01,2.167755,2.167755,2.108092,2.147868,1.414367,109615
2008-12-02,2.167755,2.203553,2.080249,2.145879,1.413058,1024755
2008-12-03,2.088205,2.165766,2.088205,2.127980,1.401271,627021
2008-12-04,2.147868,2.147868,2.092182,2.116047,1.393413,190570
2008-12-05,2.090193,2.125991,2.088205,2.108092,1.388175,475168
2008-12-08,2.133946,2.197587,2.088205,2.094171,1.379008,832676
2008-12-09,2.143890,2.147868,2.028542,2.058373,1.355435,4388649
2008-12-10,2.088205,2.088205,2.048429,2.058373,1.355435,1588421
2008-12-11,2.030530,2.086216,2.000699,2.030530,1.337101,5483297
2008-12-12,1.992744,2.026553,1.964901,2.026553,1.334482,660710
2008-12-15,2.036497,2.038485,1.972856,1.972856,1.299123,612942
2008-12-16,1.972856,1.998710,1.962912,1.984789,1.306980,967936
2008-12-17,2.008654,2.028542,1.988766,2.008654,1.322695,594338
2008-12-18,2.008654,2.022575,1.968879,1.988766,1.309599,734626
2008-12-19,1.984789,1.998710,1.933081,1.972856,1.299123,258451
2008-12-22,1.998710,1.998710,1.966890,1.988766,1.309599,670767
2008-12-23,1.988766,2.026553,1.968879,1.968879,1.311231,2844476
2008-12-26,2.016609,2.046440,1.990755,2.038485,1.357587,75926
2008-12-29,2.068317,2.068317,1.998710,1.998710,1.331098,314767
2008-12-30,2.004676,2.056384,1.992744,1.992744,1.327124,522937
2009-01-02,2.008654,2.078261,2.008654,2.066328,1.376130,313259
2009-01-05,2.056384,2.106103,2.048429,2.104115,1.401295,953354
2009-01-06,2.098148,2.098148,2.032519,2.038485,1.357587,428909
2009-01-07,2.042463,2.072294,1.990755,2.048429,1.364210,1281698
2009-01-08,2.036497,2.058373,2.012631,2.028542,1.350965,611937
2009-01-09,2.028542,2.036497,2.000699,2.028542,1.350965,440473
2009-01-12,2.028542,2.028542,1.998710,2.028542,1.350965,134756
2009-01-13,2.016609,2.108092,2.014620,2.106103,1.402619,280073
2009-01-14,2.098148,2.108092,2.032519,2.068317,1.377454,471649
2009-01-15,2.078261,2.078261,2.058373,2.066328,1.376130,486733
2009-01-16,2.104115,2.118036,2.072294,2.106103,1.402619,369575
2009-01-19,2.127980,2.247306,2.127980,2.237362,1.490034,188056
2009-01-20,2.227418,2.277137,2.157811,2.217474,1.476790,1139902
2009-01-21,2.195598,2.237362,2.187643,2.197587,1.463545,714513
2009-01-22,2.217474,2.217474,2.147868,2.175710,1.448976,131237
2009-01-23,2.167755,2.207531,2.165766,2.207531,1.470168,60841
