Date,Open,High,Low,Close,Adj Close,Volume
2007-05-02,13.320000,14.170000,13.000000,14.000000,8.929544,467600
2007-05-03,13.320000,14.170000,13.000000,14.010000,8.935924,469300
2007-05-04,13.800000,14.650000,13.700000,14.400000,9.184674,817500
2007-05-07,14.650000,14.980000,14.310000,14.950000,9.535479,431400
2007-05-08,14.510000,15.400000,14.510000,15.250000,9.726827,788800
2007-05-09,14.510000,15.400000,14.510000,15.190000,9.688557,789100
2007-05-10,15.180000,15.500000,14.700000,14.980000,9.554613,45600
2007-05-11,15.100000,16.139999,15.100000,15.450000,9.854391,129900
2007-05-14,15.460000,16.299999,15.100000,15.490000,9.879906,254700
2007-05-15,15.900000,16.000000,15.000000,15.390000,9.816120,396100
2007-05-16,15.870000,15.890000,14.900000,15.250000,9.726827,880500
2007-05-17,15.490000,15.600000,14.800000,15.200000,9.694933,437000
2007-05-18,15.300000,16.090000,15.150000,15.610000,9.956442,569300
2007-05-21,15.980000,17.000000,15.900000,16.200001,10.332759,261400
2007-05-22,16.209999,16.750000,16.200001,16.500000,10.524107,36200
2007-05-23,16.350000,17.299999,16.299999,16.309999,10.402919,211600
2007-05-24,16.500000,16.500000,15.300000,15.300000,9.758717,240300
2007-05-25,15.900000,16.200001,15.700000,16.049999,10.237085,616800
2007-05-28,16.450001,16.500000,16.000000,16.500000,10.524107,26700
2007-05-29,16.500000,16.500000,15.800000,15.800000,10.077629,255000
2007-05-30,15.740000,15.740000,15.300000,15.450000,9.854391,250300
2007-05-31,15.680000,15.680000,14.950000,15.650000,9.981956,179800
2007-06-01,15.600000,15.700000,15.470000,15.470000,9.867146,229800
2007-06-04,15.400000,15.700000,15.310000,15.310000,9.765093,46600
2007-06-05,15.600000,16.100000,15.600000,15.790000,10.071252,94400
2007-06-06,15.400000,15.700000,15.310000,15.500000,9.886282,415700
2007-06-08,15.500000,15.500000,15.100000,15.390000,9.816120,124600
2007-06-11,15.500000,16.200001,15.500000,16.200001,10.332759,800000
2007-06-12,15.500000,16.200001,15.500000,15.960000,10.179682,800500
2007-06-13,16.290001,16.500000,16.200001,16.500000,10.524107,490900
2007-06-14,16.500000,16.700001,16.389999,16.500000,10.524107,503600
2007-06-15,16.700001,16.959999,16.400000,16.889999,10.772858,571800
2007-06-18,16.950001,17.690001,16.799999,17.000000,10.843019,455500
2007-06-19,17.250000,17.350000,16.500000,17.000000,10.843019,860500
2007-06-20,17.000000,17.350000,17.000000,17.250000,11.002475,618800
2007-06-21,17.340000,17.340000,17.000000,17.150000,10.938690,259900
2007-06-22,17.150000,17.150000,16.900000,17.040001,10.868534,135700
2007-06-25,17.000000,17.000000,16.660000,16.799999,10.715453,271500
2007-06-26,17.000000,17.219999,16.850000,17.219999,10.983341,74400
2007-06-27,17.000000,17.200001,16.900000,17.190001,10.964205,164500
2007-06-28,17.200001,17.200001,16.719999,16.900000,10.779237,138600
2007-06-29,16.900000,17.200001,16.480000,17.200001,10.970584,208500
2007-07-02,17.200001,17.799999,17.190001,17.600000,11.225716,652100
2007-07-03,17.400000,18.000000,17.400000,17.500000,11.161930,233300
2007-07-04,18.000000,18.299999,17.500000,17.959999,11.455330,154300
2007-07-05,17.959999,19.000000,17.900000,18.850000,12.022991,677100
2007-07-06,19.100000,19.650000,18.590000,19.490000,12.431202,341400
2007-07-10,19.200001,19.500000,19.200001,19.480000,12.424821,66100
2007-07-11,19.500000,19.600000,19.200001,19.600000,12.501364,291500
2007-07-12,19.500000,20.400000,19.500000,19.700001,12.565147,547400
2007-07-13,19.600000,20.000000,19.200001,19.209999,12.252613,75800
2007-07-16,19.400000,19.400000,18.500000,18.940001,12.080399,299600
2007-07-17,18.940001,18.950001,18.790001,18.799999,11.991105,257800
2007-07-18,18.940001,19.000000,18.799999,19.000000,12.118669,174000
2007-07-19,18.950001,19.250000,18.900000,19.000000,12.118669,399600
2007-07-20,19.000000,19.250000,18.350000,18.400000,11.735975,296800
2007-07-23,18.750000,18.750000,18.209999,18.400000,11.735975,129400
2007-07-24,18.400000,18.400000,17.100000,17.490000,11.155552,186000
2007-07-25,17.490000,17.850000,17.400000,17.400000,11.098149,260300
2007-07-26,17.410000,17.410000,15.990000,16.520000,10.536862,560900
2007-07-27,16.500000,16.980000,16.049999,16.980000,10.830261,319800
2007-07-30,16.980000,17.000000,16.850000,17.000000,10.843019,40100
2007-07-31,17.000000,17.299999,16.549999,16.600000,10.587889,142300
2007-08-01,16.600000,16.600000,16.000000,16.190001,10.326380,115000
2007-08-02,16.500000,16.500000,15.700000,15.720000,10.026605,329100
2007-08-03,16.000000,16.370001,15.500000,15.600000,9.950064,240100
2007-08-06,15.600000,15.620000,14.800000,15.300000,9.758717,677900
2007-08-07,15.300000,16.850000,15.300000,16.450001,10.492217,477500
2007-08-08,16.719999,17.350000,16.559999,17.090000,10.900423,721100
2007-08-09,16.500000,16.850000,16.400000,16.850000,10.747348,486200
2007-08-10,16.389999,16.840000,15.800000,16.840000,10.740967,147400
2007-08-13,16.799999,17.049999,16.700001,16.750000,10.683563,210600
2007-08-14,17.049999,17.200001,16.580000,17.100000,10.906801,55600
2007-08-15,16.850000,16.850000,15.470000,15.620000,9.962822,555200
2007-08-16,15.400000,15.400000,13.400000,14.600000,9.312241,507200
2007-08-17,15.700000,15.700000,13.750000,14.720000,9.388779,498800
2007-08-20,15.210000,15.210000,14.300000,14.880000,9.490829,622200
2007-08-21,14.880000,15.400000,14.870000,15.000000,9.567370,502100
2007-08-22,15.100000,15.940000,14.950000,15.940000,10.166924,904500
2007-08-23,15.750000,16.000000,15.000000,15.250000,9.726827,640300
2007-08-24,15.500000,15.500000,15.050000,15.500000,9.886282,189000
2007-08-27,15.400000,15.500000,15.200000,15.200000,9.694933,382500
2007-08-28,15.050000,15.050000,14.750000,14.900000,9.503589,166600
2007-08-29,15.200000,15.200000,14.400000,14.700000,9.376021,237400
2007-08-30,14.700000,15.000000,14.500000,15.000000,9.567370,147900
2007-08-31,15.350000,15.500000,15.000000,15.000000,9.567370,168300
2007-09-03,15.400000,15.400000,14.800000,14.900000,9.503589,164500
2007-09-04,15.400000,15.400000,14.800000,15.010000,9.573748,164900
2007-09-05,15.120000,15.180000,14.850000,15.180000,9.682178,89700
2007-09-06,15.350000,15.350000,15.150000,15.200000,9.694933,25000
2007-09-10,14.820000,15.100000,14.500000,15.000000,9.567370,83700
2007-09-11,15.200000,15.200000,14.800000,15.000000,9.567370,63600
2007-09-12,15.200000,15.200000,14.800000,15.000000,9.567370,63800
2007-09-13,15.000000,15.300000,15.000000,15.250000,9.726827,166400
2007-09-14,15.300000,15.600000,15.300000,15.580000,9.937307,69900
2007-09-17,14.750000,14.870000,14.500000,14.500000,9.248458,52200
2007-09-18,14.800000,14.800000,14.550000,14.700000,9.376021,255300
2007-09-19,14.800000,14.800000,14.550000,14.700000,9.376021,255300
2007-09-20,15.000000,15.700000,15.000000,15.150000,9.663044,60100
2007-09-21,15.140000,15.260000,14.600000,15.000000,9.567370,195300
2007-09-24,15.790000,15.790000,15.200000,15.500000,9.886282,201500
2007-09-25,15.300000,16.480000,15.300000,16.480000,10.511351,470400
2007-09-26,15.500000,16.480000,15.300000,16.480000,10.511351,475400
2007-09-27,16.600000,17.280001,16.600000,17.000000,10.843019,229300
2007-09-28,16.900000,17.850000,16.900000,17.850000,11.385171,236900
2007-10-01,17.340000,18.200001,17.299999,18.090000,11.538250,451500
2007-10-02,18.200001,18.200001,17.400000,17.500000,11.161930,541400
2007-10-03,18.200001,18.200001,17.360001,17.500000,11.161930,548100
2007-10-04,17.500000,17.500000,16.650000,16.990000,10.836639,464700
2007-10-05,17.100000,17.299999,16.700001,16.750000,10.683563,460000
2007-10-08,17.040001,17.040001,16.790001,16.799999,10.715453,21900
2007-10-09,17.040001,17.040001,16.500000,16.500000,10.524107,22300
2007-10-10,17.000000,17.000000,16.400000,16.400000,10.460325,66300
2007-10-11,16.700001,16.740000,15.900000,16.400000,10.460325,84400
2007-10-15,16.490000,16.490000,15.380000,15.480000,9.873526,80000
2007-10-16,16.490000,16.490000,15.380000,15.480000,9.873526,80000
2007-10-17,15.000000,15.100000,14.350000,14.450000,9.216566,382500
2007-10-18,15.000000,15.100000,14.350000,14.450000,9.216566,382500
2007-10-19,14.500000,15.200000,14.350000,15.200000,9.694933,726100
2007-10-22,14.980000,15.000000,14.800000,15.000000,9.567370,129600
2007-10-23,14.980000,15.000000,14.800000,15.000000,9.567370,129600
2007-10-24,15.400000,15.400000,14.850000,14.990000,9.560990,101600
2007-10-25,15.100000,15.100000,14.700000,14.940000,9.529100,48600
2007-10-26,15.000000,15.200000,14.700000,14.900000,9.503589,533400
2007-10-29,15.260000,15.500000,15.150000,15.150000,9.663044,116100
2007-10-30,15.260000,15.500000,15.150000,15.150000,9.663044,116100
2007-10-31,15.350000,15.350000,14.900000,15.150000,9.663044,93200
2007-11-01,15.200000,15.800000,15.100000,15.800000,10.077629,869300
2007-11-05,16.250000,17.000000,16.250000,16.900000,10.779237,412200
2007-11-06,16.250000,17.000000,16.250000,16.969999,10.823883,413400
2007-11-07,17.500000,17.600000,16.799999,17.000000,10.843019,393300
2007-11-08,17.000000,17.350000,16.530001,16.900000,10.779237,453200
2007-11-09,17.000000,17.000000,16.520000,16.900000,10.779237,511500
2007-11-12,16.879999,16.879999,16.000000,16.389999,10.453945,262300
2007-11-13,16.600000,16.600000,15.500000,16.190001,10.326380,280200
2007-11-14,16.000000,16.200001,15.800000,15.990000,10.198815,237600
2007-11-16,16.000000,16.000000,15.300000,15.550000,9.918173,57200
2007-11-19,15.500000,15.500000,14.310000,14.900000,9.503589,219800
2007-11-21,14.570000,14.600000,13.110000,13.990000,8.923167,617900
2007-11-22,14.000000,14.000000,13.600000,13.990000,8.923167,211500
2007-11-23,14.100000,14.400000,14.050000,14.110000,8.999704,230800
2007-11-26,14.290000,14.290000,13.250000,13.250000,8.451177,559700
2007-11-27,13.400000,13.700000,13.000000,13.150000,8.387394,460000
2007-11-28,13.540000,13.600000,13.300000,13.450000,8.578741,365200
2007-11-29,13.500000,14.200000,13.460000,13.990000,8.923167,516800
2007-11-30,14.000000,15.250000,13.800000,15.250000,9.726827,255400
2007-12-03,15.250000,15.900000,15.110000,15.850000,10.109520,23400
2007-12-04,15.250000,15.900000,15.110000,15.850000,10.109520,23400
2007-12-05,16.030001,16.500000,15.700000,16.200001,10.332759,327600
2007-12-06,16.450001,16.650000,15.500000,15.500000,9.886282,312300
2007-12-07,16.450001,16.650000,15.500000,15.800000,10.077629,313800
2007-12-10,15.750000,16.100000,15.750000,15.950000,10.173302,232300
2007-12-11,15.950000,16.400000,15.800000,16.139999,10.294490,339000
2007-12-12,16.290001,16.400000,16.020000,16.400000,10.460325,432200
2007-12-13,16.000000,16.000000,15.300000,15.500000,9.886282,223600
2007-12-14,15.330000,15.350000,14.710000,14.990000,9.560990,516000
2007-12-17,14.630000,14.630000,13.800000,14.500000,9.248458,272200
2007-12-18,15.020000,15.020000,14.100000,14.890000,9.497210,209100
2007-12-19,14.790000,16.240000,14.790000,16.200001,10.332759,468500
2007-12-20,16.100000,16.400000,16.090000,16.250000,10.364648,39300
2007-12-21,16.440001,17.000000,16.309999,17.000000,10.843019,144300
2007-12-26,17.000000,17.000000,16.709999,16.980000,10.830261,40400
2007-12-27,16.980000,16.990000,16.700001,16.799999,10.715453,96800
2007-12-28,16.790001,16.900000,16.250000,16.900000,10.779237,43200
2008-01-02,16.900000,16.900000,16.400000,16.750000,10.683563,39800
2008-01-03,16.500000,17.500000,16.400000,17.389999,11.091770,224600
2008-01-04,17.389999,17.389999,16.510000,16.799999,10.715453,130800
2008-01-07,17.000000,17.000000,16.000000,16.000000,10.205195,43400
2008-01-08,15.600000,15.890000,14.900000,14.950000,9.535479,213800
2008-01-09,14.950000,15.070000,14.480000,14.500000,9.248458,183800
2008-01-10,14.500000,14.500000,13.850000,14.000000,8.929544,196000
2008-01-11,13.880000,13.880000,13.290000,13.300000,8.483068,89200
2008-01-14,13.400000,13.400000,12.440000,12.900000,8.227936,187100
2008-01-15,12.790000,12.790000,11.760000,11.980000,7.641138,94900
2008-01-16,11.700000,12.000000,11.010000,11.700000,7.462550,331300
2008-01-17,12.000000,12.100000,10.700000,11.110000,7.086233,352300
2008-01-18,11.300000,11.380000,10.900000,10.960000,6.990557,189300
2008-01-21,10.160000,10.490000,10.000000,10.490000,6.690779,265300
2008-01-22,10.580000,11.300000,10.450000,11.300000,7.207419,231000
2008-01-23,11.000000,11.090000,10.500000,10.500000,6.697160,265300
2008-01-24,11.110000,11.450000,10.900000,11.450000,7.303092,230400
2008-01-28,11.350000,11.700000,11.020000,11.500000,7.334982,160600
2008-01-29,11.700000,12.000000,11.700000,12.000000,7.653895,191500
2008-01-30,12.000000,12.500000,11.980000,12.500000,7.972808,409300
2008-01-31,11.990000,12.400000,11.500000,12.390000,7.902647,837100
2008-02-01,12.310000,12.470000,11.830000,12.000000,7.653895,312200
