Date,Open,High,Low,Close,Adj Close,Volume
2007-07-23,9.940554,10.123959,9.852519,10.043261,5.512486,443144
2007-07-24,9.720468,9.977235,9.353658,9.742476,5.347394,754477
2007-07-25,9.537063,9.786494,9.177589,9.537063,5.234647,932635
2007-07-26,9.390339,9.654442,9.060210,9.133572,5.013181,312832
2007-07-27,9.375666,9.375666,8.656718,8.950167,4.912514,319647
2007-07-30,9.383003,9.390339,8.803443,9.390339,5.154114,717401
2007-07-31,9.529727,9.529727,8.957503,9.133572,5.013181,636841
2007-08-01,8.913486,9.060210,8.436632,8.803443,4.831981,642703
2007-08-02,9.023529,9.316977,8.876805,9.023529,4.952782,481447
2007-08-03,9.162916,9.170253,8.715408,8.803443,4.831981,348681
2007-08-06,9.023529,9.060210,8.436632,8.730081,4.791716,696273
2007-08-07,8.840124,9.133572,8.473313,8.957503,4.916541,495624
2007-08-08,9.023529,9.170253,8.950167,9.170253,5.033316,566641
2007-08-09,9.133572,9.162916,8.906149,9.023529,4.952782,238543
2007-08-10,8.803443,9.720468,8.730081,9.720468,5.335312,265259
2007-08-13,9.676451,9.676451,9.060210,9.206934,5.053448,120498
2007-08-14,9.522390,9.529727,8.876805,9.096891,4.993049,78651
2007-08-15,9.133572,9.309641,8.546675,8.803443,4.831981,402796
2007-08-16,8.143184,8.143184,7.116116,8.011133,4.397104,1344155
2007-08-17,8.781434,8.781434,7.130788,8.069822,4.429317,517706
2007-08-20,7.820391,8.216546,7.703012,7.813055,4.288384,243586
2007-08-21,7.629650,7.879081,7.380219,7.380219,4.050811,700771
2007-08-22,7.666331,7.666331,7.240831,7.460917,4.095105,2022435
2007-08-23,7.482926,7.519607,7.262840,7.262840,3.986386,705133
2007-08-24,7.336202,8.062486,7.336202,7.908426,4.340730,294430
2007-08-27,7.989124,7.996460,7.556288,7.739693,4.248118,704996
2007-08-28,7.915762,7.915762,7.387555,7.556288,4.147450,620893
2007-08-29,7.681004,7.901090,7.299521,7.394892,4.058865,1741091
2007-08-30,7.424236,7.424236,7.116116,7.233495,3.970279,899648
2007-08-31,7.255504,7.475590,7.255504,7.475590,4.103158,1144870
