Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,9.510030,9.510030,9.354437,9.359152,5.810341,109651
2010-01-19,9.406301,9.500600,9.354437,9.434591,5.857175,153978
2010-01-20,9.429876,9.472310,9.293143,9.312002,5.781070,2272352
2010-01-21,9.208274,9.425161,9.146980,9.250708,5.743016,191731
2010-01-22,9.236563,9.250708,9.146980,9.194129,5.707891,752926
2010-01-26,9.194129,9.288428,9.142265,9.142265,5.675693,911994
2010-01-27,9.194129,9.194129,8.958382,9.137550,5.672765,62567
2010-01-28,9.024391,9.227134,9.024391,9.194129,5.707891,37328
2010-01-29,9.222419,9.500600,9.189414,9.189414,5.704963,340407
2010-02-01,9.184699,9.184699,9.029106,9.047966,5.617150,148040
2010-02-02,9.029106,9.029106,8.911233,8.911233,5.532263,323015
2010-02-03,9.014961,9.047966,8.887658,8.906518,5.529337,65960
2010-02-04,8.915948,9.000817,8.378445,8.453884,5.248333,458118
2010-02-05,8.453884,8.618907,8.114408,8.340725,5.178082,418033
2010-02-08,8.364300,8.963097,8.203992,8.430309,5.233696,464269
2010-02-09,8.524608,8.793359,8.486888,8.722635,5.415178,341255
2010-02-10,8.717920,9.052681,8.717920,8.930092,5.543972,513898
2010-02-11,8.934807,9.128120,8.849939,8.849939,5.494212,333620
2010-02-12,8.986672,9.038536,8.717920,8.722635,5.415178,35631
2010-02-17,9.029106,9.038536,8.915948,8.958382,5.561534,261509
2010-02-18,8.840509,9.429876,8.703775,9.382727,5.824976,224181
2010-02-19,9.236563,9.406301,9.236563,9.392156,5.830830,406580
2010-02-22,9.194129,9.500600,9.184699,9.307288,5.778141,1068518
2010-02-23,9.241278,9.349722,8.991387,9.099830,5.649348,1100968
2010-02-24,9.047966,9.382727,9.047966,9.264853,5.751798,59597
2010-02-25,9.241278,9.241278,8.967812,9.076256,5.634714,647516
2010-02-26,9.038536,9.429876,9.010246,9.425161,5.851320,34783
2010-03-01,9.472310,9.477025,9.066826,9.066826,5.628859,1207226
2010-03-02,9.099830,9.345007,8.911233,8.934807,5.546898,137647
2010-03-03,9.194129,9.194129,8.939522,8.958382,5.561534,223544
2010-03-04,9.052681,9.113975,8.958382,8.958382,5.561534,35419
2010-03-05,9.095115,9.099830,8.958382,9.076256,5.634714,123649
2010-03-08,9.095115,9.165839,8.986672,9.052681,5.620079,91835
2010-03-09,9.132835,9.137550,8.958382,8.981957,5.576172,64263
2010-03-10,8.981957,9.241278,8.934807,8.934807,5.546898,520685
2010-03-11,8.887658,8.958382,8.746210,8.958382,5.561534,172006
2010-03-12,8.727350,9.071541,8.727350,8.958382,5.561534,95653
2010-03-15,8.722635,9.146980,8.722635,9.052681,5.620079,214000
2010-03-16,8.958382,9.420446,8.873513,9.005531,5.590806,566497
2010-03-17,9.090400,9.349722,9.090400,9.208274,5.716672,221211
2010-03-18,9.123405,9.406301,9.123405,9.335577,5.795705,407640
2010-03-19,9.335577,9.335577,8.981957,9.264853,5.751798,1132570
2010-03-22,9.269568,9.288428,9.005531,9.288428,5.766433,62779
2010-03-23,9.179984,9.406301,9.179984,9.312002,5.781070,650061
2010-03-24,9.297858,9.335577,9.104545,9.109260,5.655201,269568
2010-03-25,9.198844,9.283713,9.113975,9.217704,5.722527,51114
2010-03-26,9.071541,9.236563,9.071541,9.175269,5.696182,51538
2010-03-29,9.104545,9.255423,9.062111,9.099830,5.649348,338286
2010-03-30,9.231849,9.378012,9.109260,9.151695,5.681547,138708
2010-03-31,9.321432,9.321432,8.958382,8.958382,5.561534,1324089
2010-04-01,8.958382,9.170554,8.628336,8.633051,5.359561,274658
2010-04-05,8.722635,8.722635,8.392590,8.392590,5.210281,618884
2010-04-06,8.486888,8.486888,8.203992,8.203992,5.093194,1270006
2010-04-07,8.303006,8.392590,7.949385,8.062544,5.005381,968623
