Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,7.010000,7.050000,7.000000,7.050000,2.227249,600
2000-02-04,7.050000,7.600000,7.000000,7.600000,2.401006,5700
2000-02-07,7.000000,7.000000,7.000000,7.000000,2.211453,1100
2000-02-08,7.000000,7.000000,7.000000,7.000000,2.211453,1300
2000-02-09,7.000000,7.000000,7.000000,7.000000,2.211453,0
2000-02-10,7.300000,7.300000,7.300000,7.300000,2.306229,100
2000-02-11,7.300000,7.300000,7.300000,7.300000,2.306229,0
2000-02-14,6.600000,6.600000,6.600000,6.600000,2.085085,200
2000-02-15,6.600000,6.600000,6.500000,6.500000,2.053493,700
2000-02-16,6.100000,6.100000,6.100000,6.100000,1.927123,300
2000-02-17,6.200000,6.200000,6.100000,6.100000,1.927123,10000
2000-02-18,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-02-21,6.500000,7.000000,6.500000,7.000000,2.211453,1400
2000-02-22,6.250000,6.250000,6.250000,6.250000,1.974512,100
2000-02-23,6.250000,6.250000,6.250000,6.250000,1.974512,0
2000-02-24,6.300000,6.300000,6.300000,6.300000,1.990308,500
2000-02-25,6.310000,6.310000,6.300000,6.300000,1.990308,200
2000-02-28,6.300000,6.300000,6.300000,6.300000,1.990308,0
2000-02-29,6.300000,6.300000,6.300000,6.300000,1.990308,0
2000-03-01,6.400000,6.400000,6.400000,6.400000,2.021900,200
2000-03-02,6.400000,6.400000,6.400000,6.400000,2.021900,2200
2000-03-03,6.100000,6.100000,6.100000,6.100000,1.927123,200
2000-03-06,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-07,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-08,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-09,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-10,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-13,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-14,6.100000,6.100000,6.100000,6.100000,1.927123,0
2000-03-15,6.100000,6.100000,6.100000,6.100000,1.927123,0
