Date,Open,High,Low,Close,Adj Close,Volume
2004-07-26,25.600000,25.850000,25.299999,25.299999,23.076365,104300
2004-07-27,25.020000,25.950001,25.020000,25.799999,23.532415,156900
2004-07-28,25.799999,25.860001,25.379999,25.750000,23.486811,288200
2004-07-29,25.740000,25.799999,25.469999,25.620001,23.368240,15300
2004-07-30,25.500000,25.790001,25.360001,25.740000,23.477694,90500
2004-08-02,25.400000,26.000000,25.400000,25.700001,23.441208,86700
2004-08-03,25.700001,26.000000,25.600000,25.600000,23.349995,110800
2004-08-04,25.500000,27.000000,25.500000,26.110001,23.815172,264000
2004-08-05,26.400000,27.000000,26.250000,26.500000,24.170895,165700
2004-08-06,26.600000,26.750000,26.299999,26.500000,24.170895,43200
2004-08-09,26.299999,26.700001,26.299999,26.600000,24.262108,49900
2004-08-10,26.700001,26.990000,26.400000,26.850000,24.490135,251400
2004-08-11,26.870001,27.200001,26.750000,27.049999,24.672552,147100
2004-08-12,27.100000,27.200001,26.799999,26.900000,24.535742,70300
2004-08-13,27.000000,27.200001,26.799999,27.049999,24.672552,37700
2004-08-16,27.139999,27.299999,26.900000,26.900000,24.535742,57600
2004-08-17,26.799999,26.940001,26.750000,26.750000,24.398920,59200
2004-08-18,26.700001,26.790001,26.000000,26.110001,23.815172,97800
2004-08-19,26.200001,26.250000,25.900000,26.000000,23.714842,87000
2004-08-20,26.000000,26.150000,25.870001,26.000000,23.714842,35700
2004-08-23,26.100000,26.100000,25.799999,25.900000,23.623631,61200
2004-08-24,25.799999,25.990000,25.700001,25.790001,23.523300,72800
2004-08-25,25.730000,26.389999,25.510000,25.700001,23.441208,79200
2004-08-26,26.190001,26.190001,25.500000,25.940001,23.660118,37200
2004-08-27,25.620001,26.100000,25.620001,26.000000,23.714842,28000
2004-08-30,26.000000,26.500000,25.600000,25.670000,23.413839,33800
2004-08-31,25.990000,26.100000,25.600000,26.000000,23.714842,172600
2004-09-01,25.990000,26.500000,25.629999,26.299999,23.988472,92400
2004-09-02,26.020000,26.500000,26.000000,26.010000,23.723961,99300
2004-09-03,25.950001,26.430000,25.950001,26.000000,23.714842,35700
2004-09-06,25.900000,26.000000,25.900000,25.900000,23.623631,6600
2004-09-07,25.900000,25.900000,25.900000,25.900000,23.623631,0
2004-09-08,26.389999,27.100000,26.389999,26.799999,24.444527,392700
2004-09-09,26.799999,27.450001,26.799999,27.200001,24.809372,201800
2004-09-10,27.080000,28.000000,27.070000,27.600000,25.174215,201600
2004-09-13,27.700001,29.500000,27.500000,29.000000,26.451170,513500
2004-09-14,28.799999,30.400000,28.629999,30.250000,27.591305,375000
2004-09-15,30.250000,30.980000,30.000000,30.100000,27.454489,132300
2004-09-16,29.990000,30.490000,29.950001,30.350000,27.682520,123800
2004-09-17,29.410000,30.200001,29.410000,29.950001,27.317673,81500
2004-09-20,29.700001,30.290001,29.700001,29.959999,27.326799,73900
2004-09-21,29.709999,30.240000,29.709999,30.100000,27.454489,99300
2004-09-22,29.510000,30.049999,29.510000,29.900000,27.272070,48200
2004-09-23,30.139999,30.299999,29.809999,30.000000,27.363279,81000
2004-09-24,30.190001,30.370001,29.750000,29.900000,27.272070,48800
2004-09-27,29.000000,30.299999,28.950001,29.100000,26.542381,36000
2004-09-28,29.000000,29.500000,28.889999,29.299999,26.724800,24900
2004-09-29,29.340000,29.490000,29.010000,29.200001,26.633591,28200
2004-09-30,29.000000,29.059999,28.670000,28.700001,26.177538,81500
2004-10-01,29.000000,29.200001,28.540001,29.100000,26.542381,68700
2004-10-04,29.000000,29.200001,27.809999,28.549999,26.040722,80800
2004-10-05,28.500000,28.500000,27.049999,27.549999,25.128613,89400
2004-10-06,27.190001,27.889999,27.190001,27.719999,25.283669,112500
2004-10-07,27.600000,27.799999,27.600000,27.700001,25.265427,12900
2004-10-08,27.520000,27.750000,27.500000,27.500000,25.083004,4000
2004-10-11,28.000000,28.299999,27.559999,28.000000,25.539057,9000
2004-10-12,28.000000,28.000000,28.000000,28.000000,25.539057,0
2004-10-13,28.100000,28.299999,27.620001,27.620001,25.192461,36200
2004-10-14,27.299999,27.799999,27.000000,27.709999,25.274549,39700
2004-10-15,27.620001,28.059999,27.620001,27.990000,25.529940,10400
2004-10-18,27.799999,27.950001,27.620001,27.620001,25.192461,65500
2004-10-19,27.650000,28.360001,27.650000,27.799999,25.356636,21400
2004-10-20,28.000000,28.000000,27.700001,27.700001,25.265427,8400
2004-10-21,27.600000,27.900000,27.530001,27.600000,25.174215,41000
2004-10-22,27.700001,27.780001,27.700001,27.700001,25.265427,31900
2004-10-25,27.790001,28.190001,27.790001,27.900000,25.447845,70000
2004-10-26,27.850000,28.309999,27.850000,28.150000,25.675877,62100
2004-10-27,28.100000,28.570000,28.100000,28.360001,25.867416,29600
2004-10-28,28.360001,30.139999,28.000000,29.600000,26.998432,163700
2004-10-29,29.990000,29.990000,29.270000,29.549999,26.952827,64800
2004-11-01,29.600000,29.600000,29.299999,29.400000,26.816013,8300
2004-11-02,null,null,null,null,null,null
2004-11-03,29.400000,30.000000,29.400000,29.459999,26.870735,39900
2004-11-04,29.700001,29.700001,29.450001,29.549999,26.952827,10100
2004-11-05,29.500000,30.000000,29.500000,29.840000,27.217342,27300
2004-11-08,29.840000,29.900000,29.150000,29.610001,27.007555,9400
2004-11-09,30.000000,30.750000,29.799999,30.610001,27.919664,169100
