Date,Open,High,Low,Close,Adj Close,Volume
2018-05-28,6.198000,6.198000,5.806000,5.900000,5.759914,6411500
2018-05-29,5.960000,6.070000,5.770000,5.952000,5.810679,2629500
2018-05-30,6.020000,6.150000,5.838000,6.000000,5.857541,7408000
2018-06-01,6.126000,6.198000,5.798000,5.978000,5.836063,5865500
2018-06-04,6.040000,6.160000,5.922000,6.060000,5.916115,4560000
2018-06-05,6.020000,6.020000,5.760000,5.854000,5.715006,3595500
2018-06-06,5.804000,5.836000,5.580000,5.696000,5.560758,6656500
2018-06-07,5.696000,5.696000,5.370000,5.520000,5.388937,8206000
2018-06-08,5.446000,5.678000,5.400000,5.530000,5.398699,6645000
2018-06-11,5.564000,5.650000,5.390000,5.560000,5.427987,3034000
2018-06-12,5.560000,5.694000,5.468000,5.616000,5.482657,3053500
2018-06-13,5.622000,5.622000,5.306000,5.348000,5.221021,11790500
2018-06-14,5.340000,5.478000,5.320000,5.404000,5.275692,8048500
2018-06-15,5.404000,5.410000,5.130000,5.400000,5.271787,5843500
2018-06-18,5.400000,5.400000,5.240000,5.276000,5.150730,6980000
2018-06-19,5.316000,5.678000,5.260000,5.570000,5.437750,2394000
2018-06-20,5.602000,5.840000,5.580000,5.760000,5.623239,2124000
2018-06-21,5.700000,5.836000,5.470000,5.642000,5.508039,3703500
2018-06-22,5.602000,5.840000,5.546000,5.800000,5.662290,4482000
2018-06-25,5.864000,5.900000,5.760000,5.900000,5.759914,13637500
2018-06-26,5.914000,6.000000,5.810000,5.924000,5.783345,2298500
2018-06-27,5.940000,6.050000,5.822000,6.000000,5.857541,1769500
2018-06-28,6.000000,6.056000,5.830000,6.056000,5.912211,13831000
2018-06-29,5.972000,6.106000,5.830000,5.978000,5.836063,7384000
2018-07-02,5.876000,5.938000,5.864000,5.880000,5.740389,1320500
2018-07-03,5.922000,5.956000,5.732000,5.840000,5.701339,2137500
2018-07-04,5.918000,5.946000,5.746000,5.858000,5.718911,4814000
2018-07-05,5.858000,5.894000,5.756000,5.840000,5.701339,5866500
2018-07-06,5.840000,5.844000,5.710000,5.710000,5.574425,11536500
2018-07-10,5.746000,5.878000,5.680000,5.752000,5.615428,4219000
2018-07-11,5.722000,5.890000,5.644000,5.742000,5.605666,4077500
2018-07-12,5.730000,5.950000,5.624000,5.946000,5.804823,3530000
2018-07-13,5.948000,5.980000,5.734000,5.764000,5.627143,3343500
2018-07-16,5.766000,5.874000,5.662000,5.700000,5.564663,2601000
2018-07-17,5.744000,5.776000,5.624000,5.674000,5.539279,2290000
2018-07-18,5.662000,5.866000,5.650000,5.866000,5.726722,6666500
2018-07-19,5.840000,5.910000,5.710000,5.818000,5.679861,2540500
2018-07-20,5.900000,6.062000,5.842000,6.000000,5.857541,5353000
2018-07-23,6.078000,6.096000,5.922000,5.986000,5.843872,2179500
2018-07-24,6.022000,6.058000,5.948000,6.020000,5.877065,2108500
2018-07-25,6.062000,6.140000,5.736000,5.736000,5.599809,9799500
2018-07-26,5.746000,5.794000,5.460000,5.502000,5.371364,6813500
