Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,8.259744,8.269720,7.900625,8.080185,7.265609,1079440
2021-03-09,7.910601,8.120087,7.910601,8.000380,7.193849,924461
2021-03-10,8.110111,8.279695,7.860723,8.279695,7.445006,1093174
2021-03-11,8.279695,8.439304,7.691139,7.910601,7.113121,1424785
2021-03-12,7.980429,8.030307,7.681163,7.681163,6.906813,499722
2021-03-15,7.681163,7.820821,7.681163,7.711090,6.933722,276075
2021-03-16,7.731041,7.780919,7.511579,7.591383,6.826084,778404
2021-03-17,7.451726,7.810845,7.351970,7.731041,6.951663,1007063
2021-03-18,7.711090,7.780919,7.332019,7.381897,6.637716,770885
2021-03-19,7.511579,7.950503,7.332019,7.691139,6.915783,683271
2021-03-22,7.880674,8.299646,7.880674,8.299646,7.462946,1390100
2021-03-23,8.319598,8.828350,8.319598,8.588937,7.723072,1449445
2021-03-24,8.588937,8.678717,8.229818,8.329573,7.489855,992327
2021-03-25,8.369475,8.439304,8.050258,8.140038,7.319428,872033
2021-03-26,8.159989,8.239793,7.920576,8.030307,7.220759,687181
2021-03-29,7.920576,8.020331,7.810845,7.820821,7.032392,570796
2021-03-30,7.870698,7.950503,7.780919,7.950503,7.149000,699310
2021-03-31,7.860723,7.950503,7.561457,7.840772,7.050332,302840
2021-04-01,7.860723,8.020331,7.750992,8.020331,7.211789,898397
2021-04-05,7.980429,8.130062,7.830796,7.830796,7.041361,407597
2021-04-06,7.930552,8.080185,7.770943,7.810845,7.023421,618011
2021-04-07,7.860723,8.469231,7.850747,8.010356,7.202819,1273715
2021-04-08,8.080185,8.120087,7.930552,7.930552,7.131061,229561
2021-04-09,7.940527,8.060234,7.940527,7.990405,7.184879,192470
2021-04-12,7.990405,8.299646,7.990405,8.080185,7.265609,368701
2021-04-13,8.080185,8.259744,8.060234,8.080185,7.265609,300434
2021-04-14,8.120087,8.289671,8.060234,8.159989,7.337368,400980
2021-04-15,8.229818,8.369475,8.080185,8.120087,7.301488,681968
2021-04-16,8.140038,8.279695,8.130062,8.199891,7.373247,283794
2021-04-19,8.229818,8.269720,8.090160,8.249769,7.418097,242092
2021-04-20,8.249769,8.578961,8.199891,8.379451,7.534705,1155526
2021-04-22,8.479206,8.578961,8.399402,8.459255,7.606465,687381
2021-04-23,8.479206,8.977983,8.479206,8.948056,8.045989,1445937
2021-04-26,8.918130,8.977983,8.539059,8.758521,7.875560,883060
2021-04-27,8.828350,9.257298,8.758521,8.758521,7.875560,1054980
2021-04-28,8.758521,9.117641,8.379451,8.798423,7.911440,683872
2021-04-29,8.868252,8.938081,8.588937,8.828350,7.938351,296826
2021-04-30,8.848301,8.958032,8.678717,8.828350,7.938351,304043
2021-05-03,8.838325,8.928105,8.778472,8.878228,7.983200,577713
2021-05-04,8.878228,9.057787,8.598913,8.718619,7.839681,473859
2021-05-05,8.878228,9.057787,8.718619,8.928105,8.028049,840355
2021-05-06,8.968007,9.027861,8.718619,8.828350,7.938351,472756
2021-05-07,8.878228,9.067763,8.778472,8.778472,7.893500,1517812
2021-05-10,8.808399,9.027861,8.808399,8.958032,8.054958,3337163
2021-05-11,8.928105,9.127616,8.778472,8.958032,8.054958,697005
2021-05-12,8.958032,9.077738,8.878228,9.027861,8.117748,1050569
2021-05-13,8.987959,9.037836,8.778472,8.838325,7.947320,491101
2021-05-14,8.888203,8.977983,8.728595,8.758521,7.875560,453409
2021-05-17,8.918130,8.928105,8.738570,8.908154,8.010109,247806
2021-05-18,8.938081,9.017885,8.738570,8.928105,8.028049,288706
2021-05-19,8.878228,9.117641,8.489182,8.778472,7.893500,1037939
2021-05-20,8.788448,8.878228,8.708643,8.828350,7.938351,677958
2021-05-21,8.878228,8.977983,8.718619,8.718619,7.839681,555960
2021-05-24,8.768497,8.918130,8.449280,8.718619,7.839681,734597
2021-05-25,8.698668,8.828350,8.618864,8.828350,7.938351,404890
2021-05-26,8.848301,8.858277,8.638815,8.648790,7.776892,462030
2021-05-27,8.728595,8.968007,8.628839,8.738570,7.857621,496614
2021-05-28,8.818374,8.838325,8.738570,8.758521,7.875560,234674
