Date,Open,High,Low,Close,Adj Close,Volume
2007-04-30,7.485568,7.591134,7.485568,7.485568,5.391705,452959
2007-05-02,7.495165,7.629521,7.485568,7.533553,5.426268,1140057
2007-05-03,7.495165,7.629521,7.485568,7.485568,5.391705,1143287
2007-05-04,7.533553,7.639118,7.380002,7.552746,5.440092,1333349
2007-05-07,7.677506,7.687103,7.629521,7.658312,5.516128,457961
2007-05-08,7.677506,7.725490,7.437584,7.571940,5.453917,1449845
2007-05-09,7.658312,7.725490,7.437584,7.571940,5.453917,1450366
2007-05-10,7.437584,7.475971,6.996127,7.207259,5.191245,980318
2007-05-11,7.197662,7.332018,7.197662,7.332018,5.281106,307808
2007-05-14,7.332018,7.389599,7.101693,7.293631,5.253457,1007618
2007-05-15,7.245646,7.370406,7.207259,7.293631,5.253457,977504
2007-05-16,7.274437,7.341615,7.072902,7.236049,5.211981,421491
2007-05-17,7.188065,7.236049,6.919352,7.236049,5.211981,1968764
2007-05-18,7.264840,7.332018,6.967337,7.092096,5.108295,2267611
2007-05-21,7.053708,7.092096,6.746608,6.813786,4.907834,2649714
2007-05-22,6.804189,6.890561,6.765802,6.823383,4.914746,1093688
2007-05-23,6.852174,6.852174,6.650639,6.679430,4.811059,798696
2007-05-24,6.698624,6.842577,6.689027,6.727414,4.845622,405965
2007-05-25,6.813786,6.852174,6.727414,6.737011,4.852533,706791
2007-05-28,6.842577,7.092096,6.775399,7.034515,5.066821,1264577
2007-05-29,7.389599,7.389599,7.072902,7.101693,5.115208,9301978
2007-05-30,7.082499,7.533553,6.880965,7.533553,5.426268,10511746
2007-05-31,7.677506,7.850250,7.610328,7.773475,5.599078,11047545
2007-06-01,7.917428,8.579613,7.917428,8.214931,5.917050,10013772
2007-06-04,8.157350,8.445256,7.341615,7.485568,5.391705,8723978
2007-06-05,7.725490,7.907831,7.677506,7.802265,5.619815,10560616
2007-06-06,7.754281,7.850250,7.677506,7.677506,5.529954,3819469
2007-06-08,7.485568,7.763878,7.303227,7.763878,5.592166,4718511
2007-06-11,7.811862,7.869444,7.581537,7.619925,5.488480,1134535
2007-06-12,7.811862,7.869444,7.581537,7.610328,5.481567,1150060
2007-06-13,7.581537,7.677506,7.504762,7.504762,5.405530,1007827
2007-06-14,7.485568,7.629521,7.485568,7.523956,5.419355,4100393
2007-06-15,7.581537,7.629521,7.149677,7.178468,5.170507,3215314
2007-06-18,7.226452,7.322421,6.909755,7.063305,5.087557,1315010
2007-06-19,7.034515,7.130484,6.727414,6.852174,4.935484,2572085
2007-06-20,6.861771,7.236049,6.621849,7.082499,5.101382,4524281
2007-06-21,7.092096,7.274437,6.813786,7.120887,5.129033,3298258
2007-06-22,7.188065,7.274437,6.928949,7.216855,5.198155,1489441
2007-06-25,7.284034,7.571940,7.207259,7.408793,5.336405,3795711
2007-06-26,7.437584,7.581537,6.996127,7.082499,5.101382,2642628
2007-06-27,7.130484,7.197662,6.765802,6.976933,5.025346,4222933
2007-06-28,7.207259,7.504762,7.053708,7.485568,5.391705,5546696
2007-06-29,7.581537,7.802265,7.418390,7.658312,5.516128,2875308
2007-07-02,7.821459,8.157350,7.725490,8.090172,5.827190,4143845
2007-07-03,8.147753,8.310900,8.013397,8.243722,5.937788,2383065
2007-07-04,8.234125,8.301303,8.138156,8.176544,5.889402,1531643
2007-07-05,8.195738,8.426063,8.176544,8.406869,6.055300,1845390
2007-07-06,8.387675,8.589210,8.253319,8.541225,6.152073,3304406
2007-07-10,8.560419,8.809938,8.445256,8.464450,6.096774,1936462
2007-07-11,8.493241,9.136232,8.454853,8.963488,6.456222,3510306
2007-07-12,8.896310,9.260992,8.809938,8.963488,6.456222,3768098
2007-07-13,8.925101,9.011473,8.493241,8.771551,6.317973,1562694
2007-07-16,8.733163,8.829132,8.502838,8.713969,6.276497,1354710
2007-07-17,8.723566,8.752357,8.541225,8.598807,6.193548,2077862
2007-07-18,8.608403,8.608403,8.282109,8.426063,6.069123,2614182
2007-07-19,8.445256,8.665985,8.272513,8.627597,6.214285,3431218
2007-07-20,8.541225,8.733163,8.291706,8.397272,6.048387,1852372
2007-07-23,8.397272,8.589210,8.358885,8.454853,6.089860,1104837
2007-07-24,8.560419,8.560419,8.176544,8.253319,5.944701,905085
2007-07-25,8.253319,8.445256,8.003800,8.435660,6.076037,2183104
2007-07-26,8.157350,8.243722,7.783072,7.821459,5.633640,1937816
2007-07-27,7.994203,8.109366,7.754281,7.792668,5.612903,936658
2007-07-30,7.965412,8.301303,7.840653,8.291706,5.972351,1050966
2007-07-31,8.349288,8.426063,7.898234,8.013397,5.771890,726485
2007-08-01,7.965412,8.493241,7.898234,8.454853,6.089860,2871557
2007-08-02,8.541225,8.963488,8.445256,8.867519,6.387097,3262830
2007-08-03,8.877116,9.021069,8.445256,8.627597,6.214285,2134859
2007-08-06,8.541225,8.877116,8.157350,8.579613,6.179723,1076703
2007-08-07,8.733163,8.771551,8.454853,8.665985,6.241935,617596
2007-08-08,8.685179,9.289782,8.685179,9.069054,6.532259,1691174
2007-08-09,8.925101,9.165023,8.550822,8.829132,6.359448,1017934
2007-08-10,8.541225,8.665985,8.387675,8.665985,6.241935,903730
2007-08-13,8.809938,9.011473,8.713969,8.848326,6.373273,2262401
2007-08-14,8.925101,9.021069,8.560419,8.570016,6.172812,2515087
2007-08-15,8.445256,8.723566,7.821459,7.927025,5.709678,2162681
2007-08-16,7.648715,7.792668,7.005724,7.495165,5.398617,3545838
2007-08-17,8.061381,8.157350,7.523956,7.821459,5.633640,2703898
2007-08-20,8.109366,8.253319,7.821459,7.869444,5.668202,1727123
