Date,Open,High,Low,Close,Adj Close,Volume
2007-07-23,65.584236,66.063911,65.017349,65.409805,62.462307,109341
2007-07-24,65.409805,66.281937,62.793419,62.793419,59.963818,152110
2007-07-25,63.709152,64.755714,62.182926,64.101616,61.213062,146124
2007-07-26,63.229481,63.229481,58.999649,60.177025,57.465324,159356
2007-07-27,60.613091,62.575382,60.002598,62.575382,59.755608,36531
2007-07-30,62.313744,62.357353,61.136368,61.572433,58.797852,117092
2007-07-31,62.313744,63.229481,59.740959,59.958992,57.257114,265762
2007-08-01,58.650795,59.304893,58.083912,58.868828,56.216076,133626
2007-08-02,59.304893,60.613091,57.996696,58.432762,55.799660,97875
2007-08-03,59.479321,59.479321,57.996696,58.040302,55.424885,284727
2007-08-06,58.432762,58.650795,54.508175,57.560631,54.966831,285507
2007-08-07,57.996696,59.740959,57.386208,58.432762,55.799660,273605
2007-08-08,59.740959,61.092762,59.086861,60.177025,57.465324,126976
2007-08-09,59.304893,60.177025,57.124565,58.650795,56.007866,163989
2007-08-10,56.252438,57.342602,55.859978,57.124565,54.550415,129200
2007-08-13,57.429813,58.432762,54.857025,55.859978,53.342812,98723
2007-08-14,55.816372,56.688499,54.944241,55.249485,52.759827,127870
2007-08-15,54.551781,54.726208,53.505222,53.636044,51.219090,113446
2007-08-16,51.455715,51.848175,43.170475,49.275391,47.054939,152500
2007-08-17,50.365555,56.208828,45.786865,56.208828,53.675941,301606
2007-08-20,56.862926,56.906532,52.851128,54.072109,51.635506,68223
2007-08-21,55.598339,55.816372,52.894733,53.636044,51.219090,28069
2007-08-22,54.900635,55.380306,52.763912,55.380306,52.884754,147225
2007-08-23,55.598339,55.816372,53.243584,54.115715,51.677151,104617
2007-08-24,53.243584,55.816372,53.199978,55.031452,52.551620,41278
2007-08-27,54.508175,54.726208,53.679649,54.508175,52.051922,72443
2007-08-28,54.072109,54.072109,52.327847,52.327847,49.969849,15892
2007-08-29,52.327847,53.897682,52.327847,53.897682,51.468941,23551
2007-08-30,53.636044,54.508175,53.112766,54.508175,52.051922,57307
2007-08-31,54.944241,57.560631,54.944241,57.560631,54.966831,65953
2007-09-03,56.601288,58.868828,56.252438,58.868828,56.216076,61458
2007-09-04,58.389156,59.304893,57.560631,57.996696,55.383244,62054
2007-09-05,56.296043,58.650795,56.078011,58.650795,56.007866,35315
2007-09-06,59.784565,59.784565,56.470470,56.470470,53.925797,79689
2007-09-10,55.598339,55.598339,53.418011,54.072109,51.635506,46231
2007-09-11,54.508175,55.380306,53.461617,54.202930,51.760433,25363
2007-09-12,53.636044,54.508175,53.199978,54.508175,52.051922,25409
2007-09-13,54.202930,55.772762,53.723255,55.293091,52.801472,29284
2007-09-14,54.290142,56.252438,54.290142,54.508175,52.051922,92371
2007-09-17,54.333748,54.508175,52.720306,53.461617,51.052525,315755
2007-09-18,54.028503,55.118668,53.418011,54.726208,52.260132,134910
2007-09-19,56.688499,56.688499,54.944241,54.944241,52.468338,135094
2007-09-20,54.944241,56.208828,54.551781,55.598339,53.092964,113996
2007-09-21,55.598339,56.208828,54.813419,54.944241,52.468338,99778
2007-09-24,54.987846,55.816372,54.944241,55.162273,52.676548,48020
2007-09-25,54.726208,55.162273,53.810471,55.031452,52.551620,33045
2007-09-26,54.944241,56.601288,54.769814,55.380306,52.884754,33183
2007-09-27,54.944241,56.601288,54.769814,55.162273,52.676548,124912
2007-09-28,55.162273,55.598339,54.377354,55.598339,53.092964,100879
2007-10-01,55.380306,56.601288,54.726208,55.598339,53.092964,80263
2007-10-02,55.293091,55.598339,54.508175,55.031452,52.551620,38686
2007-10-03,54.987846,54.987846,52.763912,53.112766,50.719395,38984
2007-10-04,53.199978,54.072109,52.938339,53.199978,50.802677,57353
2007-10-05,53.418011,56.165222,53.418011,55.816372,53.301170,46873
2007-10-08,55.598339,56.339649,55.205879,55.598339,53.092964,33320
2007-10-09,55.598339,56.688499,55.162273,55.641945,53.134602,33939
2007-10-10,55.641945,55.859978,54.944241,55.729156,53.217888,16694
2007-10-11,55.380306,56.426861,55.380306,55.816372,53.301170,16694
2007-10-15,56.339649,57.560631,56.339649,56.601288,54.050716,262139
2007-10-16,56.688499,56.688499,54.944241,56.208828,53.675941,262277
2007-10-17,55.816372,56.688499,54.595387,55.729156,53.217888,33687
2007-10-18,55.641945,55.641945,53.243584,54.508175,52.051922,33710
2007-10-19,53.897682,54.508175,52.327847,52.327847,49.969849,107094
2007-10-22,52.327847,52.327847,49.929489,50.583588,48.304188,114157
2007-10-23,52.327847,52.327847,49.929489,50.583588,48.304188,114157
2007-10-24,50.583588,51.019650,49.929489,50.147518,47.887768,91729
2007-10-25,51.194077,52.327847,50.627193,52.327847,49.969849,78566
2007-10-26,52.197029,52.284241,50.103912,50.147518,47.887768,66824
2007-10-29,50.539978,51.150471,49.929489,50.147518,47.887768,90330
2007-10-30,50.321945,50.801620,49.711456,50.583588,48.304188,90605
2007-10-31,50.801620,53.156372,50.801620,53.156372,50.761036,96430
2007-11-01,53.156372,55.816372,52.327847,55.380306,52.884754,80469
2007-11-05,54.944241,57.909485,53.897682,55.598339,53.092964,105580
2007-11-06,55.380306,57.560631,55.380306,56.252438,53.717587,105832
2007-11-07,56.208828,56.688499,54.726208,56.252438,53.717587,78978
2007-11-08,54.944241,56.557682,51.891781,55.118668,52.634907,54028
2007-11-09,55.118668,55.336700,52.981945,53.636044,51.219090,36049
2007-11-12,54.072109,54.072109,50.583588,50.583588,48.304188,99641
2007-11-13,51.019650,54.464569,51.019650,53.418011,51.010883,30706
2007-11-14,52.763912,56.034405,52.763912,54.508175,52.051922,51850
2007-11-16,54.464569,55.816372,53.636044,55.380306,52.884754,13530
2007-11-19,55.380306,55.380306,52.763912,52.981945,50.594467,86156
2007-11-21,51.455715,52.327847,50.147518,50.147518,47.887768,131883
2007-11-22,51.848175,52.327847,48.839325,48.839325,46.638523,42837
2007-11-23,52.240635,54.508175,51.717358,52.545879,50.178055,204854
2007-11-26,51.891781,54.464569,50.365555,52.327847,49.969849,70471
2007-11-27,51.019650,53.941288,51.019650,52.109814,49.761639,116656
2007-11-28,52.327847,54.202930,52.327847,53.418011,51.010883,92279
2007-11-29,53.112766,54.464569,52.371452,52.545879,50.178055,117597
2007-11-30,54.159321,54.159321,52.415062,52.415062,50.053131,80515
2007-12-03,52.458668,54.944241,51.935390,53.810471,51.385662,22129
2007-12-04,54.290142,54.290142,52.545879,53.418011,51.010883,22175
2007-12-05,54.072109,54.072109,52.545879,53.418011,51.010883,67306
2007-12-06,53.199978,56.644894,53.199978,55.816372,53.301170,74897
2007-12-07,55.816372,56.034405,54.551781,54.551781,52.093567,75149
2007-12-10,54.290142,54.551781,53.418011,54.115715,51.677151,114707
2007-12-11,53.418011,54.813419,52.502274,52.981945,50.594467,113400
2007-12-12,52.807518,54.900635,52.676701,54.072109,51.635506,79047
2007-12-13,52.763912,55.554729,52.109814,54.944241,52.468338,95673
2007-12-14,53.636044,54.508175,52.327847,52.327847,49.969849,105695
2007-12-17,53.810471,53.810471,49.929489,50.191128,47.929413,60472
2007-12-18,50.976044,52.763912,49.711456,52.240635,49.886562,50519
