Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,5.212500,5.212500,4.910000,4.975000,4.921841,8596800
2020-03-09,4.150000,4.720000,4.150000,4.375000,4.328252,4211200
2020-03-10,4.750000,4.950000,4.530000,4.750000,4.699245,2349600
2020-03-11,4.725000,4.812500,4.380000,4.812500,4.761077,2027600
2020-03-12,4.147500,4.625000,3.675000,4.022500,3.979519,1163200
2020-03-13,4.912500,4.912500,3.912500,4.385000,4.338146,6545600
2020-03-16,3.790000,3.837500,3.437500,3.775000,3.734663,21936000
2020-03-17,3.985000,3.985000,3.652500,3.750000,3.709930,1926800
2020-03-18,3.380000,3.500000,2.787500,3.000000,2.967944,4954400
2020-03-19,3.000000,3.200000,2.717500,3.027500,2.995150,8774400
2020-03-20,3.175000,3.362500,2.875000,2.902500,2.871486,2835200
2020-03-23,2.905000,2.905000,2.430000,2.550000,2.522753,5378000
2020-03-24,2.830000,3.300000,2.650000,3.300000,3.264739,3478000
2020-03-25,3.205000,3.747500,3.205000,3.702500,3.662938,4454400
2020-03-26,3.747500,4.145000,3.662500,4.087500,4.043824,1597600
2020-03-27,3.850000,4.447500,3.720000,4.362500,4.315886,2057600
2020-03-30,4.362500,4.595000,4.187500,4.587500,4.538482,1450000
2020-03-31,4.585000,4.587500,4.427500,4.500000,4.451917,1315600
2020-04-01,4.287500,4.450000,3.662500,3.750000,3.709930,4519200
2020-04-02,3.875000,3.875000,3.442500,3.615000,3.576373,6638400
2020-04-03,3.562500,4.315000,3.340000,4.180000,4.135335,15550000
2020-04-06,4.305000,4.450000,4.062500,4.387500,4.340618,7346400
2020-04-07,4.625000,4.750000,4.385000,4.645000,4.595367,10064400
2020-04-08,4.750000,4.932500,4.445000,4.752500,4.701719,6474000
2020-04-09,4.800000,5.137500,4.800000,4.990000,4.936680,5905600
2020-04-13,5.000000,5.122500,4.672500,4.672500,4.622573,10228800
2020-04-14,4.850000,4.910000,4.712500,4.910000,4.857535,4073600
2020-04-15,4.860000,5.000000,4.735000,4.850000,4.798176,806000
2020-04-16,5.000000,5.025000,4.787500,4.875000,4.822910,1594000
2020-04-17,5.045000,5.045000,4.692500,4.837500,4.785810,3591600
2020-04-20,4.797500,5.127500,4.717500,5.127500,5.072712,3608400
2020-04-22,5.197500,6.210000,5.195000,5.625000,5.564895,4714400
2020-04-23,5.750000,5.880000,5.350000,5.500000,5.441231,1685200
2020-04-24,5.495000,5.635000,5.037500,5.635000,5.574789,3102400
2020-04-27,5.647500,5.875000,5.497500,5.800000,5.738026,2719200
2020-04-28,6.045000,6.135000,5.925000,5.925000,5.861690,6683200
2020-04-29,5.950000,6.042500,5.845000,5.887500,5.824591,3305200
2020-04-30,5.880000,5.962500,5.632500,5.690000,5.629201,5458400
2020-05-04,5.595000,5.740000,5.382500,5.485000,5.426392,1476000
2020-05-05,5.525000,5.825000,5.427500,5.570000,5.510484,2322000
2020-05-06,5.612500,6.065000,5.517500,6.065000,6.000194,5102800
2020-05-07,6.162500,6.200000,5.830000,6.100000,6.034820,1921200
2020-05-08,6.155000,6.155000,5.882500,6.002500,5.938362,2640000
2020-05-11,6.002500,6.075000,5.877500,5.950000,5.886423,1185200
2020-05-12,5.950000,6.125000,5.915000,5.937500,5.874057,1250800
2020-05-13,5.925000,6.125000,5.905000,6.025000,5.960622,3506000
2020-05-14,5.875000,5.955000,5.702500,5.937500,5.874057,4411200
2020-05-15,5.830000,6.065000,5.627500,6.050000,5.985354,2641600
2020-05-18,6.162500,6.250000,5.960000,6.200000,6.133751,2408000
2020-05-19,6.162500,6.252500,6.065000,6.250000,6.183218,3159600
2020-05-20,6.252500,6.462500,6.155000,6.240000,6.173324,2825200
2020-05-21,6.240000,6.347500,6.152500,6.152500,6.086759,4003600
2020-05-22,6.000000,6.210000,5.900000,6.125000,6.059553,2886400
2020-05-25,6.347500,6.417500,6.212500,6.250000,6.183218,3346800
2020-05-26,6.305000,6.455000,6.192500,6.345000,6.277202,3362800
2020-05-27,6.352500,6.840000,6.352500,6.625000,6.554210,4638000
2020-05-28,6.677500,6.817500,6.552500,6.625000,6.554210,3574000
2020-05-29,6.632500,6.682500,6.132500,6.550000,6.480011,21586000
2020-06-01,6.575000,6.800000,6.575000,6.722500,6.650668,4270800
