Date,Open,High,Low,Close,Adj Close,Volume
2011-06-02,0.467661,0.482276,0.467661,0.479353,0.441489,14824392
2011-06-03,0.473507,0.488121,0.473507,0.488121,0.449565,13866434
2011-06-06,0.484322,0.491629,0.481106,0.488121,0.449565,11163626
2011-06-07,0.485198,0.490167,0.479937,0.487829,0.449296,20271064
2011-06-08,0.487245,0.487537,0.480230,0.484614,0.446335,11197838
2011-06-09,0.482568,0.504782,0.482276,0.499813,0.460333,38626214
2011-06-10,0.495429,0.501274,0.485783,0.501274,0.461679,15871302
2011-06-13,0.501274,0.519104,0.499813,0.505659,0.465717,28191320
2011-06-14,0.508582,0.512966,0.487245,0.500397,0.460871,21102435
2011-06-15,0.499813,0.499813,0.488706,0.493675,0.454680,16442656
2011-06-16,0.482276,0.493090,0.467369,0.491044,0.452257,20524239
2011-06-17,0.488121,0.489291,0.469123,0.482276,0.444182,8115268
2011-06-20,0.477307,0.479353,0.468538,0.473507,0.436105,8204221
2011-06-21,0.470584,0.487537,0.470292,0.485198,0.446873,6373838
2011-06-22,0.478184,0.487537,0.474676,0.474968,0.437451,11146519
2011-06-24,0.478768,0.486075,0.470876,0.473507,0.436105,6432000
2011-06-27,0.481399,0.481399,0.462400,0.467661,0.430721,10055132
2011-06-28,0.467953,0.474676,0.465615,0.474676,0.437182,10763336
2011-06-29,0.473507,0.479937,0.469999,0.479937,0.442027,10103030
2011-06-30,0.475261,0.478476,0.467661,0.474968,0.437451,18204613
2011-07-01,0.476138,0.476430,0.464738,0.473507,0.436105,20671354
2011-07-04,0.471753,0.479353,0.468246,0.479353,0.441489,8618196
2011-07-05,0.482276,0.493090,0.480814,0.490167,0.451449,43679440
2011-07-06,0.489875,0.490460,0.485198,0.488121,0.449565,16456341
2011-07-07,0.489291,0.493967,0.479353,0.479353,0.441489,11728136
2011-07-08,0.479060,0.479353,0.467953,0.476430,0.438797,18259354
2011-07-11,0.470584,0.475845,0.453339,0.454508,0.418607,19306264
2011-07-12,0.454800,0.467661,0.445740,0.466200,0.429375,14687541
2011-07-13,0.466784,0.467077,0.448662,0.460354,0.423991,16394758
2011-07-14,0.454508,0.458893,0.438432,0.438432,0.403801,13277975
2011-07-15,0.441647,0.443109,0.419141,0.423818,0.390341,13240341
2011-07-18,0.425864,0.426156,0.404819,0.405404,0.373382,14088817
2011-07-19,0.408911,0.434925,0.405988,0.432587,0.398417,21075064
2011-07-20,0.435217,0.439309,0.418264,0.418264,0.385226,10024340
2011-07-21,0.423526,0.425279,0.411834,0.419141,0.386033,9490621
2011-07-22,0.419726,0.435509,0.418264,0.435509,0.401109,13466145
2011-07-25,0.419434,0.447201,0.419434,0.424695,0.391149,117076
2011-07-26,0.431125,0.451293,0.426741,0.451293,0.415646,13216392
2011-07-27,0.447201,0.447201,0.425572,0.436679,0.402186,11882094
2011-07-28,0.437848,0.438432,0.413588,0.413588,0.380919,23798401
2011-07-29,0.416511,0.416511,0.398681,0.401896,0.370151,67022
2011-08-01,0.409203,0.416511,0.394004,0.408911,0.376612,8974008
2011-08-02,0.408911,0.413296,0.401604,0.408619,0.376343,10038026
2011-08-03,0.404819,0.410373,0.370621,0.393128,0.362075,18064341
2011-08-04,0.379975,0.379975,0.357468,0.359514,0.331116,15214417
2011-08-05,0.350746,0.366822,0.324732,0.346069,0.318733,23435745
2011-08-08,0.309825,0.330870,0.309825,0.321517,0.296121,13770638
2011-08-09,0.322394,0.334085,0.304856,0.327363,0.301505,30842809
2011-08-10,0.320055,0.328824,0.312456,0.328824,0.302851,29145856
2011-08-11,0.328532,0.365068,0.324732,0.365068,0.336232,17195336
2011-08-12,0.364776,0.386990,0.353376,0.385528,0.355076,16367388
2011-08-15,0.377344,0.394297,0.377344,0.391082,0.360191,8402655
2011-08-16,0.381436,0.388743,0.366237,0.384067,0.353730,8991115
2011-08-17,0.384067,0.391082,0.380267,0.386405,0.355883,10215932
2011-08-18,0.379682,0.387866,0.352499,0.387866,0.357229,9949072
2011-08-19,0.377929,0.386113,0.370914,0.375298,0.345654,17995915
2011-08-22,0.375883,0.384067,0.367406,0.373544,0.344038,8053685
2011-08-23,0.371498,0.375883,0.367406,0.371791,0.342424,9617208
2011-08-24,0.373544,0.373544,0.360391,0.365360,0.336501,10089345
2011-08-25,0.370329,0.379098,0.352792,0.359514,0.331116,7502859
2011-08-26,0.353669,0.360684,0.344900,0.347823,0.320349,13620102
2011-08-29,0.349577,0.355715,0.347823,0.355130,0.327079,23812086
