Date,Open,High,Low,Close,Adj Close,Volume
2021-01-21,11.280000,12.380000,11.200000,11.730000,11.445663,21435100
2021-01-22,11.510000,12.150000,11.280000,11.590000,11.309056,15220300
2021-01-26,12.010000,12.100000,9.890000,9.890000,9.650265,18313600
2021-01-27,9.520000,9.920000,8.570000,8.570000,8.362262,33019400
2021-01-28,8.650000,9.110000,8.230000,8.680000,8.469596,18932600
2021-01-29,8.510000,9.350000,8.340000,9.040000,8.820868,18116200
2021-02-01,9.450000,9.550000,9.000000,9.360000,9.133112,8795700
2021-02-02,9.410000,9.600000,9.280000,9.300000,9.074567,7265300
2021-02-03,9.280000,9.280000,8.830000,8.870000,8.654989,12489600
2021-02-04,8.880000,9.190000,8.650000,8.720000,8.508626,10389800
2021-02-05,8.820000,8.950000,8.370000,8.530000,8.323231,8449200
2021-02-08,8.570000,8.620000,7.900000,7.990000,7.796321,10968300
2021-02-09,7.880000,9.250000,7.650000,9.250000,9.025778,24243900
2021-02-10,9.420000,9.680000,8.510000,8.650000,8.440323,23464600
2021-02-11,8.650000,8.900000,8.280000,8.460000,8.254928,9947100
2021-02-12,8.300000,8.450000,8.120000,8.350000,8.147595,5702200
2021-02-17,8.360000,8.590000,8.200000,8.280000,8.079291,3443500
2021-02-18,8.310000,8.360000,7.830000,7.830000,7.640199,5741000
2021-02-19,7.810000,8.080000,7.730000,7.830000,7.640199,4677700
2021-02-22,7.650000,7.650000,7.200000,7.200000,7.025470,7191600
2021-02-23,7.420000,8.120000,7.410000,8.090000,7.893897,8498100
2021-02-24,8.150000,8.620000,7.820000,8.560000,8.352505,10242500
2021-02-25,8.560000,8.850000,8.030000,8.140000,7.942685,8946700
2021-02-26,8.310000,8.800000,8.210000,8.800000,8.586686,14204200
2021-03-01,9.020000,9.320000,8.840000,9.030000,8.811111,14796600
2021-03-02,8.830000,9.150000,8.670000,9.030000,8.811111,6992900
2021-03-03,8.910000,9.090000,8.270000,8.760000,8.547657,6571600
2021-03-04,8.880000,9.030000,8.400000,8.450000,8.245171,4176400
2021-03-05,8.560000,8.560000,8.010000,8.100000,7.903655,5408200
2021-03-08,7.990000,8.300000,7.540000,7.730000,7.542624,6097100
2021-03-09,7.830000,8.140000,7.570000,7.860000,7.669472,4499800
2021-03-10,7.920000,8.200000,7.820000,7.900000,7.708503,3579100
2021-03-11,8.010000,8.090000,7.910000,8.010000,7.815836,2471900
2021-03-12,7.950000,8.290000,7.900000,8.050000,7.854867,2981500
2021-03-15,8.030000,8.180000,8.000000,8.000000,7.806079,1720900
2021-03-16,8.070000,8.520000,8.020000,8.180000,7.981716,4991700
2021-03-17,8.150000,8.340000,8.090000,8.230000,8.030504,1933000
2021-03-18,8.200000,8.300000,7.860000,7.970000,7.776806,2519000
2021-03-19,8.020000,8.090000,7.900000,7.960000,7.767048,1942100
2021-03-22,8.120000,8.270000,7.980000,7.990000,7.796321,2074400
2021-03-23,8.020000,8.050000,7.950000,7.970000,7.776806,1282200
2021-03-24,8.050000,8.050000,7.660000,7.790000,7.601169,1763700
2021-03-25,7.800000,7.900000,7.650000,7.800000,7.610927,1693300
2021-03-26,7.820000,8.000000,7.570000,7.870000,7.679230,1568600
2021-03-29,7.900000,7.990000,7.660000,7.730000,7.542624,1784000
2021-03-30,7.840000,8.080000,7.730000,7.750000,7.562139,4029200
2021-03-31,7.800000,7.830000,7.450000,7.620000,7.435290,3775200
2021-04-01,7.610000,7.640000,7.490000,7.520000,7.337714,2208500
2021-04-05,7.590000,7.640000,7.310000,7.470000,7.288926,3315600
2021-04-06,7.460000,7.520000,7.350000,7.350000,7.171835,2402800
2021-04-07,7.340000,7.410000,7.250000,7.290000,7.113289,2295500
2021-04-08,7.300000,7.680000,7.280000,7.660000,7.474320,3481400
2021-04-09,7.590000,7.940000,7.550000,7.800000,7.610927,4069900
2021-04-12,7.800000,7.930000,7.640000,7.920000,7.728018,1770200
2021-04-13,7.880000,8.190000,7.830000,7.900000,7.708503,3485200
2021-04-14,7.990000,8.050000,7.610000,7.640000,7.454805,3180700
2021-04-15,7.730000,7.770000,7.470000,7.480000,7.298683,2523200
2021-04-16,7.480000,7.590000,7.420000,7.510000,7.327956,1892500
2021-04-19,7.500000,7.690000,7.470000,7.530000,7.347472,1564000
2021-04-20,7.510000,7.590000,7.110000,7.150000,6.976683,8773000
2021-04-22,7.210000,7.230000,7.020000,7.060000,6.888864,3015400
2021-04-23,7.050000,7.250000,7.050000,7.200000,7.025470,2048000
2021-04-26,7.210000,7.400000,7.130000,7.200000,7.025470,2849800
2021-04-27,7.200000,7.320000,6.940000,6.980000,6.810804,2328500
2021-04-28,6.980000,7.200000,6.950000,7.070000,6.898623,2106900
2021-04-29,7.110000,7.160000,6.970000,6.980000,6.810804,1882900
2021-04-30,6.990000,7.600000,6.960000,7.270000,7.093774,9363900
2021-05-03,7.350000,7.780000,7.280000,7.780000,7.604404,5848300
2021-05-04,7.490000,7.650000,7.210000,7.240000,7.076591,6945600
2021-05-05,7.390000,7.400000,7.120000,7.150000,6.988623,2836900
2021-05-06,7.130000,7.200000,7.050000,7.050000,6.890880,1364800
2021-05-07,7.120000,7.200000,7.050000,7.070000,6.910429,1672300
2021-05-10,7.130000,7.190000,7.060000,7.120000,6.959300,1691600
2021-05-11,7.060000,7.110000,6.910000,7.040000,6.881106,1643700
2021-05-12,7.030000,7.060000,6.810000,6.810000,6.656297,2070900
2021-05-13,6.850000,6.950000,6.570000,6.650000,6.499908,2728000
2021-05-14,6.740000,6.860000,6.700000,6.810000,6.656297,1877600
2021-05-17,6.800000,6.840000,6.560000,6.610000,6.460811,2176900
2021-05-18,6.610000,6.750000,6.610000,6.640000,6.490134,1268400
2021-05-19,6.610000,6.630000,6.470000,6.500000,6.353294,1488600
2021-05-20,6.510000,6.570000,6.390000,6.400000,6.255551,1231200
2021-05-21,6.430000,6.640000,6.430000,6.460000,6.314196,1439500
2021-05-24,6.520000,6.520000,6.400000,6.500000,6.353294,1371100
2021-05-25,6.540000,6.690000,6.490000,6.600000,6.451036,1615700
2021-05-26,6.600000,6.840000,6.570000,6.740000,6.587877,1706800
2021-05-27,6.760000,6.900000,6.710000,6.900000,6.744266,1336200
2021-05-28,6.910000,6.960000,6.750000,6.790000,6.636748,1000800
2021-05-31,6.810000,6.940000,6.500000,6.510000,6.363068,5043600
2021-06-01,6.570000,6.620000,6.340000,6.350000,6.206679,6556500
2021-06-02,6.400000,6.460000,6.350000,6.400000,6.255551,3278100
2021-06-04,6.390000,6.440000,6.370000,6.410000,6.265325,1831900
2021-06-07,6.400000,6.620000,6.400000,6.470000,6.323971,3125500
2021-06-08,6.480000,6.550000,6.400000,6.430000,6.284873,1511000
2021-06-09,6.390000,6.400000,6.220000,6.230000,6.089387,3969600
2021-06-10,6.260000,6.330000,6.130000,6.150000,6.011193,3361500
2021-06-11,6.120000,6.250000,6.120000,6.190000,6.050291,1825100
2021-06-14,6.210000,6.260000,6.160000,6.190000,6.050291,1482700
2021-06-15,6.200000,6.240000,6.150000,6.170000,6.030742,1365500
2021-06-16,6.190000,6.200000,6.120000,6.140000,6.001419,1712800
2021-06-17,6.150000,6.150000,6.070000,6.110000,5.972096,1549300
2021-06-18,6.110000,6.120000,6.040000,6.080000,5.942773,1378200
2021-06-21,6.140000,6.250000,6.050000,6.180000,6.040515,1757600
2021-06-22,6.160000,6.210000,6.120000,6.120000,5.981870,1047800
2021-06-23,6.160000,6.170000,6.050000,6.060000,5.923224,1564100
2021-06-24,6.100000,6.170000,6.040000,6.060000,5.923224,1739900
2021-06-25,6.070000,6.100000,6.000000,6.010000,5.874353,1391900
2021-06-28,6.000000,6.020000,5.900000,5.900000,5.766836,1618900
2021-06-29,5.950000,5.950000,5.730000,5.820000,5.688642,2235500
2021-06-30,5.770000,5.850000,5.670000,5.720000,5.590899,2181100
2021-07-01,5.730000,6.260000,5.680000,6.110000,5.972096,6312400
2021-07-02,6.200000,6.970000,6.070000,6.970000,6.812686,10491400
2021-07-05,6.880000,7.300000,6.560000,7.080000,6.920203,11793600
2021-07-06,7.300000,7.460000,7.010000,7.170000,7.008172,9765700
2021-07-07,7.220000,7.350000,6.820000,7.100000,6.939751,7027000
2021-07-08,6.860000,7.090000,6.710000,7.000000,6.842008,3572800
2021-07-12,7.150000,7.250000,6.930000,7.080000,6.920203,3276900
2021-07-13,7.010000,7.080000,6.850000,6.930000,6.773588,3320200
2021-07-14,6.970000,6.980000,6.750000,6.860000,6.705168,2500600
2021-07-15,6.870000,6.900000,6.620000,6.740000,6.587877,1912700
2021-07-16,6.770000,6.820000,6.570000,6.600000,6.451036,1381700
2021-07-19,6.480000,6.570000,6.320000,6.490000,6.343519,2619100
2021-07-20,6.630000,7.070000,6.530000,7.020000,6.861557,6633900
2021-07-21,7.150000,7.250000,6.950000,7.120000,6.959300,6492600
2021-07-22,7.120000,7.280000,6.990000,7.100000,6.939751,2175300
2021-07-23,7.100000,7.110000,6.920000,7.000000,6.842008,1707400
2021-07-26,7.020000,7.180000,6.710000,6.730000,6.578103,2417500
2021-07-27,6.700000,6.790000,6.180000,6.430000,6.284873,3375000
2021-07-28,6.460000,6.610000,6.350000,6.420000,6.275099,1420300
2021-07-29,6.440000,6.470000,6.230000,6.280000,6.138259,1866400
2021-07-30,6.240000,6.270000,6.050000,6.060000,5.923224,2161900
2021-08-02,6.200000,6.310000,6.040000,6.070000,5.932999,2010500
2021-08-03,6.050000,6.090000,5.830000,6.020000,5.884128,2686400
2021-08-04,6.010000,6.280000,5.910000,6.160000,6.020967,2335400
