Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,2.613636,2.689393,2.594696,2.666666,1.619762,960960
2007-01-03,2.651515,2.731060,2.651515,2.712121,1.647372,1672440
2007-01-04,2.651515,2.689393,2.651515,2.689393,1.633566,3595680
2007-01-05,2.689393,2.689393,2.613636,2.651515,1.610559,718080
2007-01-08,2.632575,2.689393,2.613636,2.689393,1.633566,3821400
2007-01-09,2.669696,2.727272,2.615151,2.727272,1.656575,1071840
2007-01-10,2.688636,2.727272,2.632575,2.727272,1.656575,1997160
2007-01-11,2.727272,2.727272,2.651515,2.651515,1.610559,500280
2007-01-12,2.726515,2.726515,2.613636,2.704545,1.642769,2966040
2007-01-15,2.719696,2.719696,2.651515,2.696969,1.638168,150480
2007-01-16,2.659090,2.712121,2.651515,2.712121,1.647372,1041480
2007-01-17,2.710606,2.803030,2.704545,2.803030,1.702590,1269840
2007-01-18,2.803030,2.803030,2.765151,2.795454,1.697989,1032240
2007-01-19,2.786363,2.803030,2.785606,2.803030,1.702590,525360
2007-01-22,2.810606,2.840151,2.768939,2.795454,1.697989,991320
2007-01-23,2.798484,2.799242,2.787878,2.787878,1.693387,452760
2007-01-24,2.773484,2.803030,2.765151,2.803030,1.702590,5727480
2007-01-26,2.780303,2.835606,2.765151,2.835606,1.722378,2464440
2007-01-29,2.835606,2.954545,2.835606,2.916666,1.771615,953040
2007-01-30,2.835606,2.954545,2.835606,2.938636,1.784959,954360
2007-01-31,2.984848,2.988636,2.953787,2.969696,1.803825,2468400
2007-02-01,3.034090,3.049242,2.924242,3.014393,1.830975,2376000
2007-02-02,3.097727,3.238636,3.056818,3.178030,1.930369,2460480
2007-02-05,3.291666,3.291666,3.181818,3.272727,1.987890,9078960
2007-02-06,3.386363,3.386363,3.196969,3.327272,2.021022,2840640
2007-02-07,3.295454,3.347727,3.257575,3.303030,2.006295,2735040
2007-02-08,3.234848,3.333333,3.234848,3.333333,2.024703,525360
2007-02-09,3.333333,3.371212,3.332575,3.332575,2.024242,406560
2007-02-12,3.370454,3.370454,3.272727,3.295454,2.001694,801240
2007-02-13,3.272727,3.295454,3.250000,3.272727,1.987890,6453480
2007-02-14,3.272727,3.295454,3.250000,3.272727,1.987890,6453480
2007-02-15,3.228030,3.257575,3.219696,3.219696,1.955678,660000
2007-02-16,3.219696,3.219696,3.106060,3.173484,1.927608,979440
2007-02-21,3.265151,3.265151,3.147727,3.217424,1.954297,29040
2007-02-22,3.257575,3.257575,3.200757,3.240909,1.968564,2147640
2007-02-23,3.242424,3.257575,3.223484,3.227272,1.960280,2071080
2007-02-26,3.287878,3.287878,3.185606,3.194696,1.940493,1589280
2007-02-27,3.287878,3.287878,3.185606,3.196969,1.941872,1593240
2007-02-28,3.218939,3.218939,3.124242,3.125000,1.898159,696960
2007-03-01,3.031818,3.106060,2.946212,3.106060,1.886654,1049400
2007-03-02,3.030303,3.132575,3.030303,3.102272,1.884353,370920
2007-03-05,3.098484,3.098484,2.946969,3.060606,1.859045,513480
2007-03-06,3.030303,3.132575,2.992424,3.030303,1.840639,1164240
2007-03-07,3.106060,3.128787,3.030303,3.083333,1.872849,1820280
2007-03-08,3.132575,3.257575,3.132575,3.218181,1.954758,1871760
2007-03-09,3.132575,3.257575,3.132575,3.218181,1.954758,1871760
2007-03-12,3.257575,3.257575,3.219696,3.250000,1.974085,541200
2007-03-13,3.250000,3.250000,3.181818,3.181818,1.932670,587400
2007-03-14,3.155303,3.180303,3.121212,3.166666,1.923467,386760
2007-03-15,3.166666,3.219696,3.166666,3.181060,1.932210,328680
2007-03-16,3.181060,3.181060,3.162878,3.162878,1.921166,22440
2007-03-19,3.219696,3.219696,3.123484,3.181818,1.932670,93720
2007-03-20,3.180303,3.180303,3.112878,3.162878,1.921166,879120
