Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,10.400000,10.640000,10.200000,10.260000,10.260000,1277200
2021-03-15,10.370000,10.490000,10.000000,10.450000,10.450000,321800
2021-03-16,10.440000,10.470000,10.200000,10.440000,10.440000,129700
2021-03-17,10.150000,10.450000,10.130000,10.320000,10.320000,247200
2021-03-18,10.370000,10.400000,9.440000,9.440000,9.440000,968000
2021-03-19,9.540000,9.540000,8.910000,9.000000,9.000000,2936000
2021-03-22,9.000000,9.180000,8.840000,8.910000,8.910000,346200
2021-03-23,8.890000,9.350000,8.780000,9.160000,9.160000,725500
2021-03-24,9.280000,9.360000,9.020000,9.180000,9.180000,362500
2021-03-25,9.180000,9.330000,9.060000,9.250000,9.250000,568300
2021-03-26,9.300000,9.750000,9.200000,9.570000,9.570000,653200
2021-03-29,9.720000,9.780000,9.060000,9.550000,9.550000,724300
2021-03-30,9.630000,9.900000,9.260000,9.480000,9.480000,1110000
2021-03-31,9.430000,9.550000,8.900000,8.900000,8.900000,2062600
2021-04-01,8.950000,8.960000,8.640000,8.780000,8.780000,548100
2021-04-05,8.900000,8.900000,8.250000,8.250000,8.250000,1339700
2021-04-06,8.270000,8.340000,7.680000,7.750000,7.750000,2384000
2021-04-07,7.800000,7.870000,7.440000,7.550000,7.550000,3859300
2021-04-08,7.600000,7.640000,7.050000,7.140000,7.140000,2882300
2021-04-09,7.250000,8.110000,7.090000,8.070000,8.070000,4349800
2021-04-12,8.140000,8.930000,8.140000,8.800000,8.800000,4141200
2021-04-13,8.800000,9.090000,8.260000,8.480000,8.480000,2797500
2021-04-14,8.530000,8.780000,8.320000,8.530000,8.530000,1208300
2021-04-15,8.530000,8.760000,8.310000,8.530000,8.530000,1139900
2021-04-16,8.560000,8.760000,8.400000,8.650000,8.650000,458500
2021-04-19,8.780000,9.260000,8.510000,8.990000,8.990000,1790700
2021-04-20,8.980000,9.240000,8.650000,8.790000,8.790000,892500
2021-04-22,8.830000,8.990000,8.640000,8.650000,8.650000,694500
2021-04-23,8.800000,8.830000,8.360000,8.490000,8.490000,874000
2021-04-26,8.490000,8.590000,8.020000,8.170000,8.170000,895500
2021-04-27,8.150000,8.230000,7.720000,7.890000,7.890000,1514800
2021-04-28,7.890000,8.060000,7.700000,7.870000,7.870000,1447800
2021-04-29,7.870000,8.000000,7.730000,7.890000,7.890000,722000
2021-04-30,7.920000,8.060000,7.850000,7.990000,7.990000,1003800
2021-05-03,7.850000,8.020000,7.850000,7.990000,7.990000,480600
2021-05-04,7.990000,8.100000,7.750000,7.850000,7.850000,379800
2021-05-05,7.880000,7.950000,7.700000,7.780000,7.780000,560600
2021-05-06,7.950000,7.950000,7.550000,7.700000,7.700000,786100
2021-05-07,7.720000,8.100000,7.680000,8.100000,8.100000,333300
2021-05-10,8.140000,8.300000,7.860000,8.120000,8.120000,485100
2021-05-11,8.050000,8.070000,7.750000,7.890000,7.890000,834700
2021-05-12,7.880000,7.960000,7.450000,7.590000,7.590000,625500
2021-05-13,7.610000,7.670000,7.320000,7.410000,7.410000,993200
2021-05-14,7.480000,8.090000,7.400000,7.900000,7.900000,2548600
2021-05-17,7.920000,8.040000,7.510000,7.900000,7.900000,576500
2021-05-18,7.910000,8.080000,7.760000,7.850000,7.850000,633700
2021-05-19,7.830000,7.910000,7.640000,7.880000,7.880000,1149000
2021-05-20,7.890000,7.920000,7.560000,7.650000,7.650000,1967200
2021-05-21,7.780000,8.180000,7.780000,8.070000,8.070000,1488000
2021-05-24,8.150000,8.150000,7.720000,7.880000,7.880000,906200
2021-05-25,7.940000,7.940000,7.710000,7.720000,7.720000,695000
2021-05-26,7.760000,7.850000,7.660000,7.830000,7.830000,350900
2021-05-27,7.830000,7.970000,7.760000,7.870000,7.870000,494900
2021-05-28,7.900000,7.950000,7.770000,7.950000,7.950000,501400
2021-05-31,7.950000,8.080000,7.910000,7.950000,7.950000,878000
2021-06-01,8.020000,8.450000,7.950000,8.370000,8.370000,1567300
2021-06-02,8.490000,8.740000,8.120000,8.250000,8.250000,1335200
2021-06-04,8.300000,8.300000,8.040000,8.280000,8.280000,554500
2021-06-07,8.210000,8.300000,8.050000,8.050000,8.050000,376400
2021-06-08,8.050000,8.290000,7.880000,8.280000,8.280000,648700
2021-06-09,8.270000,8.430000,8.100000,8.360000,8.360000,338700
2021-06-10,8.390000,8.450000,8.220000,8.300000,8.300000,407600
2021-06-11,8.350000,8.350000,8.120000,8.230000,8.230000,231200
2021-06-14,8.250000,8.550000,8.150000,8.550000,8.550000,472800
2021-06-15,8.600000,8.620000,8.320000,8.360000,8.360000,353200
2021-06-16,8.360000,8.400000,8.150000,8.340000,8.340000,350500
2021-06-17,8.280000,8.290000,7.920000,8.090000,8.090000,672000
2021-06-18,8.110000,8.480000,8.040000,8.410000,8.410000,476400
2021-06-21,8.500000,8.600000,8.300000,8.600000,8.600000,373400
2021-06-22,8.580000,8.920000,8.400000,8.900000,8.900000,604300
2021-06-23,8.900000,9.200000,8.700000,9.040000,9.040000,693400
2021-06-24,9.030000,9.070000,8.830000,9.060000,9.060000,474000
2021-06-25,9.120000,9.120000,8.760000,8.880000,8.880000,398700
2021-06-28,8.920000,9.140000,8.780000,8.980000,8.980000,491000
2021-06-29,9.000000,9.190000,8.810000,9.020000,9.020000,634000
2021-06-30,9.030000,9.090000,8.730000,8.940000,8.940000,994100
2021-07-01,8.960000,8.960000,8.640000,8.680000,8.680000,487000
2021-07-02,8.750000,9.000000,8.670000,8.880000,8.880000,359000
2021-07-05,9.000000,9.000000,8.650000,8.750000,8.750000,400700
2021-07-06,8.650000,8.750000,8.510000,8.750000,8.750000,512400
2021-07-07,8.800000,8.820000,8.410000,8.810000,8.810000,793300
2021-07-08,8.650000,8.780000,8.460000,8.610000,8.610000,661500
2021-07-12,8.560000,8.790000,8.450000,8.660000,8.660000,614600
2021-07-13,8.600000,8.680000,8.340000,8.380000,8.380000,767800
2021-07-14,8.440000,8.470000,8.250000,8.300000,8.300000,599000
2021-07-15,8.250000,8.380000,8.060000,8.160000,8.160000,679000
2021-07-16,8.200000,8.230000,7.930000,8.210000,8.210000,636300
2021-07-19,8.080000,8.150000,7.840000,7.860000,7.860000,458900
2021-07-20,7.880000,7.950000,7.730000,7.760000,7.760000,333000
2021-07-21,7.810000,7.830000,7.420000,7.420000,7.420000,787800
2021-07-22,7.410000,7.530000,7.240000,7.360000,7.360000,611000
2021-07-23,7.320000,7.390000,7.200000,7.200000,7.200000,595500
2021-07-26,7.150000,7.160000,5.240000,5.240000,5.240000,11951800
2021-07-27,4.990000,5.270000,4.650000,4.650000,4.650000,9831200
2021-07-28,4.890000,5.170000,4.760000,4.900000,4.900000,6482100
2021-07-29,5.000000,5.040000,4.520000,4.600000,4.600000,5892100
2021-07-30,4.600000,4.760000,4.390000,4.590000,4.590000,2534400
2021-08-02,4.650000,4.750000,4.420000,4.510000,4.510000,2954400
2021-08-03,4.450000,4.460000,4.210000,4.210000,4.210000,2325800
2021-08-04,4.220000,4.310000,4.070000,4.070000,4.070000,1782200
2021-08-05,4.220000,4.470000,4.130000,4.350000,4.350000,4658100
2021-08-06,4.410000,4.690000,4.360000,4.530000,4.530000,1792700
2021-08-09,4.550000,4.550000,4.290000,4.400000,4.400000,1214400
