Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,20.938650,21.357424,20.579702,21.337481,21.337481,255546
2021-03-18,21.586752,21.826050,21.337481,21.826050,21.826050,709974
2021-03-19,21.646576,21.816078,21.217833,21.766226,21.766226,61479
2021-03-22,21.736313,21.736313,21.237774,21.237774,21.237774,102599
2021-03-23,21.177950,22.145115,21.038359,22.145115,22.145115,99992
2021-03-24,22.334560,22.713449,21.756254,21.875904,21.875904,155253
2021-03-25,21.836021,21.836021,21.207861,21.437189,21.437189,185341
2021-03-26,21.556839,21.726341,20.689381,20.908737,20.908737,218939
2021-03-29,20.928679,21.028387,19.951542,20.440111,20.440111,200686
2021-03-30,20.340403,20.340403,19.672359,19.792009,19.792009,306896
2021-03-31,19.941570,21.437189,19.891718,21.068270,21.068270,453625
2021-04-01,21.088211,21.636604,20.440111,21.038359,21.038359,350724
2021-04-05,21.207861,21.227802,20.599644,20.789087,20.789087,168793
2021-04-06,20.789087,20.928679,20.170898,20.489965,20.489965,873953
2021-04-07,20.779118,20.779118,20.160929,20.539820,20.539820,240402
2021-04-08,20.539820,21.726341,20.440111,21.726341,21.726341,159967
2021-04-09,21.437189,21.636604,20.858885,21.337481,21.337481,289646
2021-04-12,21.576780,21.636604,21.247744,21.536898,21.536898,140711
2021-04-13,21.297598,21.516956,21.088211,21.516956,21.516956,145023
2021-04-14,21.437189,21.477072,21.118124,21.138065,21.138065,133189
2021-04-15,21.267687,21.437189,20.948622,21.237774,21.237774,157058
2021-04-16,21.327511,21.437189,21.038359,21.407276,21.407276,94776
2021-04-19,21.337481,21.397306,21.038359,21.038359,21.038359,126268
2021-04-20,21.337481,21.726341,20.938650,21.526926,21.526926,203695
2021-04-22,21.616663,21.836021,21.167978,21.427219,21.427219,172503
2021-04-23,21.526926,21.616663,21.237774,21.427219,21.427219,108617
2021-04-26,21.427219,21.427219,20.938650,20.938650,20.938650,174810
2021-04-27,20.938650,20.938650,20.440111,20.440111,20.440111,207305
2021-04-28,20.440111,20.938650,20.111074,20.320461,20.320461,289245
2021-04-29,20.430140,20.689381,20.001396,20.539820,20.539820,333875
2021-04-30,20.539820,21.427219,20.529848,21.138065,21.138065,395856
