Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,5.450000,5.450000,5.450000,5.450000,1.339593,25950720000
2000-02-04,5.588000,5.588000,5.588000,5.588000,1.373514,21199360000
2000-02-07,5.625000,5.625000,5.625000,5.625000,1.382608,20613120000
2000-02-08,5.750000,5.750000,5.750000,5.750000,1.413333,31498240000
2000-02-09,5.625000,5.625000,5.625000,5.625000,1.382608,15600640000
2000-02-10,5.463000,5.463000,5.463000,5.463000,1.342789,18600960000
2000-02-11,5.288000,5.288000,5.288000,5.288000,1.299774,25297920000
2000-02-14,5.213000,5.213000,5.213000,5.213000,1.281340,10119680000
2000-02-15,5.313000,5.313000,5.313000,5.313000,1.305920,33546240000
2000-02-16,5.738000,5.738000,5.738000,5.738000,1.410383,73564160000
2000-02-17,5.688000,5.688000,5.688000,5.688000,1.398094,21411840000
2000-02-18,5.563000,5.563000,5.563000,5.563000,1.367369,22484480000
2000-02-21,5.550000,5.550000,5.550000,5.550000,1.364174,18700800000
2000-02-22,5.525000,5.525000,5.525000,5.525000,1.358028,22474240000
2000-02-23,5.563000,5.563000,5.563000,5.563000,1.367369,20334080000
2000-02-24,5.713000,5.713000,5.713000,5.713000,1.404238,32931840000
2000-02-25,5.863000,5.863000,5.863000,5.863000,1.441107,36958720000
2000-02-28,5.750000,5.750000,5.750000,5.750000,1.413333,11596800000
2000-02-29,5.775000,5.775000,5.775000,5.775000,1.419478,24322560000
2000-03-01,5.875000,5.875000,5.875000,5.875000,1.444058,23828480000
2000-03-02,5.838000,5.838000,5.838000,5.838000,1.434963,24053760000
2000-03-03,6.038000,6.038000,6.038000,6.038000,1.484122,13217280000
2000-03-06,6.038000,6.038000,6.038000,6.038000,1.484122,0
2000-03-07,6.038000,6.038000,6.038000,6.038000,1.484122,0
2000-03-08,6.181000,6.181000,6.181000,6.181000,1.519272,8337920000
2000-03-09,6.399000,6.399000,6.399000,6.399000,1.572855,21578240000
2000-03-10,6.213000,6.213000,6.213000,6.213000,1.527137,14763520000
2000-03-13,6.213000,6.213000,6.213000,6.213000,1.527137,0
2000-03-14,5.813000,5.813000,5.813000,5.813000,1.428818,28421120000
2000-03-15,5.888000,5.888000,5.888000,5.888000,1.447253,25216000000
2000-03-16,5.925000,5.925000,5.925000,5.925000,1.456348,23298560000
2000-03-17,5.863000,5.863000,5.863000,5.863000,1.441107,18447360000
2000-03-20,5.688000,5.688000,5.688000,5.688000,1.398094,16012800000
2000-03-21,5.800000,5.800000,5.800000,5.800000,1.425623,25492480000
2000-03-22,5.814000,5.814000,5.814000,5.814000,1.429064,25113600000
2000-03-23,5.813000,5.813000,5.813000,5.813000,1.428818,26447360000
2000-03-24,5.813000,5.813000,5.813000,5.813000,1.428818,15249920000
2000-03-27,6.250000,6.250000,6.250000,6.250000,1.536231,22727680000
2000-03-28,5.988000,5.988000,5.988000,5.988000,1.471832,16906240000
2000-03-29,5.963000,5.963000,5.963000,5.963000,1.465687,21788160000
2000-03-30,5.825000,5.825000,5.825000,5.825000,1.431767,16432640000
2000-03-31,5.900000,5.900000,5.900000,5.900000,1.450202,20659200000
2000-04-03,5.850000,5.850000,5.850000,5.850000,1.437912,18083840000
2000-04-04,5.819000,5.819000,5.819000,5.819000,1.430293,33208320000
2000-04-05,6.063000,6.063000,6.063000,6.063000,1.490268,40258560000
2000-04-06,6.150000,6.150000,6.150000,6.150000,1.511652,24975360000
2000-04-07,6.188000,6.188000,6.188000,6.188000,1.520992,19161600000
2000-04-10,6.050000,6.050000,6.050000,6.050000,1.487072,13194240000
2000-04-11,5.900000,5.900000,5.900000,5.900000,1.450202,21875200000
2000-04-12,6.037000,6.037000,6.037000,6.037000,1.483876,45626880000
2000-04-13,5.900000,5.900000,5.900000,5.900000,1.450202,40263680000
2000-04-14,5.900000,5.900000,5.900000,5.900000,1.450202,0
2000-04-17,5.250000,5.250000,5.250000,5.250000,1.290434,66396160000
2000-04-18,5.413000,5.413000,5.413000,5.413000,1.330499,50900480000
2000-04-19,5.088000,5.088000,5.088000,5.088000,1.250615,38799360000
2000-04-20,5.100000,5.100000,5.100000,5.100000,1.253565,17896960000
2000-04-21,5.100000,5.100000,5.100000,5.100000,1.253565,0
2000-04-24,5.000000,5.000000,5.000000,5.000000,1.228985,20638720000
2000-04-25,5.450000,5.450000,5.450000,5.450000,1.339593,38284800000
2000-04-26,5.369000,5.369000,5.369000,5.369000,1.319685,22627840000
2000-04-27,5.375000,5.375000,5.375000,5.375000,1.321159,43991040000
2000-04-28,5.376000,5.376000,5.376000,5.376000,1.321405,25940480000
2000-05-01,5.376000,5.376000,5.376000,5.376000,1.321405,0
2000-05-02,5.506000,5.506000,5.506000,5.506000,1.353358,19975680000
2000-05-03,5.488000,5.488000,5.488000,5.488000,1.348934,20416000000
2000-05-04,5.475000,5.475000,5.475000,5.475000,1.345739,21488640000
2000-05-05,5.488000,5.488000,5.488000,5.488000,1.348934,17635840000
2000-05-08,5.494000,5.494000,5.494000,5.494000,1.350409,17551360000
2000-05-09,5.499000,5.499000,5.499000,5.499000,1.351638,26621440000
2000-05-10,5.400000,5.400000,5.400000,5.400000,1.327303,26841600000
2000-05-11,5.312000,5.312000,5.312000,5.312000,1.305673,36037120000
2000-05-12,5.306000,5.306000,5.306000,5.306000,1.304199,26560000000
2000-05-15,5.400000,5.400000,5.400000,5.400000,1.327303,13186560000
2000-05-16,5.575000,5.575000,5.575000,5.575000,1.370318,27993600000
2000-05-17,5.513000,5.513000,5.513000,5.513000,1.355079,12966400000
2000-05-18,5.538000,5.538000,5.538000,5.538000,1.361224,23644160000
2000-05-19,5.413000,5.413000,5.413000,5.413000,1.330499,23654400000
2000-05-22,5.256000,5.256000,5.256000,5.256000,1.291909,20034560000
2000-05-23,5.325000,5.325000,5.325000,5.325000,1.308869,24501760000
2000-05-24,5.238000,5.238000,5.238000,5.238000,1.287485,38970880000
2000-05-25,5.313000,5.313000,5.313000,5.313000,1.305920,38474240000
2000-05-26,5.251000,5.251000,5.251000,5.251000,1.290680,26065920000
2000-05-29,5.300000,5.300000,5.300000,5.300000,1.302724,11112960000
2000-05-30,5.316000,5.316000,5.316000,5.316000,1.306657,23626240000
2000-05-31,5.238000,5.238000,5.238000,5.238000,1.287485,26045440000
2000-06-01,5.500000,5.500000,5.500000,5.500000,1.351884,27148800000
2000-06-02,5.813000,5.813000,5.813000,5.813000,1.428818,51576320000
2000-06-05,5.790000,5.790000,5.790000,5.790000,1.423164,22650880000
2000-06-06,5.790000,5.790000,5.790000,5.790000,1.423164,0
2000-06-07,6.244000,6.244000,6.244000,6.244000,1.534756,23697920000
2000-06-08,6.276000,6.276000,6.276000,6.276000,1.542622,28997120000
2000-06-09,6.275000,6.275000,6.275000,6.275000,1.542376,10813440000
2000-06-12,6.238000,6.238000,6.238000,6.238000,1.533281,6832640000
2000-06-13,6.232000,6.232000,6.232000,6.232000,1.531807,21562880000
2000-06-14,6.163000,6.163000,6.163000,6.163000,1.514847,27604480000
2000-06-15,6.168000,6.168000,6.168000,6.168000,1.516076,21391360000
2000-06-16,6.288000,6.288000,6.288000,6.288000,1.545572,36892160000
2000-06-19,6.325000,6.325000,6.325000,6.325000,1.554667,68078080000
2000-06-20,6.363000,6.363000,6.363000,6.363000,1.564006,17233920000
2000-06-21,6.438000,6.438000,6.438000,6.438000,1.582441,38213120000
2000-06-22,6.438000,6.438000,6.438000,6.438000,1.582441,0
2000-06-23,6.438750,6.438750,6.438750,6.438750,1.582626,28073600
2000-06-26,6.562500,6.562500,6.562500,6.562500,1.613043,23228800
2000-06-27,6.625000,6.625000,6.625000,6.625000,1.628406,28342400
2000-06-28,6.862500,6.862500,6.862500,6.862500,1.686781,25206400
2000-06-29,6.650000,6.650000,6.650000,6.650000,1.634550,15392000
2000-06-30,6.812500,6.812500,6.812500,6.812500,1.674492,15942400
2000-07-03,7.000000,7.000000,7.000000,7.000000,1.720579,22694400
2000-07-04,7.150000,7.150000,7.150000,7.150000,1.757449,21155200
2000-07-05,6.975000,6.975000,6.975000,6.975000,1.714434,40316800
2000-07-06,6.975000,6.975000,6.975000,6.975000,1.714434,29712000
2000-07-07,6.706250,6.706250,6.706250,6.706250,1.648376,48684800
2000-07-10,6.731250,6.731250,6.731250,6.731250,1.654521,26758400
2000-07-11,6.406250,6.406250,6.406250,6.406250,1.574637,55961600
2000-07-12,6.312500,6.312500,6.312500,6.312500,1.551594,48240000
2000-07-13,6.055000,6.055000,6.055000,6.055000,1.488301,28204800
2000-07-14,6.187500,6.187500,6.187500,6.187500,1.520869,27990400
2000-07-17,6.187500,6.187500,6.187500,6.187500,1.520869,78153600
2000-07-18,6.125000,6.125000,6.125000,6.125000,1.505506,37033600
2000-07-19,6.212500,6.212500,6.212500,6.212500,1.527014,30892800
2000-07-20,6.550000,6.550000,6.550000,6.550000,1.609970,37116800
2000-07-21,6.437500,6.437500,6.437500,6.437500,1.582318,53036800
2000-07-24,6.375000,6.375000,6.375000,6.375000,1.566956,26806400
2000-07-25,6.037500,6.037500,6.037500,6.037500,1.483999,59932800
2000-07-26,6.093750,6.093750,6.093750,6.093750,1.497826,39897600
2000-07-27,5.998750,5.998750,5.998750,5.998750,1.474475,47590400
2000-07-28,5.775000,5.775000,5.775000,5.775000,1.419478,36342400
2000-07-31,5.852500,5.852500,5.852500,5.852500,1.438527,22048000
2000-08-01,5.687500,5.687500,5.687500,5.687500,1.397970,77788800
2000-08-02,5.813750,5.813750,5.813750,5.813750,1.429002,66147200
2000-08-03,5.830000,5.830000,5.830000,5.830000,1.432996,48515200
2000-08-04,5.812500,5.812500,5.812500,5.812500,1.428695,164937600
2000-08-07,5.945000,5.945000,5.945000,5.945000,1.461263,69481600
2000-08-08,5.743750,5.743750,5.743750,5.743750,1.411797,203132800
2000-08-09,5.631250,5.631250,5.631250,5.631250,1.384144,136963200
2000-08-10,6.187500,6.187500,6.187500,6.187500,1.520869,218003200
2000-08-11,6.237500,6.237500,6.237500,6.237500,1.533159,93910400
2000-08-14,6.225000,6.225000,6.225000,6.225000,1.530086,45708800
2000-08-15,6.300000,6.300000,6.300000,6.300000,1.548521,48217600
2000-08-16,6.375000,6.375000,6.375000,6.375000,1.566956,66998400
2000-08-17,6.625000,6.625000,6.625000,6.625000,1.628406,55654400
2000-08-18,6.498750,6.498750,6.498750,6.498750,1.597373,43158400
2000-08-21,6.368750,6.368750,6.368750,6.368750,1.565420,46761600
2000-08-22,6.437500,6.437500,6.437500,6.437500,1.582318,42275200
2000-08-23,6.586250,6.586250,6.586250,6.586250,1.618881,54163200
2000-08-24,6.562500,6.562500,6.562500,6.562500,1.613043,29488000
2000-08-25,6.687500,6.687500,6.687500,6.687500,1.643768,37667200
2000-08-28,6.612500,6.612500,6.612500,6.612500,1.625332,29004800
2000-08-29,6.800000,6.800000,6.800000,6.800000,1.671419,53814400
2000-08-30,7.062500,7.062500,7.062500,7.062500,1.735942,91404800
2000-08-31,6.887500,6.887500,6.887500,6.887500,1.692927,49180800
2000-09-01,6.937500,6.937500,6.937500,6.937500,1.705217,34025600
2000-09-04,6.892500,6.892500,6.892500,6.892500,1.694155,17913600
2000-09-05,6.851250,6.851250,6.851250,6.851250,1.684017,28764800
2000-09-06,7.112500,7.112500,7.112500,7.112500,1.748231,38336000
2000-09-07,7.112500,7.112500,7.112500,7.112500,1.748231,0
2000-09-08,7.062500,7.062500,7.062500,7.062500,1.735942,21145600
2000-09-11,7.200000,7.200000,7.200000,7.200000,1.769739,39068800
2000-09-12,7.076250,7.076250,7.076250,7.076250,1.739322,34668800
2000-09-13,7.000000,7.000000,7.000000,7.000000,1.720579,45532800
2000-09-14,6.737500,6.737500,6.737500,6.737500,1.656057,39596800
2000-09-15,6.822500,6.822500,6.822500,6.822500,1.676950,27494400
2000-09-18,6.623750,6.623750,6.623750,6.623750,1.628098,31660800
2000-09-19,6.581250,6.581250,6.581250,6.581250,1.617651,43027200
2000-09-20,6.687500,6.687500,6.687500,6.687500,1.643768,39939200
2000-09-21,6.512500,6.512500,6.512500,6.512500,1.600753,28496000
2000-09-22,6.437500,6.437500,6.437500,6.437500,1.582318,39763200
2000-09-25,6.500000,6.500000,6.500000,6.500000,1.597680,34928000
2000-09-26,6.662500,6.662500,6.662500,6.662500,1.637622,34464000
2000-09-27,6.650000,6.650000,6.650000,6.650000,1.634550,62380800
2000-09-28,6.612500,6.612500,6.612500,6.612500,1.625332,22048000
2000-09-29,6.550000,6.550000,6.550000,6.550000,1.609970,28652800
2000-10-02,6.525000,6.525000,6.525000,6.525000,1.603825,24534400
2000-10-03,6.551250,6.551250,6.551250,6.551250,1.610277,25948800
2000-10-04,6.625000,6.625000,6.625000,6.625000,1.628406,21932800
2000-10-05,6.625000,6.625000,6.625000,6.625000,1.628406,0
2000-10-06,6.475000,6.475000,6.475000,6.475000,1.591536,37315200
2000-10-09,6.487500,6.487500,6.487500,6.487500,1.594608,26342400
2000-10-10,6.606250,6.606250,6.606250,6.606250,1.623796,40163200
2000-10-11,6.625000,6.625000,6.625000,6.625000,1.628406,30969600
2000-10-12,6.625000,6.625000,6.625000,6.625000,1.628406,0
2000-10-13,6.705000,6.705000,6.705000,6.705000,1.648069,33702400
2000-10-16,6.462500,6.462500,6.462500,6.462500,1.588463,61683200
2000-10-17,6.187500,6.187500,6.187500,6.187500,1.520869,30995200
2000-10-18,6.250000,6.250000,6.250000,6.250000,1.536231,97750400
2000-10-19,6.351250,6.351250,6.351250,6.351250,1.561118,55462400
2000-10-20,6.250000,6.250000,6.250000,6.250000,1.536231,26928000
2000-10-23,5.993750,5.993750,5.993750,5.993750,1.473246,39004800
2000-10-24,5.993750,5.993750,5.993750,5.993750,1.473246,0
2000-10-25,5.725000,5.725000,5.725000,5.725000,1.407188,54582400
2000-10-26,6.112500,6.112500,6.112500,6.112500,1.502434,48233600
2000-10-27,6.171250,6.171250,6.171250,6.171250,1.516875,45820800
2000-10-30,6.338750,6.338750,6.338750,6.338750,1.558045,25900800
2000-10-31,6.330000,6.330000,6.330000,6.330000,1.555895,44307200
2000-11-01,6.397500,6.397500,6.397500,6.397500,1.572486,31068800
2000-11-02,6.397500,6.397500,6.397500,6.397500,1.572486,0
2000-11-03,6.262500,6.262500,6.262500,6.262500,1.539303,31468800
2000-11-06,6.398750,6.398750,6.398750,6.398750,1.572793,26361600
2000-11-07,6.525000,6.525000,6.525000,6.525000,1.603825,33436800
2000-11-08,6.437500,6.437500,6.437500,6.437500,1.582318,34857600
2000-11-09,6.250000,6.250000,6.250000,6.250000,1.536231,52691200
2000-11-10,6.268750,6.268750,6.268750,6.268750,1.540840,33510400
2000-11-13,6.350000,6.350000,6.350000,6.350000,1.560811,29878400
2000-11-14,6.350000,6.350000,6.350000,6.350000,1.560811,0
2000-11-15,6.350000,6.350000,6.350000,6.350000,1.560811,0
2000-11-16,6.413750,6.500000,6.362500,6.500000,1.597680,23590400
2000-11-17,6.562500,6.575000,6.437500,6.500000,1.597680,24732800
2000-11-20,6.375000,6.487500,6.366250,6.451250,1.585698,18204800
2000-11-21,6.462500,6.575000,6.450000,6.531250,1.605362,29494400
2000-11-22,6.556250,6.612500,6.512500,6.512500,1.600753,46486400
