Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,11.000000,11.000000,10.100000,10.210000,9.541095,150500
2020-03-18,9.990000,9.990000,8.300000,9.010000,8.419713,111300
2020-03-19,8.500000,10.000000,7.200000,10.000000,9.344851,194400
2020-03-20,10.500000,10.500000,9.400000,10.500000,9.812096,142700
2020-03-23,9.020000,10.000000,9.020000,9.150000,8.550540,50500
2020-03-24,9.900000,9.900000,8.640000,8.700000,8.130022,145800
2020-03-25,8.760000,9.250000,8.370000,8.400000,7.849677,255600
2020-03-26,8.440000,9.340000,8.120000,9.340000,8.728091,389400
2020-03-27,8.720000,9.590000,8.310000,9.580000,8.952368,227500
2020-03-30,9.610000,9.610000,8.700000,8.700000,8.130022,149900
2020-03-31,8.880000,8.950000,8.050000,8.050000,7.522606,137200
2020-04-01,8.010000,8.350000,7.600000,7.800000,7.288985,94400
2020-04-02,8.030000,8.350000,7.550000,7.550000,7.055364,92100
2020-04-03,7.660000,7.890000,7.110000,7.890000,7.373089,130100
2020-04-06,7.930000,8.500000,7.780000,8.400000,7.849677,144100
2020-04-07,8.490000,8.900000,8.140000,8.400000,7.849677,181300
2020-04-08,8.080000,8.780000,8.060000,8.360000,7.812296,136000
2020-04-09,8.500000,8.850000,8.150000,8.850000,8.270195,144500
2020-04-13,8.850000,8.850000,8.500000,8.500000,7.943124,69100
2020-04-14,8.800000,8.900000,8.140000,8.140000,7.606710,128000
2020-04-15,8.080000,8.290000,7.950000,8.000000,7.475882,135300
2020-04-16,8.100000,8.230000,7.950000,7.950000,7.429157,116700
2020-04-17,8.110000,8.290000,7.860000,7.870000,7.354399,204200
2020-04-20,7.790000,8.150000,7.630000,8.050000,7.522606,184900
2020-04-22,8.050000,8.460000,8.050000,8.400000,7.849677,181100
2020-04-23,8.520000,8.870000,8.350000,8.790000,8.214126,112000
2020-04-24,8.470000,8.640000,8.100000,8.100000,7.569331,97200
2020-04-27,8.210000,8.380000,7.960000,7.970000,7.447847,137200
2020-04-28,8.100000,8.290000,8.010000,8.040000,7.513262,137300
2020-04-29,8.240000,8.250000,8.050000,8.140000,7.606710,104700
2020-04-30,8.080000,8.300000,8.010000,8.100000,7.569331,149100
2020-05-04,7.990000,7.990000,7.790000,7.990000,7.466537,64200
2020-05-05,8.100000,8.150000,7.900000,7.960000,7.438502,60500
2020-05-06,7.950000,7.950000,7.630000,7.630000,7.130123,126200
2020-05-07,8.060000,8.060000,7.290000,7.500000,7.008640,106700
2020-05-08,7.500000,7.940000,7.500000,7.940000,7.419813,444200
2020-05-11,7.700000,7.820000,7.350000,7.350000,6.868466,142700
2020-05-12,7.400000,7.450000,7.150000,7.150000,6.681570,81200
2020-05-13,7.220000,7.280000,6.640000,6.800000,6.354500,220700
2020-05-14,6.800000,6.800000,6.390000,6.630000,6.195638,171400
2020-05-15,6.630000,7.140000,6.370000,6.580000,6.148913,214500
2020-05-18,6.830000,6.940000,6.710000,6.790000,6.345154,154400
2020-05-19,6.800000,7.250000,6.720000,6.800000,6.354500,240800
2020-05-20,6.990000,7.090000,6.750000,6.750000,6.307775,175400
2020-05-21,6.720000,6.870000,6.650000,6.740000,6.298430,236800
2020-05-22,6.750000,6.920000,6.660000,6.920000,6.466639,158600
2020-05-25,7.100000,7.690000,7.100000,7.660000,7.158157,450000
2020-05-26,7.800000,8.200000,7.710000,7.940000,7.419813,321400
2020-05-27,7.960000,8.100000,7.920000,8.100000,7.569331,196100
2020-05-28,8.340000,8.490000,8.180000,8.340000,7.793607,309900
2020-05-29,8.410000,9.100000,8.360000,9.100000,8.503818,231100
2020-06-01,9.120000,9.150000,8.920000,9.070000,8.475780,312300
2020-06-02,9.200000,9.700000,9.200000,9.700000,9.064507,333100
2020-06-03,9.900000,10.300000,9.500000,9.700000,9.064507,433700
2020-06-04,9.700000,10.000000,9.450000,9.860000,9.214025,177600
2020-06-05,10.090000,10.330000,9.710000,10.320000,9.643887,573600
2020-06-08,10.430000,10.800000,10.120000,10.510000,9.821441,490200
2020-06-09,10.400000,10.800000,10.200000,10.650000,9.952268,326400
2020-06-10,10.740000,10.920000,10.310000,10.920000,10.204579,497800
2020-06-12,10.200000,10.920000,9.900000,10.920000,10.204579,468600
2020-06-15,10.410000,10.500000,9.710000,10.000000,9.344851,753700
2020-06-16,10.330000,10.490000,9.800000,10.060000,9.400922,493300
2020-06-17,9.970000,10.270000,9.920000,10.040000,9.382231,475600
2020-06-18,10.040000,10.180000,9.880000,9.880000,9.232715,269800
2020-06-19,9.990000,10.150000,9.900000,9.910000,9.260750,328300
2020-06-22,10.000000,10.120000,9.850000,9.850000,9.204679,239800
2020-06-23,10.010000,10.120000,9.910000,9.950000,9.298128,345000
2020-06-24,9.960000,10.000000,9.420000,9.480000,8.858920,321000
2020-06-25,9.540000,9.740000,9.400000,9.600000,8.971059,153900
2020-06-26,9.690000,9.790000,9.400000,9.400000,8.784162,145800
2020-06-29,9.510000,9.870000,9.400000,9.830000,9.185990,114500
2020-06-30,9.850000,10.130000,9.700000,9.700000,9.064507,321700
2020-07-01,9.810000,10.050000,9.750000,9.970000,9.316817,144800
2020-07-02,10.050000,10.160000,9.870000,10.050000,9.391576,300300
2020-07-03,10.050000,10.090000,9.810000,10.090000,9.428955,190500
2020-07-06,10.130000,10.850000,10.130000,10.850000,10.139166,719700
2020-07-07,10.860000,10.860000,10.620000,10.660000,9.961614,268200
2020-07-08,10.720000,11.470000,10.720000,11.270000,10.531650,722700
2020-07-09,11.390000,11.390000,10.820000,11.030000,10.307371,442700
2020-07-10,11.100000,11.390000,11.030000,11.220000,10.484925,324300
2020-07-13,11.400000,11.740000,11.000000,11.150000,10.419510,429400
2020-07-14,11.180000,11.690000,11.000000,11.690000,10.924132,401100
2020-07-15,11.800000,12.050000,11.560000,11.600000,10.840029,311100
2020-07-16,11.580000,11.940000,11.340000,11.460000,10.709201,342800
2020-07-17,11.540000,11.650000,11.210000,11.540000,10.783959,428400
2020-07-20,11.580000,11.580000,11.080000,11.200000,10.466235,362000
2020-07-21,11.350000,11.700000,11.110000,11.700000,10.933477,444900
2020-07-22,11.690000,11.890000,11.450000,11.890000,11.111030,435900
2020-07-23,11.800000,11.800000,11.370000,11.400000,10.653131,395200
2020-07-24,11.400000,11.400000,10.520000,10.910000,10.195234,733200
2020-07-27,10.980000,11.140000,10.730000,10.830000,10.120475,212100
2020-07-28,10.850000,10.850000,10.250000,10.550000,9.858819,289600
2020-07-29,10.600000,10.860000,10.550000,10.680000,9.980303,230800
2020-07-30,10.650000,10.710000,10.450000,10.560000,9.868164,139600
2020-07-31,10.570000,10.990000,10.110000,10.990000,10.269993,390300
2020-08-03,10.890000,10.980000,10.590000,10.610000,9.914888,234800
2020-08-04,10.610000,10.610000,10.270000,10.270000,9.597164,227800
2020-08-05,10.380000,11.000000,10.230000,11.000000,10.279338,343200
2020-08-06,10.870000,10.900000,10.640000,10.670000,9.970958,401500
2020-08-07,10.670000,10.670000,10.250000,10.300000,9.625198,414800
2020-08-10,10.320000,10.370000,9.920000,9.960000,9.307473,514600
2020-08-11,10.030000,10.220000,9.990000,10.060000,9.400922,237300
2020-08-12,10.130000,10.150000,9.870000,9.870000,9.223370,412600
2020-08-13,9.900000,9.990000,9.810000,9.810000,9.167300,279300
2020-08-14,9.890000,10.160000,9.820000,9.960000,9.307473,239400
2020-08-17,9.800000,9.920000,9.200000,9.290000,8.681367,439500
