Date,Open,High,Low,Close,Adj Close,Volume
2004-12-22,3.166666,3.166666,3.126666,3.141666,1.530015,580800
2004-12-23,3.125000,3.208333,3.125000,3.208333,1.562482,772800
2004-12-24,3.208333,3.208333,3.208333,3.208333,1.562482,0
2004-12-27,3.210000,3.250000,3.200000,3.221666,1.568976,4896000
2004-12-28,3.233333,3.311666,3.233333,3.291666,1.603067,778800
2004-12-29,3.291666,3.398333,3.291666,3.383333,1.647709,1614000
2004-12-30,3.373333,3.416666,3.373333,3.416666,1.663942,1800000
2004-12-31,3.416666,3.416666,3.416666,3.416666,1.663942,0
2005-01-03,3.350000,3.515000,3.350000,3.515000,1.711832,3246000
2005-01-04,3.500000,3.731666,3.483333,3.641666,1.773520,5072400
2005-01-05,3.585000,3.761666,3.583333,3.761666,1.831960,931200
2005-01-06,3.783333,3.816666,3.715000,3.750000,1.826279,6382800
2005-01-07,3.716666,3.816666,3.683333,3.683333,1.793811,2850000
2005-01-10,3.748333,3.748333,3.600000,3.680000,1.792188,1572000
2005-01-11,3.666666,3.683333,3.633333,3.666666,1.785695,2030400
2005-01-12,3.633333,3.663333,3.566666,3.663333,1.784071,804000
2005-01-13,3.583333,3.683333,3.566666,3.666666,1.785695,7148400
2005-01-14,3.583333,3.701666,3.583333,3.701666,1.802740,228000
2005-01-17,3.666666,3.666666,3.591666,3.633333,1.769461,394800
2005-01-18,3.631666,3.633333,3.500000,3.500000,1.704527,2601600
2005-01-19,3.500000,3.583333,3.466666,3.516666,1.712644,656400
2005-01-20,3.525000,3.525000,3.433333,3.433333,1.672060,990000
2005-01-21,3.433333,3.483333,3.433333,3.483333,1.696410,498000
2005-01-24,3.483333,3.500000,3.425000,3.495000,1.702092,58800
2005-01-26,3.498333,3.583333,3.491666,3.566666,1.736994,670800
2005-01-27,3.500000,3.566666,3.500000,3.566666,1.736994,1042800
2005-01-28,3.466666,3.500000,3.450000,3.466666,1.688292,1639200
2005-01-31,3.483333,3.516666,3.483333,3.508333,1.708585,240000
2005-02-01,3.458333,3.533333,3.433333,3.515000,1.711832,511200
2005-02-02,3.516666,3.633333,3.470000,3.550000,1.728877,393600
2005-02-03,3.550000,3.733333,3.550000,3.683333,1.793811,1645200
2005-02-04,3.668333,3.883333,3.665000,3.835000,1.867675,5232000
2005-02-09,3.750000,3.916666,3.750000,3.916666,1.907447,655200
