Date,Open,High,Low,Close,Adj Close,Volume
2005-06-23,1.138742,1.147340,1.127278,1.141608,0.853376,7150478
2005-06-24,1.127278,1.146384,1.118680,1.136831,0.849805,6453330
2005-06-27,1.136831,1.146384,1.136831,1.146384,0.856946,13848753
2005-06-28,1.151161,1.165491,1.146384,1.159759,0.866944,34744354
2005-06-29,1.175044,1.175044,1.154027,1.155937,0.864087,15959039
2005-06-30,1.127278,1.203704,1.127278,1.203704,0.899794,6858430
2005-07-01,1.184597,1.237140,1.165491,1.227587,0.917647,20923864
2005-07-04,1.222810,1.232363,1.221855,1.232363,0.921217,2072602
2005-07-05,1.232363,1.232363,1.192240,1.232363,0.921217,7442527
2005-07-06,1.203704,1.227587,1.203704,1.222810,0.914076,1092826
2005-07-07,1.213257,1.226631,1.211346,1.211346,0.905507,12294301
2005-07-08,1.227587,1.227587,1.214212,1.221855,0.913363,37325687
2005-07-11,1.234274,1.270576,1.234274,1.265799,0.946211,46567610
2005-07-12,1.270576,1.336493,1.266755,1.323119,0.989059,60237365
2005-07-13,1.326940,1.337448,1.299236,1.308789,0.978347,28422917
2005-07-14,1.327895,1.327895,1.304012,1.315476,0.983346,6104756
2005-07-15,1.313565,1.313565,1.296370,1.308789,0.978347,10042701
2005-07-18,1.309744,1.366108,1.307833,1.346046,1.006198,28262761
2005-07-19,1.348912,1.394768,1.338404,1.389991,1.039047,26548154
2005-07-20,1.404321,1.404321,1.375661,1.384259,1.034763,17777277
2005-07-21,1.408142,1.408142,1.349868,1.385214,1.035476,33981260
2005-07-22,1.375661,1.375661,1.351778,1.356555,1.014053,1187035
2005-07-25,1.318342,1.347002,1.304012,1.327895,0.992630,15572781
2005-07-26,1.299236,1.327895,1.299236,1.318342,0.985489,15921355
2005-07-27,1.327895,1.327895,1.308789,1.313565,0.981918,10476063
2005-07-28,1.329806,1.329806,1.309744,1.318342,0.985489,5756182
2005-07-29,1.308789,1.318342,1.304012,1.318342,0.985489,20810813
2005-08-01,1.304012,1.318342,1.299236,1.318342,0.985489,11493523
2005-08-02,1.335538,1.385214,1.335538,1.385214,1.035476,17475807
2005-08-03,1.409097,1.432980,1.385214,1.387125,1.036905,16213404
2005-08-04,1.399544,1.399544,1.375661,1.385214,1.035476,22468895
2005-08-05,1.404321,1.413874,1.394768,1.413874,1.056901,14018329
2005-08-08,1.432025,1.442534,1.423427,1.432980,1.071182,12247196
2005-08-09,1.480747,1.480747,1.404321,1.418651,1.060471,19463621
2005-08-10,1.423427,1.432980,1.394768,1.394768,1.042619,21724642
2005-08-11,1.375661,1.405276,1.375661,1.400500,1.046903,8441144
2005-08-12,1.351778,1.404321,1.347002,1.385214,1.035476,19246940
2005-08-15,1.400500,1.424383,1.389991,1.394768,1.042619,2995852
2005-08-16,1.409097,1.433936,1.394768,1.404321,1.049759,17541754
2005-08-17,1.418651,1.466417,1.413874,1.466417,1.096177,15553939
2005-08-18,1.432980,1.509406,1.432980,1.475970,1.103319,6519277
2005-08-19,1.480747,1.493166,1.421517,1.479791,1.106175,30231734
2005-08-22,1.504630,1.504630,1.480747,1.498898,1.120457,3287901
2005-08-23,1.490300,1.490300,1.472149,1.490300,1.114030,2515385
2005-08-24,1.490300,1.490300,1.481702,1.485523,1.110460,50938917
2005-08-25,1.525647,1.525647,1.498898,1.523736,1.139025,13867595
2005-08-26,1.524691,1.524691,1.504630,1.523736,1.139025,18813578
2005-08-29,1.518959,1.542842,1.518959,1.533289,1.146165,7263529
2005-08-30,1.551440,1.551440,1.514183,1.528513,1.142595,9157134
2005-08-31,1.576279,1.576279,1.547619,1.547619,1.156878,60812042
2005-09-01,1.566725,1.566725,1.557172,1.566725,1.171160,6820746
2005-09-02,1.576279,1.585832,1.547619,1.576279,1.178302,4785827
2005-09-05,1.576279,1.595385,1.576279,1.590608,1.189013,178997
2005-09-06,1.595385,1.595385,1.576279,1.576279,1.178302,5661973
2005-09-08,1.585832,1.585832,1.547619,1.547619,1.156878,4474937
2005-09-09,1.560993,1.566725,1.547619,1.557172,1.164019,41065792
2005-09-12,1.519915,1.557172,1.519915,1.547619,1.156878,10476063
2005-09-13,1.547619,1.547619,1.528513,1.542842,1.153306,2939327
2005-09-14,1.538066,1.547619,1.537110,1.545708,1.155449,7527315
2005-09-15,1.556217,1.566725,1.552396,1.557172,1.164019,26378577
2005-09-16,1.529468,1.552396,1.529468,1.540932,1.151879,2100865
2005-09-19,1.518959,1.552396,1.518959,1.552396,1.160448,13010291
2005-09-20,1.547619,1.566725,1.547619,1.566725,1.171160,54396395
2005-09-21,1.566725,1.590608,1.566725,1.585832,1.185443,18634580
2005-09-22,1.595385,1.624045,1.571502,1.624045,1.214008,36035021
2005-09-23,1.643151,1.643151,1.624045,1.633598,1.221148,4126363
2005-09-26,1.647928,1.647928,1.604938,1.617357,1.209008,668885
2005-09-27,1.624045,1.652704,1.624045,1.652704,1.235431,14282115
2005-09-28,1.671811,1.690917,1.652704,1.690917,1.263996,65805129
2005-09-29,1.710023,1.795047,1.690917,1.767343,1.321126,31183246
2005-09-30,1.772119,1.772119,1.757790,1.767343,1.321126,21460856
