Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,7.555416,7.666666,7.407500,7.444583,4.516518,1486
2000-02-04,7.518333,7.548333,7.500000,7.518333,4.561261,1597
2000-02-07,7.518333,7.518333,7.407083,7.444583,4.516518,1939
2000-02-08,7.470416,7.629583,7.407500,7.470416,4.532191,2870
2000-02-09,7.406666,7.406666,7.222083,7.222083,4.381531,791
2000-02-10,7.185416,7.185416,7.000000,7.074166,4.291792,2269
2000-02-11,7.111250,7.111250,6.981666,7.000000,4.246797,1559
2000-02-14,6.981666,7.000000,6.851666,6.851666,4.156805,2271
2000-02-15,6.888750,6.888750,6.592500,6.740833,4.089564,2369
2000-02-16,6.740833,6.925833,6.629583,6.815000,4.134560,1453
2000-02-17,6.844583,6.870416,6.483333,6.596250,4.001848,1996
2000-02-18,6.666666,6.703750,6.515000,6.515000,3.952554,4039
2000-02-21,6.555416,6.555416,6.485000,6.518333,3.954576,3444
2000-02-22,6.611250,6.611250,6.444583,6.518333,3.954576,1716
2000-02-23,6.518333,6.518333,6.444583,6.445000,3.910086,1733
2000-02-24,6.611250,6.611250,6.481666,6.507500,3.948005,1587
2000-02-25,6.622083,6.648333,6.555416,6.629583,4.022070,1057
2000-02-28,6.518333,6.555416,6.407500,6.555416,3.977074,587
2000-02-29,6.555416,6.555416,6.481666,6.500000,3.943454,965
2000-03-01,6.481666,6.481666,6.425833,6.444583,3.909833,604
2000-03-02,6.444583,6.481666,6.259166,6.296250,3.819842,2524
2000-03-03,6.481666,6.537083,6.425833,6.537083,3.965952,2175
2000-03-06,6.537083,6.537083,6.537083,6.537083,3.965952,0
2000-03-07,6.537083,6.537083,6.537083,6.537083,3.965952,0
2000-03-08,6.518333,6.666666,6.518333,6.666666,4.044568,1305
2000-03-09,6.666666,6.740833,6.481666,6.592083,3.999319,1009
2000-03-10,6.592500,6.592500,6.518333,6.518333,3.954576,948
2000-03-13,6.518333,6.518333,6.518333,6.518333,3.954576,0
2000-03-14,6.296250,6.296250,6.229583,6.229583,3.779396,316
2000-03-15,6.185000,6.185000,6.037083,6.037083,3.662608,506
2000-03-16,6.166666,6.166666,5.929583,5.962500,3.617360,4152
2000-03-17,6.019166,6.019166,5.888750,5.925833,3.595115,931
2000-03-20,5.925833,5.925833,5.777916,5.851666,3.550119,1524
2000-03-21,5.851666,5.851666,5.611250,5.740833,3.482878,4218
2000-03-22,5.740833,5.962916,5.703750,5.815000,3.527875,4195
2000-03-23,5.851666,6.111250,5.759166,6.074166,3.685106,9594
2000-03-24,6.148333,6.259166,6.111250,6.148333,3.730103,8436
2000-03-27,6.259166,6.296250,6.129583,6.185000,3.752349,2567
2000-03-28,6.148333,6.166666,6.077916,6.092500,3.696230,5105
2000-03-29,6.295416,6.295416,5.740833,5.998750,3.639353,14160
2000-03-30,6.037083,6.259166,6.037083,6.221666,3.774593,10936
2000-03-31,6.258750,6.574166,6.258750,6.537083,3.965952,8774
2000-04-03,6.481666,6.572916,6.296250,6.315000,3.831217,3696
2000-04-04,6.407500,6.518333,6.037083,6.258750,3.797091,6049
2000-04-05,6.111250,6.481666,6.111250,6.332500,3.841835,5381
2000-04-06,6.370416,6.444166,6.296666,6.370416,3.864837,1964
2000-04-07,6.366666,6.510833,6.366666,6.510833,3.950027,1816
2000-04-10,6.537083,6.537083,6.185833,6.295833,3.819588,1393
2000-04-11,6.111250,6.407500,6.111250,6.242916,3.787485,2620
2000-04-12,6.266666,6.555833,6.266666,6.370416,3.864837,5604
2000-04-13,6.381666,6.381666,6.000000,6.000000,3.640112,1906
2000-04-14,5.996250,6.074166,5.796250,5.888750,3.572618,5297
2000-04-17,5.740833,5.851666,5.444166,5.700000,3.458106,2428
2000-04-18,5.759166,5.962916,5.759166,5.888750,3.572618,2962
2000-04-19,5.874166,5.874166,5.555833,5.685000,3.449006,2849
2000-04-20,5.777916,5.925416,5.648333,5.851666,3.550119,2455
2000-04-21,5.851666,5.851666,5.851666,5.851666,3.550119,0
2000-04-24,5.851666,5.852083,5.592500,5.666250,3.437630,973
2000-04-25,5.741250,5.907500,5.740833,5.872083,3.562506,2928
2000-04-26,5.925833,6.221666,5.925833,6.151250,3.731872,6395
2000-04-27,6.111250,6.295416,5.925833,6.277916,3.808718,3797
2000-04-28,6.296250,6.407500,6.074166,6.315000,3.831217,9073
2000-05-01,6.315000,6.315000,6.315000,6.315000,3.831217,0
2000-05-02,6.296250,6.296250,6.111250,6.147916,3.729849,3459
2000-05-03,6.111250,6.111250,5.815000,5.815000,3.527875,3801
2000-05-04,5.815000,5.837083,5.740833,5.740833,3.482878,2549
2000-05-05,5.629583,5.851666,5.629583,5.777916,3.505376,2039
2000-05-08,5.740833,5.740833,5.518333,5.555416,3.370389,2849
2000-05-09,5.607500,5.610833,5.370416,5.374166,3.260427,1921
2000-05-10,5.403750,5.407500,5.150416,5.222083,3.168161,3045
2000-05-11,5.333333,5.518333,5.259166,5.259166,3.190658,4235
2000-05-12,5.281666,5.296666,5.111250,5.185000,3.145663,2152
2000-05-15,5.203750,5.481666,5.194583,5.481666,3.325646,424
2000-05-16,5.518333,5.796250,5.296250,5.500000,3.336770,4884
2000-05-17,5.481666,5.522083,5.407500,5.407500,3.280650,3031
2000-05-18,5.518333,5.518333,5.185833,5.294583,3.212146,2265
2000-05-19,5.259166,5.259166,5.004166,5.240833,3.179536,1301
2000-05-22,5.111250,5.111250,4.929583,4.962916,3.010928,2302
2000-05-23,4.992500,5.055416,4.820416,4.820416,2.924475,1918
2000-05-24,4.918333,4.962916,4.815000,4.885000,2.963657,2997
