Date,Open,High,Low,Close,Adj Close,Volume
2000-02-03,0.033006,0.033006,0.031571,0.031571,0.019528,1184611
2000-02-04,0.031571,0.031571,0.031571,0.031571,0.019528,487781
2000-02-07,0.031571,0.031571,0.031571,0.031571,0.019528,0
2000-02-08,0.034441,0.034441,0.033006,0.034441,0.021303,2543430
2000-02-09,0.037311,0.037311,0.031858,0.032719,0.020238,4947495
2000-02-10,0.032432,0.033006,0.030136,0.030136,0.018640,7525768
2000-02-11,0.031571,0.032432,0.031571,0.032432,0.020060,1080087
2000-02-14,0.032432,0.032432,0.032432,0.032432,0.020060,0
2000-02-15,0.033006,0.033006,0.033006,0.033006,0.020415,348415
2000-02-16,0.033006,0.033006,0.033006,0.033006,0.020415,0
2000-02-17,0.033006,0.033006,0.033006,0.033006,0.020415,0
2000-02-18,0.033006,0.033006,0.033006,0.033006,0.020415,0
2000-02-21,0.033006,0.033006,0.033006,0.033006,0.020415,0
2000-02-22,0.034441,0.034441,0.034441,0.034441,0.021303,383256
2000-02-23,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-02-24,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-02-25,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-02-28,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-02-29,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-01,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-02,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-03,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-06,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-07,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-08,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-09,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-10,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-13,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-14,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-15,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-16,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-17,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-20,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-21,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-22,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-03-23,0.031571,0.033867,0.031571,0.033867,0.020948,104524
2000-03-24,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-03-27,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-03-28,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-03-29,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-03-30,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-03-31,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-04-03,0.033867,0.033867,0.033867,0.033867,0.020948,0
2000-04-04,0.032432,0.032432,0.032432,0.032432,0.020060,348415
2000-04-05,0.028701,0.028701,0.028701,0.028701,0.017752,696830
2000-04-06,0.026979,0.027553,0.026979,0.027553,0.017042,8361964
2000-04-07,0.028701,0.028701,0.028701,0.028701,0.017752,69683
2000-04-10,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-11,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-12,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-13,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-14,0.027266,0.027266,0.021526,0.023248,0.014380,5888216
2000-04-17,0.025257,0.026405,0.025257,0.026405,0.016332,174207
2000-04-18,0.028701,0.028701,0.028701,0.028701,0.017752,34841
2000-04-19,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-20,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-21,0.028701,0.028701,0.028701,0.028701,0.017752,0
2000-04-24,0.031571,0.031571,0.026405,0.026979,0.016687,104524
2000-04-25,0.026979,0.026979,0.026979,0.026979,0.016687,0
2000-04-26,0.028701,0.031571,0.028701,0.031571,0.019528,4424873
2000-04-27,0.031571,0.031571,0.031571,0.031571,0.019528,0
2000-04-28,0.033006,0.034441,0.033006,0.034441,0.021303,557464
2000-05-01,0.034441,0.034441,0.034441,0.034441,0.021303,0
2000-05-02,0.032432,0.032432,0.032432,0.032432,0.020060,348415
2000-05-03,0.032432,0.032432,0.032432,0.032432,0.020060,0
2000-05-04,0.032432,0.032432,0.032432,0.032432,0.020060,0
2000-05-05,0.032432,0.032432,0.032432,0.032432,0.020060,0
2000-05-08,0.032432,0.032432,0.032432,0.032432,0.020060,0
2000-05-09,0.032432,0.032432,0.032432,0.032432,0.020060,0
2000-05-10,0.030136,0.030136,0.030136,0.030136,0.018640,348415
2000-05-11,0.030136,0.030136,0.030136,0.030136,0.018640,69683
2000-05-12,0.030136,0.030136,0.030136,0.030136,0.018640,0
2000-05-15,0.030136,0.030136,0.030136,0.030136,0.018640,696830
2000-05-16,0.028701,0.028701,0.028701,0.028701,0.017752,1045245
2000-05-17,0.028988,0.030136,0.028701,0.028701,0.017752,2264698
2000-05-18,0.028701,0.029275,0.028701,0.029275,0.018107,4738446
2000-05-19,0.029275,0.029275,0.029275,0.029275,0.018107,0
2000-05-22,0.030136,0.030136,0.030136,0.030136,0.018640,69683
2000-05-23,0.031571,0.031571,0.031571,0.031571,0.019528,34841
2000-05-24,0.033006,0.033006,0.033006,0.033006,0.020415,34841
2000-05-25,0.034154,0.034154,0.034154,0.034154,0.021125,34841
2000-05-26,0.034154,0.034154,0.034154,0.034154,0.021125,0
2000-05-29,0.034154,0.034154,0.034154,0.034154,0.021125,0
2000-05-30,0.034154,0.034154,0.034154,0.034154,0.021125,0
2000-05-31,0.034154,0.034154,0.034154,0.034154,0.021125,0
2000-06-01,0.034154,0.034154,0.034154,0.034154,0.021125,0
2000-06-02,0.033006,0.034441,0.033006,0.033867,0.020948,592305
