Date,Open,High,Low,Close,Adj Close,Volume
2007-07-16,3.016528,3.109504,2.938016,3.109504,1.744101,720192
2007-07-17,3.109504,3.150826,3.078512,3.150826,1.767278,6019024
2007-07-18,3.150826,3.212809,3.119834,3.212809,1.802043,597740
2007-07-19,3.212809,3.295454,3.181818,3.264462,1.831016,2841080
2007-07-20,3.305785,3.376033,3.264462,3.365702,1.887800,1353264
2007-07-23,3.347107,3.386363,3.243801,3.332644,1.869258,1263240
2007-07-24,3.336776,3.419421,3.264462,3.347107,1.877371,1434092
2007-07-25,3.367768,3.419421,3.305785,3.359504,1.884324,756008
2007-07-26,3.338842,3.347107,3.142561,3.202479,1.796250,1439416
2007-07-27,3.150826,3.407024,3.140495,3.347107,1.877371,753588
2007-07-30,3.417355,3.417355,3.264462,3.345041,1.876212,1210000
2007-07-31,3.326446,3.330578,3.243801,3.326446,1.865782,888140
2007-08-01,3.254132,3.429752,3.223140,3.361570,1.885483,2714272
2007-08-02,3.347107,3.438016,3.264462,3.409090,1.912137,605000
2007-08-03,3.409090,3.409090,3.285123,3.345041,1.876212,980584
2007-08-06,3.345041,3.440082,3.247933,3.440082,1.929520,662112
2007-08-07,3.429752,3.440082,3.347107,3.427685,1.922566,700832
2007-08-08,3.429752,3.440082,3.347107,3.407024,1.910978,385748
2007-08-09,3.407024,3.429752,3.225206,3.429752,1.923726,382360
2007-08-10,3.376033,3.502066,3.247933,3.502066,1.964286,798116
2007-08-13,3.500000,3.522727,3.407024,3.522727,1.975875,136488
2007-08-14,3.510330,3.510330,3.340909,3.340909,1.873894,72116
2007-08-15,3.305785,3.363636,3.202479,3.285123,1.842605,1383272
2007-08-16,3.119834,3.179752,3.037190,3.037190,1.703541,776820
2007-08-17,3.402892,3.402892,2.997933,3.097107,1.737147,1633016
2007-08-20,3.301652,3.301652,2.985537,3.024793,1.696587,1721588
2007-08-21,3.095041,3.095041,2.954545,2.993801,1.679204,1728848
2007-08-22,3.099173,3.099173,3.057851,3.057851,1.715129,1821292
2007-08-23,3.196280,3.196280,2.954545,3.057851,1.715129,2211396
2007-08-24,2.995867,3.037190,2.954545,2.987603,1.675727,771012
2007-08-27,3.076446,3.138429,3.020661,3.028925,1.698905,232320
2007-08-28,3.097107,3.099173,2.933884,3.010330,1.688475,1067220
2007-08-29,3.078512,3.078512,3.016528,3.047520,1.709334,907016
2007-08-30,3.047520,3.047520,2.975206,3.037190,1.703541,1213872
2007-08-31,2.995867,3.059917,2.995867,2.995867,1.680363,1168376
2007-09-03,3.047520,3.047520,3.016528,3.037190,1.703541,529496
2007-09-04,3.047520,3.047520,3.006198,3.006198,1.686157,530464
2007-09-05,3.016528,3.037190,2.975206,3.014462,1.690792,217316
2007-09-06,3.057851,3.086776,2.993801,3.057851,1.715129,776336
2007-09-10,2.975206,3.047520,2.975206,2.985537,1.674568,196020
2007-09-11,3.066115,3.150826,3.014462,3.057851,1.715129,478192
2007-09-12,3.066115,3.150826,3.014462,3.057851,1.715129,478192
2007-09-13,3.072314,3.192148,2.964876,3.192148,1.790455,868296
2007-09-14,3.192148,3.252066,3.068181,3.252066,1.824063,1324708
2007-09-17,3.181818,3.202479,3.037190,3.202479,1.796250,333476
2007-09-18,3.202479,3.336776,3.099173,3.336776,1.871576,1122880
2007-09-19,3.202479,3.336776,3.099173,3.336776,1.871576,1122880
2007-09-20,3.258264,3.357438,3.258264,3.336776,1.871576,795696
2007-09-21,3.264462,3.305785,3.243801,3.305785,1.854193,390588
2007-09-24,3.305785,3.305785,3.185950,3.254132,1.825222,666952
2007-09-25,3.254132,3.305785,3.254132,3.305785,1.854193,800536
2007-09-26,3.254132,3.305785,3.254132,3.305785,1.854193,800536
2007-09-27,3.334710,3.334710,3.243801,3.243801,1.819427,336380
2007-09-28,3.295454,3.336776,3.264462,3.336776,1.871576,331540
2007-10-01,3.332644,3.398760,3.305785,3.378099,1.894754,6347660
2007-10-02,3.398760,3.450413,3.367768,3.409090,1.912137,1236136
2007-10-03,3.398760,3.450413,3.367768,3.409090,1.912137,1236136
2007-10-04,3.409090,3.454545,3.357438,3.398760,1.906343,4830320
2007-10-05,3.409090,3.440082,3.398760,3.440082,1.929520,2603920
2007-10-08,3.429752,3.502066,3.419421,3.502066,1.964286,640816
2007-10-09,3.429752,3.502066,3.419421,3.502066,1.964286,665016
2007-10-10,3.502066,3.522727,3.460743,3.481404,1.952697,438988
2007-10-11,3.510330,3.512396,3.409090,3.512396,1.970080,683892
2007-10-15,3.502066,3.561983,3.450413,3.481404,1.952697,812636
2007-10-16,3.502066,3.561983,3.450413,3.481404,1.952697,812636
2007-10-17,3.512396,3.564049,3.512396,3.543388,1.987463,1081740
2007-10-18,3.512396,3.564049,3.512396,3.543388,1.987463,1081740
2007-10-19,3.533057,3.543388,3.533057,3.539256,1.985146,1138852
2007-10-22,3.564049,3.657024,3.514462,3.574380,2.004847,1267112
2007-10-23,3.564049,3.657024,3.514462,3.574380,2.004847,1293248
2007-10-24,3.512396,3.574380,3.491735,3.574380,2.004847,250228
2007-10-25,3.530991,3.533057,3.413223,3.471074,1.946903,2208976
2007-10-26,3.574380,3.574380,3.409090,3.452479,1.936473,2605856
2007-10-29,3.553719,3.553719,3.413223,3.491735,1.958491,595804
2007-10-30,3.553719,3.553719,3.413223,3.491735,1.958491,595804
2007-10-31,3.460743,3.512396,3.367768,3.409090,1.912137,459316
2007-11-01,3.419421,3.477272,3.311983,3.326446,1.865782,900724
2007-11-05,3.316115,3.491735,3.316115,3.404958,1.909819,172788
2007-11-06,3.316115,3.491735,3.316115,3.404958,1.909819,172788
2007-11-07,3.512396,3.530991,3.411157,3.512396,1.970080,380908
2007-11-08,3.512396,3.512396,3.450413,3.450413,1.935314,354772
2007-11-09,3.512396,3.533057,3.347107,3.512396,1.970080,606452
2007-11-12,3.489669,3.533057,3.318181,3.533057,1.981668,555632
2007-11-13,3.491735,3.522727,3.491735,3.491735,1.958491,513524
2007-11-14,3.512396,3.512396,3.409090,3.487603,1.956174,86152
2007-11-16,3.533057,3.533057,3.409090,3.489669,1.957333,17424
2007-11-19,3.429752,3.429752,3.161157,3.264462,1.831016,146652
2007-11-21,3.181818,3.181818,2.933884,2.944214,1.651391,1827584
2007-11-22,3.099173,3.190082,2.995867,3.078512,1.726717,334928
2007-11-23,3.161157,3.161157,2.995867,2.995867,1.680363,276848
2007-11-26,3.202479,3.256198,2.944214,3.111570,1.745260,3087436
2007-11-27,2.997933,3.078512,2.913223,2.995867,1.680363,2211880
2007-11-28,3.078512,3.078512,3.057851,3.057851,1.715129,618068
2007-11-29,3.057851,3.130165,3.057851,3.099173,1.738306,751652
2007-11-30,3.099173,3.119834,3.074380,3.078512,1.726717,1008172
2007-12-03,2.995867,3.305785,2.995867,3.305785,1.854193,973808
2007-12-04,2.995867,3.305785,2.995867,3.305785,1.854193,1018336
2007-12-05,3.274793,3.351239,3.260330,3.295454,1.848399,619520
2007-12-06,3.262396,3.305785,3.262396,3.305785,1.854193,223608
2007-12-07,3.262396,3.305785,3.262396,3.305785,1.854193,232320
2007-12-10,3.425619,3.425619,3.223140,3.305785,1.854193,608872
2007-12-11,3.388429,3.409090,3.305785,3.384297,1.898230,80344
2007-12-12,3.183884,3.336776,3.183884,3.336776,1.871576,84216
2007-12-13,3.336776,3.409090,3.223140,3.305785,1.854193,115676
2007-12-14,3.396694,3.398760,3.223140,3.285123,1.842605,254584
2007-12-17,3.264462,3.264462,3.099173,3.264462,1.831016,62920
2007-12-18,3.202479,3.264462,3.130165,3.264462,1.831016,406560
2007-12-19,3.262396,3.305785,3.262396,3.285123,1.842605,100188
2007-12-20,3.264462,3.427685,3.264462,3.347107,1.877371,529496
2007-12-21,3.305785,3.326446,3.289256,3.289256,1.844922,478192
2007-12-26,3.404958,3.404958,3.305785,3.336776,1.871576,447216
2007-12-27,3.336776,3.407024,3.305785,3.386363,1.899389,123904
2007-12-28,3.367768,3.409090,3.367768,3.409090,1.912137,136488
