Date,Open,High,Low,Close,Adj Close,Volume
2006-04-10,2.409490,2.469893,2.406171,2.465911,1.825379,1821409
2006-04-11,2.455954,2.471885,2.442679,2.459273,1.820465,2469223
2006-04-12,2.430067,2.482505,2.402852,2.455954,1.818008,5126764
2006-04-13,2.588708,2.791159,2.555520,2.721463,2.014550,4156550
2006-04-14,2.721463,2.721463,2.721463,2.721463,2.014550,0
2006-04-17,2.722126,2.787840,2.720135,2.787840,2.063685,2818741
2006-04-18,2.788504,2.821028,2.761289,2.787840,2.063685,1226325
2006-04-19,2.755315,2.784521,2.721463,2.721463,2.014550,1764161
2006-04-20,2.669689,2.721463,2.625216,2.688274,1.989982,816546
2006-04-21,2.688274,2.688274,2.688274,2.688274,1.989982,0
2006-04-24,2.688274,2.688274,2.588708,2.651767,1.962958,1411630
2006-04-25,2.608622,2.657741,2.608622,2.651767,1.962958,272684
2006-04-26,2.647784,2.668361,2.589372,2.668361,1.975242,3281249
2006-04-27,2.647784,2.674999,2.598665,2.655086,1.965415,1491477
2006-04-28,2.674335,2.721463,2.655086,2.721463,2.014550,1203727
2006-05-01,2.721463,2.721463,2.721463,2.721463,2.014550,0
2006-05-02,2.641810,2.854881,2.641810,2.854881,2.113312,6229553
2006-05-03,2.804434,2.804434,2.688274,2.774564,2.053858,495652
2006-05-04,2.760625,2.787176,2.733411,2.754651,2.039117,787921
2006-05-05,2.748014,2.787840,2.694912,2.748014,2.034203,634254
2006-05-08,2.721463,2.734738,2.706196,2.706196,2.003249,338972
2006-05-09,2.682300,2.775228,2.655086,2.706196,2.003249,35612555
2006-05-10,2.734738,2.854217,2.734738,2.738721,2.027325,588682808
2006-05-11,2.840942,2.854217,2.734738,2.821028,2.088252,148048609
2006-05-12,2.696903,2.767927,2.661723,2.773901,2.053365,29475473
2006-05-15,2.661723,2.728100,2.621897,2.728100,2.019462,50873409
2006-05-16,2.714825,2.714825,2.555520,2.678318,1.982611,49968263
2006-05-17,2.688274,2.688274,2.588708,2.671680,1.977697,167715904
2006-05-18,2.653758,2.668361,2.609949,2.655086,1.965415,3362602
2006-05-19,2.588708,2.661723,2.588708,2.621897,1.940847,1892217
2006-05-22,2.586053,2.586053,2.455954,2.552201,1.889254,931043
2006-05-23,2.556184,2.556184,2.513038,2.552201,1.889254,16650759
2006-05-24,2.455954,2.455954,2.323864,2.515030,1.861739,77568754
2006-05-25,2.389577,2.509056,2.382939,2.422766,1.793440,46283094
2006-05-26,2.455954,2.509056,2.455954,2.436041,1.803267,110700622
2006-05-29,2.515030,2.515030,2.469230,2.475867,1.832749,134082
2006-05-30,2.522331,2.522331,2.422766,2.475867,1.832749,62167175
2006-05-31,2.475203,2.575433,2.475203,2.455954,1.818008,146091038
2006-06-01,2.575433,2.654422,2.568795,2.575433,1.906450,33024285
2006-06-02,2.555520,2.569459,2.522331,2.568795,1.901537,27699335
2006-06-05,2.455954,2.459273,2.422766,2.522331,1.867143,34949782
2006-06-06,2.389577,2.469230,2.323200,2.455954,1.818008,17625748
2006-06-07,2.403516,2.403516,2.389577,2.469230,1.827836,1899780
2006-06-08,2.389577,2.389577,2.256823,2.389577,1.768872,73626283
2006-06-09,2.323200,2.353070,2.236910,2.323200,1.719737,6139477
2006-06-12,2.290011,2.290011,2.126723,2.306606,1.707454,17114714
2006-06-13,2.156593,2.156593,2.024503,2.126723,1.574296,36277935
2006-06-14,2.197083,2.197083,2.124068,2.140663,1.584615,8901783
2006-06-15,2.140663,2.140663,2.140663,2.140663,1.584615,0
2006-06-16,2.097517,2.157257,2.084242,2.162567,1.600830,13439368
2006-06-19,2.150619,2.150619,1.987995,2.084242,1.542850,47641860
2006-06-20,2.033795,2.057027,1.881792,1.987995,1.471604,53550339
2006-06-21,1.920290,1.924937,1.865197,1.898386,1.405271,84329982
2006-06-22,1.891748,1.928256,1.827362,1.891748,1.400357,11735709
2006-06-23,1.845284,1.990650,1.825371,1.827362,1.352696,111919189
2006-06-26,1.924937,2.110793,1.924937,1.991314,1.474060,693009
2006-06-27,1.964763,2.014546,1.891748,1.991314,1.474060,18489750
2006-06-28,1.917635,1.958125,1.885111,1.924937,1.424925,2282411
2006-06-29,1.924937,2.090880,1.924937,1.924937,1.424925,162983914
2006-06-30,2.124068,2.189782,2.044416,2.037778,1.508455,46551862
2006-07-03,2.124068,2.260805,2.124068,2.104155,1.557590,30063718
2006-07-04,2.253504,2.337139,2.234254,2.233591,1.653405,4125832
2006-07-05,2.290011,2.322536,2.157257,2.315898,1.714332,17624633
2006-07-06,2.322536,2.339794,2.290011,2.322536,1.719245,22355343
2006-07-07,2.323200,2.349751,2.290011,2.323200,1.719737,31642785
2006-07-10,2.322536,2.382939,2.270098,2.309924,1.709910,18172684
2006-07-11,2.323200,2.335148,2.250185,2.339130,1.731529,16985980
2006-07-12,2.322536,2.385594,2.223634,2.323200,1.719737,41462023
2006-07-13,2.223634,2.256823,2.223634,2.288684,1.694186,5018986
2006-07-14,2.207704,2.256823,2.207040,2.256159,1.670110,3737445
2006-07-17,2.124068,2.242883,2.124068,2.177170,1.611639,179278
2006-07-18,2.223634,2.242883,2.143981,2.190446,1.621467,5262804
2006-07-19,2.209031,2.223634,2.190446,2.209031,1.635225,94480266
2006-07-20,2.191109,2.223634,2.190446,2.222970,1.645543,189824
2006-07-21,2.192437,2.192437,2.123405,2.222970,1.645543,110924193
2006-07-24,2.189782,2.190446,2.157257,2.183808,1.616553,10697822
2006-07-25,2.183808,2.183808,2.163895,2.177170,1.611639,983772
2006-07-26,2.157257,2.177170,2.124068,2.124068,1.572331,843663
2006-07-27,2.253504,2.253504,2.134025,2.157257,1.596899,2606318
2006-07-28,2.157257,2.157257,2.149955,2.157257,1.596899,956654
2006-07-31,2.135352,2.135352,2.097517,2.157257,1.596899,5525500
2006-08-01,2.100836,2.173851,2.100836,2.110129,1.562013,115442465
2006-08-02,2.190446,2.245539,2.124068,2.137344,1.582158,59093722
2006-08-03,2.216996,2.323864,2.216996,2.223634,1.646034,8824346
2006-08-04,2.290011,2.316562,2.234254,2.256823,1.670602,33495893
2006-08-07,2.290011,2.323200,2.283374,2.290011,1.695169,16330935
2006-08-08,2.290011,2.366345,2.256823,2.323200,1.719737,11338148
2006-08-09,2.349751,2.349751,2.249521,2.342449,1.733986,1562450
2006-08-10,2.223634,2.330501,2.223634,2.249521,1.665197,36218622
2006-08-11,2.330501,2.376302,2.323200,2.349751,1.739391,1110321
2006-08-14,2.323200,2.349751,2.309924,2.349751,1.739391,26584509
2006-08-15,2.336475,2.402852,2.284037,2.330501,1.725142,44179931
2006-08-16,2.383603,2.390241,2.376302,2.402852,1.778700,2220854
2006-08-17,2.389577,2.515030,2.389577,2.390241,1.769364,63306467
2006-08-18,2.455290,2.489143,2.422766,2.455954,1.818008,10702613
2006-08-21,2.489143,2.502418,2.389577,2.489143,1.842576,6634346
2006-08-22,2.336475,2.522331,2.336475,2.389577,1.768872,12669480
2006-08-23,2.475867,2.475867,2.322536,2.475867,1.832749,27213596
2006-08-24,2.370328,2.402852,2.330501,2.389577,1.768872,1935907
2006-08-25,2.406171,2.455290,2.290011,2.389577,1.768872,125183693
2006-08-28,2.389577,2.489143,2.363690,2.455290,1.817516,58297786
2006-08-29,2.455954,2.522331,2.455954,2.489143,1.842576,3575326
2006-08-30,2.482505,2.555520,2.459273,2.489806,1.843067,11444465
2006-08-31,2.535607,2.655086,2.535607,2.535607,1.876970,87147834
2006-09-01,2.634509,2.655086,2.548882,2.621897,1.940847,35690730
2006-09-04,2.654422,2.688274,2.651103,2.615259,1.935933,25108579
2006-09-05,2.655086,2.655086,2.575433,2.651103,1.962466,25104798
2006-09-06,2.535607,2.605303,2.502418,2.575433,1.906450,23006003
2006-09-07,2.575433,2.575433,2.575433,2.575433,1.906450,0
2006-09-08,2.648448,2.721463,2.605303,2.605303,1.928563,12550779
2006-09-11,2.621897,2.638491,2.621897,2.622561,1.941338,170239
2006-09-12,2.621897,2.621897,2.555520,2.555520,1.891711,369102
2006-09-13,2.588708,2.589372,2.455954,2.582071,1.911365,227487
2006-09-14,2.522995,2.540253,2.509056,2.522331,1.867143,510717
2006-09-15,2.522331,2.555520,2.522331,2.555520,1.891711,435390
2006-09-18,2.542244,2.555520,2.455954,2.455954,1.818008,313360
2006-09-19,2.483833,2.502418,2.483833,2.502418,1.852403,299801
2006-09-20,2.489806,2.648448,2.455954,2.528969,1.872057,949121
2006-09-21,2.489806,2.648448,2.455954,2.528969,1.872057,949121
2006-09-22,2.469230,2.522331,2.465911,2.489143,1.842576,109977
2006-09-25,2.455954,2.621897,2.455954,2.621897,1.940847,301308
2006-09-26,2.455954,2.621897,2.455954,2.621897,1.940847,301308
2006-09-27,2.618578,2.688274,2.618578,2.655086,1.965415,605630
2006-09-28,2.588708,2.667033,2.588708,2.661723,1.970327,548381
2006-09-29,2.669025,2.753324,2.669025,2.734738,2.024376,815039
2006-10-02,2.718144,2.839614,2.718144,2.787840,2.063685,522770
2006-10-03,2.728100,2.781202,2.728100,2.777883,2.056314,570979
2006-10-04,2.721463,2.847579,2.721463,2.847579,2.107906,1464359
2006-10-05,2.847579,2.986971,2.847579,2.953783,2.186523,1893723
2006-10-06,2.921258,2.978342,2.920594,2.953783,2.186523,213929
2006-10-09,2.953783,2.953783,2.856208,2.861519,2.118226,150654
2006-10-10,2.887406,2.920594,2.887406,2.920594,2.161955,3489152
2006-10-11,2.953119,2.953119,2.874130,2.920594,2.161955,293775
2006-10-12,2.920594,2.920594,2.920594,2.920594,2.161955,0
2006-10-13,2.920594,2.923913,2.913956,2.920594,2.161955,1059099
2006-10-16,2.985644,2.985644,2.840942,2.887406,2.137388,1072658
2006-10-17,2.854217,2.979670,2.821028,2.919267,2.160973,1780733
2006-10-18,2.919267,2.979670,2.877449,2.920594,2.161955,813532
2006-10-19,2.923913,2.927232,2.887406,2.887406,2.137388,144628
2006-10-20,2.919267,2.919267,2.840942,2.854881,2.113312,126549
2006-10-23,2.854217,3.016841,2.854217,3.006221,2.225340,262138
2006-10-24,3.006884,3.083218,3.006221,3.031444,2.244012,599603
2006-10-25,3.053348,3.116407,3.020824,3.054012,2.260717,492639
2006-10-26,3.054012,3.086537,2.967722,2.986971,2.211090,1554751
2006-10-27,2.986971,3.054012,2.904000,2.928559,2.167851,161200
2006-10-30,2.887406,3.052685,2.854217,2.920594,2.161955,1060605
2006-10-31,2.927896,3.046711,2.927896,3.046711,2.255312,390194
2006-11-01,3.052021,3.119726,3.046047,3.119726,2.309363,1128400
2006-11-02,3.119726,3.119726,3.119726,3.119726,2.309363,0
