Date,Open,High,Low,Close,Adj Close,Volume
2021-03-02,8.227977,8.432690,7.892544,8.432690,7.856699,1173360
2021-03-03,8.351298,8.351298,8.102190,8.324168,7.755589,1419466
2021-03-04,8.361164,8.484485,8.183582,8.385828,7.813038,757778
2021-03-05,8.361164,8.430224,8.240309,8.242776,7.679757,1309995
2021-03-08,8.242776,8.242776,7.816085,7.816085,7.282211,1015642
2021-03-09,7.934473,8.010932,7.480652,7.547245,7.031734,2514170
2021-03-10,7.737160,7.744559,7.194547,7.344999,6.843302,1291345
2021-03-11,7.386928,7.835816,7.300603,7.835816,7.300594,2230763
2021-03-12,7.808686,8.102190,7.584241,7.865413,7.328169,3263434
2021-03-15,7.833350,8.373496,7.833350,8.262507,7.698140,2428215
2021-03-16,8.188514,8.723728,8.188514,8.681798,8.088793,4282725
2021-03-17,8.681798,8.977769,8.558477,8.879112,8.272629,5070506
2021-03-18,8.928440,9.278672,8.763190,8.916108,8.307097,3661176
2021-03-19,8.928440,9.138086,8.728660,8.829784,8.226670,2872989
2021-03-22,8.827317,9.172616,8.459821,8.879112,8.272629,5377429
2021-03-23,8.824851,8.879112,8.736060,8.829784,8.226670,638577
2021-03-24,8.684265,8.995034,8.410492,8.410492,7.836017,973070
2021-03-25,8.410492,9.150418,8.262507,9.051761,8.433483,2991380
2021-03-26,9.071493,9.150418,8.758257,8.832250,8.228967,2604179
2021-03-29,8.891444,9.002433,8.496817,8.496817,7.916445,3953908
2021-03-30,8.526414,8.669466,8.385828,8.385828,7.813038,1472174
2021-03-31,8.489418,8.669466,8.220578,8.632470,8.042833,2544984
2021-04-01,8.644802,8.839649,8.425291,8.632470,8.042833,877384
2021-04-05,8.694131,8.694131,8.528880,8.607806,8.019854,1080107
2021-04-06,8.657134,8.669466,8.447489,8.472153,7.893466,1319726
2021-04-07,8.474619,8.679332,8.395694,8.509149,7.927934,1401221
2021-04-08,8.509149,9.150418,8.477086,8.916108,8.307097,2111967
2021-04-09,8.923508,9.249075,8.780455,8.990101,8.376036,1442171
2021-04-12,9.032030,9.416792,8.980235,9.150418,8.525403,2187380
2021-04-13,9.147952,9.278672,8.977769,9.076426,8.456465,1044023
2021-04-14,9.147952,9.254008,8.832250,9.254008,8.621918,2026013
2021-04-15,9.273739,9.616572,9.271273,9.530247,8.879287,2034122
2021-04-16,9.530247,9.693031,9.505583,9.619038,8.962013,1067133
2021-04-19,9.619038,9.685631,9.468587,9.643702,8.984993,546541
2021-04-20,9.641236,9.685631,9.490784,9.628904,8.971207,282595
2021-04-22,9.702896,9.833617,9.473519,9.614105,8.957417,608979
