Date,Open,High,Low,Close,Adj Close,Volume
2007-07-06,128832.164063,131845.781250,128706.593750,131217.937500,131217.937500,44
2007-07-10,131845.781250,132473.609375,123746.679688,128078.757813,128078.757813,43
2007-07-11,129334.429688,129334.429688,124311.734375,127450.921875,127450.921875,60
2007-07-12,129648.351563,131845.781250,127450.921875,131092.375000,131092.375000,234
2007-07-13,131217.937500,136554.562500,128706.593750,133101.453125,133101.453125,128
2007-07-16,132473.609375,132473.609375,130150.617188,131217.937500,131217.937500,38
2007-07-17,131531.859375,134859.390625,128706.593750,134671.046875,134671.046875,114
2007-07-18,134984.968750,139693.734375,133101.453125,138124.156250,138124.156250,285
2007-07-19,139693.734375,145972.109375,139379.828125,144402.515625,144402.515625,114
2007-07-20,145909.328125,145972.109375,140635.500000,145658.187500,145658.187500,90
2007-07-23,144402.515625,148797.375000,143209.625000,148797.375000,148797.375000,58
2007-07-24,149111.296875,149111.296875,143146.843750,144402.515625,144402.515625,79
2007-07-25,148420.671875,148420.671875,139693.734375,141451.687500,141451.687500,33
2007-07-26,138124.156250,138124.156250,127450.921875,134357.125000,134357.125000,136
2007-07-27,138061.359375,140635.500000,131908.562500,133666.500000,133666.500000,16
2007-07-30,138124.156250,140321.578125,129334.429688,131845.781250,131845.781250,53
2007-07-31,137496.312500,137496.312500,128706.593750,130590.101563,130590.101563,20
2007-08-01,128643.812500,130590.101563,119289.039063,125567.406250,125567.406250,123
2007-08-02,127388.132813,128078.757813,121109.765625,121109.765625,121109.765625,67
2007-08-03,122993.273438,124248.953125,115522.015625,116212.632813,116212.632813,58
2007-08-06,116212.632813,122428.218750,111441.078125,122428.218750,122428.218750,119
2007-08-07,122428.218750,122428.218750,118033.359375,121486.468750,121486.468750,78
2007-08-08,120544.710938,126823.078125,120544.710938,121737.601563,121737.601563,58
2007-08-09,122428.218750,122428.218750,119602.953125,120544.710938,120544.710938,107
2007-08-10,121486.468750,125567.406250,114580.257813,121486.468750,121486.468750,35
2007-08-13,128706.593750,128706.593750,123056.062500,125253.492188,125253.492188,57
2007-08-14,125567.406250,128329.890625,122428.218750,124939.570313,124939.570313,7
2007-08-15,122428.218750,124876.789063,117405.523438,118598.414063,118598.414063,14
2007-08-16,111441.078125,113010.664063,91099.156250,106732.296875,106732.296875,194
2007-08-17,106104.460938,116149.851563,97942.578125,109871.484375,109871.484375,123
2007-08-20,111754.992188,116714.906250,105978.890625,105978.890625,105978.890625,35
2007-08-21,106732.296875,109055.296875,105476.625000,106481.164063,106481.164063,18
2007-08-22,109871.484375,109871.484375,105476.625000,109243.648438,109243.648438,93
2007-08-23,109871.484375,111754.992188,106732.296875,106732.296875,106732.296875,46
2007-08-24,109871.484375,111754.992188,108615.804688,111754.992188,111754.992188,29
2007-08-27,111754.992188,118033.359375,111692.210938,118033.359375,118033.359375,88
2007-08-28,113952.421875,113952.421875,111754.992188,113010.664063,113010.664063,11
2007-08-29,118033.359375,118033.359375,109871.484375,111127.156250,111127.156250,111
2007-08-30,113010.664063,113010.664063,109871.484375,110499.320313,110499.320313,62
2007-08-31,110310.968750,119289.039063,110310.968750,115522.015625,115522.015625,218
2007-09-03,113010.664063,117719.445313,113010.664063,114266.343750,114266.343750,18
2007-09-04,111629.421875,116149.851563,111127.156250,112382.828125,112382.828125,18
2007-09-05,115459.234375,115459.234375,110499.320313,112947.882813,112947.882813,13
2007-09-06,115710.367188,115710.367188,112320.046875,114077.992188,114077.992188,30
2007-09-10,111754.992188,111754.992188,108615.804688,109871.484375,109871.484375,62
2007-09-11,113010.664063,113638.507813,106104.460938,109808.695313,109808.695313,97
2007-09-12,108301.890625,109871.484375,106732.296875,108553.023438,108553.023438,97
2007-09-13,111754.992188,111754.992188,107987.968750,109494.781250,109494.781250,12
2007-09-14,110624.882813,110624.882813,107987.968750,108929.726563,108929.726563,10
2007-09-17,111629.421875,111629.421875,103593.109375,103593.109375,103593.109375,27
2007-09-18,108176.320313,108176.320313,101709.601563,104158.164063,104158.164063,75
2007-09-19,106732.296875,109871.484375,102965.273438,109243.648438,109243.648438,75
2007-09-20,106795.078125,113764.070313,104597.648438,104597.648438,104597.648438,204
2007-09-21,106732.296875,109243.648438,106732.296875,107987.968750,107987.968750,62
2007-09-24,110436.531250,112885.101563,108490.242188,112382.828125,112382.828125,49
2007-09-25,109871.484375,116149.851563,109243.648438,114831.390625,114831.390625,109
2007-09-26,116087.070313,122365.437500,115522.015625,121800.382813,121800.382813,109
2007-09-27,121800.382813,123872.250000,119289.039063,122428.218750,122428.218750,114
2007-09-28,121172.546875,122365.437500,119289.039063,121800.382813,121800.382813,105
2007-10-01,122365.437500,128078.757813,122365.437500,127890.406250,127890.406250,64
2007-10-02,134357.125000,138186.937500,131217.937500,138186.937500,138186.937500,274
2007-10-03,138124.156250,138186.937500,133101.453125,135926.718750,135926.718750,275
2007-10-04,135926.718750,138124.156250,131908.562500,136868.468750,136868.468750,111
2007-10-05,136868.468750,143460.765625,136868.468750,143460.765625,143460.765625,41
2007-10-08,141263.328125,144402.515625,140007.656250,141577.250000,141577.250000,87
2007-10-09,144402.515625,147227.781250,143711.890625,147227.781250,147227.781250,87
2007-10-10,147165.000000,147541.703125,135047.750000,138751.984375,138751.984375,71
2007-10-11,142519.000000,142519.000000,128706.593750,130590.101563,130590.101563,105
2007-10-15,133729.296875,133729.296875,125002.351563,126823.078125,126823.078125,40
2007-10-16,125567.406250,125567.406250,122616.570313,123683.898438,123683.898438,40
2007-10-17,126446.382813,128706.593750,123809.460938,125567.406250,125567.406250,24
2007-10-18,125253.492188,129648.351563,123872.250000,127450.921875,127450.921875,24
2007-10-19,129334.429688,129334.429688,120858.632813,122114.304688,122114.304688,37
2007-10-22,122428.218750,125567.406250,119289.039063,124311.734375,124311.734375,26
2007-10-23,127953.187500,131845.781250,125002.351563,131845.781250,131845.781250,26
2007-10-24,128078.757813,130590.101563,126509.164063,127137.000000,127137.000000,26
2007-10-25,130841.242188,130841.242188,122428.218750,123683.898438,123683.898438,36
2007-10-26,123683.898438,128329.890625,121172.546875,128329.890625,128329.890625,22
2007-10-29,130904.023438,130904.023438,127450.921875,128392.671875,128392.671875,9
2007-10-30,126760.296875,127450.921875,123683.898438,127450.921875,127450.921875,9
2007-10-31,125567.406250,131845.781250,124939.570313,131217.937500,131217.937500,153
2007-11-01,130590.101563,131217.937500,128078.757813,131217.937500,131217.937500,71
2007-11-05,129962.265625,131217.937500,127450.921875,129962.265625,129962.265625,44
2007-11-06,130904.023438,134357.125000,128769.375000,133603.718750,133603.718750,44
2007-11-07,131845.781250,134357.125000,131845.781250,134043.203125,134043.203125,60
2007-11-08,134922.171875,137998.578125,123683.898438,131845.781250,131845.781250,96
2007-11-09,131845.781250,134984.968750,122428.218750,134984.968750,134984.968750,79
2007-11-12,131217.937500,133101.453125,123997.812500,123997.812500,123997.812500,44
2007-11-13,125881.328125,126320.812500,122428.218750,126132.460938,126132.460938,31
2007-11-14,126132.460938,128078.757813,124437.304688,124939.570313,124939.570313,18
2007-11-16,127388.132813,127388.132813,120858.632813,123369.976563,123369.976563,29
2007-11-19,122428.218750,125441.843750,113073.453125,113073.453125,113073.453125,81
2007-11-21,113638.507813,113638.507813,101709.601563,105539.406250,105539.406250,79
2007-11-22,106732.296875,106732.296875,102337.437500,105476.625000,105476.625000,53
2007-11-23,106669.515625,106669.515625,102337.437500,103530.328125,103530.328125,15
2007-11-26,103907.031250,103907.031250,91789.773438,92919.882813,92919.882813,118
2007-11-27,91664.210938,94175.554688,85385.835938,87897.187500,87897.187500,94
2007-11-28,90408.531250,101081.765625,90408.531250,98570.414063,98570.414063,212
2007-11-29,98507.632813,103593.109375,96686.906250,100140.007813,100140.007813,131
2007-11-30,100453.929688,105916.109375,94175.554688,94175.554688,94175.554688,43
2007-12-03,96435.765625,99072.687500,94175.554688,97628.656250,97628.656250,27
2007-12-04,97189.171875,99135.468750,94803.390625,98570.414063,98570.414063,27
