Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,9.050000,10.050000,9.050000,10.000000,10.000000,734400
2021-03-15,10.170000,10.470000,9.800000,10.120000,10.120000,647200
2021-03-16,10.060000,10.460000,9.300000,9.300000,9.300000,817000
2021-03-17,9.360000,9.360000,8.900000,9.050000,9.050000,784900
2021-03-18,9.050000,9.080000,8.490000,8.490000,8.490000,371900
2021-03-19,8.600000,9.150000,8.500000,8.800000,8.800000,1152700
2021-03-22,9.190000,9.660000,9.090000,9.090000,9.090000,846200
2021-03-23,9.220000,10.050000,9.220000,9.900000,9.900000,2167300
2021-03-24,10.060000,10.170000,9.760000,9.900000,9.900000,571400
2021-03-25,9.920000,9.920000,9.310000,9.460000,9.460000,639500
2021-03-26,9.680000,9.920000,9.060000,9.070000,9.070000,401000
2021-03-29,9.280000,9.370000,8.630000,9.000000,9.000000,619800
2021-03-30,9.000000,9.270000,8.730000,9.190000,9.190000,803700
2021-03-31,9.000000,9.670000,8.890000,9.170000,9.170000,990900
2021-04-01,9.060000,9.270000,8.820000,9.000000,9.000000,623200
2021-04-05,9.050000,9.180000,8.810000,8.850000,8.850000,564600
2021-04-06,8.890000,9.390000,8.710000,9.300000,9.300000,472700
2021-04-07,9.290000,9.310000,9.000000,9.060000,9.060000,351900
2021-04-08,9.060000,9.500000,9.010000,9.390000,9.390000,502200
2021-04-09,9.300000,9.550000,9.080000,9.350000,9.350000,396100
2021-04-12,9.400000,9.400000,8.920000,8.990000,8.990000,688700
2021-04-13,9.010000,9.080000,8.950000,9.000000,9.000000,310800
2021-04-14,9.000000,9.080000,8.670000,8.710000,8.710000,571400
2021-04-15,8.810000,8.830000,8.560000,8.600000,8.600000,426200
2021-04-16,8.600000,8.740000,8.410000,8.460000,8.460000,615100
2021-04-19,8.500000,8.970000,8.280000,8.740000,8.740000,743800
2021-04-20,8.710000,9.040000,8.630000,9.000000,9.000000,954600
2021-04-22,9.040000,9.490000,9.040000,9.400000,9.400000,968600
2021-04-23,9.380000,9.870000,9.180000,9.610000,9.610000,1922300
2021-04-26,9.610000,9.690000,9.210000,9.210000,9.210000,545700
2021-04-27,9.220000,9.350000,8.830000,8.850000,8.850000,383600
2021-04-28,8.850000,8.960000,8.670000,8.850000,8.850000,629200
2021-04-29,8.940000,8.940000,8.600000,8.720000,8.720000,458400
2021-04-30,8.720000,9.390000,8.690000,9.020000,9.020000,768400
2021-05-03,8.960000,9.170000,8.710000,8.800000,8.800000,483300
