Date,Open,High,Low,Close,Adj Close,Volume
2015-07-06,14.000000,14.200000,13.750000,14.060000,7.276443,399500
2015-07-07,14.060000,14.080000,13.900000,14.000000,7.245392,232800
2015-07-08,14.200000,14.410000,13.920000,14.000000,7.245392,239500
2015-07-10,14.170000,14.170000,13.860000,14.000000,7.245392,129800
2015-07-13,14.050000,14.090000,14.000000,14.050000,7.271268,233600
2015-07-14,14.090000,14.090000,13.800000,13.950000,7.219514,217500
2015-07-15,14.000000,14.150000,13.950000,14.050000,7.271268,102400
2015-07-16,14.090000,14.380000,14.080000,14.300000,7.400651,137700
2015-07-17,14.300000,14.300000,14.110000,14.300000,7.400651,176000
2015-07-20,14.210000,14.210000,13.830000,14.100000,7.297146,431700
2015-07-21,13.970000,14.000000,13.860000,13.900000,7.193639,136000
2015-07-22,13.950000,13.990000,13.430000,13.990000,7.240217,454400
2015-07-23,13.650000,14.000000,13.530000,13.990000,7.240217,197400
2015-07-24,13.830000,13.980000,13.700000,13.800000,7.141885,458100
2015-07-27,13.800000,13.850000,13.640000,13.700000,7.090133,447400
2015-07-28,13.780000,14.000000,13.780000,13.990000,7.240217,440500
2015-07-29,13.880000,14.090000,13.860000,14.050000,7.271268,223000
2015-07-30,13.950000,14.090000,13.810000,14.070000,7.281619,203700
2015-07-31,14.090000,14.200000,13.980000,14.200000,7.348898,205600
2015-08-03,14.090000,14.400000,14.000000,14.300000,7.400651,139100
2015-08-04,14.160000,14.300000,13.910000,14.300000,7.400651,90800
2015-08-05,14.180000,14.190000,14.000000,14.000000,7.245392,443200
2015-08-06,13.990000,14.100000,13.770000,14.100000,7.297146,283300
2015-08-07,14.100000,14.100000,13.700000,13.800000,7.141885,71500
2015-08-10,14.000000,14.000000,13.420000,13.460000,6.965926,347700
2015-08-11,13.400000,13.900000,13.360000,13.900000,7.193639,55600
2015-08-12,13.800000,13.950000,13.510000,13.660000,7.069432,110700
2015-08-13,13.750000,13.970000,13.540000,13.830000,7.157413,301300
2015-08-14,13.890000,13.940000,13.420000,13.420000,6.945226,37700
2015-08-17,13.480000,13.790000,13.420000,13.700000,7.090133,35600
2015-08-18,13.700000,14.300000,13.700000,14.300000,7.400651,178400
2015-08-19,14.100000,14.130000,13.810000,14.000000,7.245392,77800
2015-08-20,13.990000,14.000000,13.620000,13.900000,7.193639,144800
2015-08-21,13.740000,13.880000,13.600000,13.610000,7.043556,89800
2015-08-24,13.500000,13.760000,12.950000,13.400000,6.934875,295800
2015-08-25,13.420000,13.840000,13.400000,13.800000,7.141885,325500
2015-08-26,13.790000,14.050000,13.670000,13.950000,7.219514,352000
2015-08-27,13.790000,13.920000,13.580000,13.650000,7.064257,316800
2015-08-28,13.530000,13.730000,13.140000,13.400000,6.934875,312900
2015-08-31,13.250000,13.450000,12.760000,13.090000,6.774442,635200
2015-09-01,12.910000,13.000000,12.420000,12.600000,6.520853,598600
2015-09-02,12.680000,12.730000,12.080000,12.700000,6.572605,331800
2015-09-03,12.660000,12.790000,12.130000,12.310000,6.370770,515000
2015-09-04,12.200000,12.350000,11.510000,11.900000,6.175040,458900
2015-09-08,11.820000,11.970000,11.600000,11.900000,6.175040,189300
2015-09-09,12.080000,12.080000,11.450000,11.500000,5.967476,472100
2015-09-10,11.130000,11.400000,10.840000,11.300000,5.863695,433800
2015-09-11,11.300000,11.340000,10.900000,10.900000,5.656130,351800
2015-09-14,11.030000,11.340000,10.540000,11.190000,5.806614,335300
2015-09-15,11.190000,11.380000,10.780000,10.780000,5.593861,358900
2015-09-16,10.860000,11.250000,10.660000,11.250000,5.837748,285000
2015-09-17,11.060000,11.270000,10.950000,11.190000,5.806614,125300
2015-09-18,11.190000,11.190000,10.790000,10.850000,5.630185,418700
2015-09-21,10.800000,11.150000,10.460000,10.660000,5.531592,168700
2015-09-22,10.540000,10.560000,9.850000,10.190000,5.287703,469600
2015-09-23,10.210000,10.210000,9.350000,9.450000,4.903709,557100
2015-09-24,9.240000,9.350000,8.730000,8.950000,4.644253,721400
2015-09-25,9.010000,9.500000,8.970000,9.170000,4.758414,314900
2015-09-28,9.140000,9.250000,8.930000,9.050000,4.696144,298800
2015-09-29,9.050000,9.140000,8.840000,9.100000,4.722090,190400
